source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[disease]	characteristics[sex]	characteristics[cell type]	characteristics[biological replicate]	characteristics[time point]	assay name	technology type	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	factor value[cell type]	factor value[time point]
Stem_rep2_48h	Canis lupus familiaris	ligament	not available	not available	not available	LDSC	2	48 hour	Stem_rep2_48h	proteomic profiling by mass spectrometry	NT=SILAC;AC=PRIDE:0000315	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	10 ppm	0.01 Da	Stem_rep2_48h.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Label:13C(6);AC=UNIMOD:188;TA=K;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	LDSC	48 hour
Stem_rep1_48h	Canis lupus familiaris	ligament	not available	not available	not available	LDSC	1	48 hour	Stem_rep1_48h	proteomic profiling by mass spectrometry	NT=SILAC;AC=PRIDE:0000315	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	10 ppm	0.01 Da	Stem_rep1_48h.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Label:13C(6);AC=UNIMOD:188;TA=K;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	LDSC	48 hour
Stem_rep3_4h	Canis lupus familiaris	ligament	not available	not available	not available	LDSC	3	4 hour	Stem_rep3_4h	proteomic profiling by mass spectrometry	NT=SILAC;AC=PRIDE:0000315	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	10 ppm	0.01 Da	Stem_rep3_4h.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Label:13C(6);AC=UNIMOD:188;TA=K;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	LDSC	4 hour
Fibro_rep1_48h	Canis lupus familiaris	ligament	not available	not available	not available	ligament fibroblast	1	48 hour	Fibro_rep1_48h	proteomic profiling by mass spectrometry	NT=SILAC;AC=PRIDE:0000315	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	10 ppm	0.01 Da	Fibro_rep1_48h.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Label:13C(6);AC=UNIMOD:188;TA=K;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	ligament fibroblast	48 hour
Fibro_rep2_24h	Canis lupus familiaris	ligament	not available	not available	not available	ligament fibroblast	2	24 hour	Fibro_rep2_24h	proteomic profiling by mass spectrometry	NT=SILAC;AC=PRIDE:0000315	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	10 ppm	0.01 Da	Fibro_rep2_24h.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Label:13C(6);AC=UNIMOD:188;TA=K;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	ligament fibroblast	24 hour
Fibro_rep2_4h	Canis lupus familiaris	ligament	not available	not available	not available	ligament fibroblast	2	4 hour	Fibro_rep2_4h	proteomic profiling by mass spectrometry	NT=SILAC;AC=PRIDE:0000315	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	10 ppm	0.01 Da	Fibro_rep2_4h.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Label:13C(6);AC=UNIMOD:188;TA=K;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	ligament fibroblast	4 hour
Fibro_rep3_24h	Canis lupus familiaris	ligament	not available	not available	not available	ligament fibroblast	3	24 hour	Fibro_rep3_24h	proteomic profiling by mass spectrometry	NT=SILAC;AC=PRIDE:0000315	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	10 ppm	0.01 Da	Fibro_rep3_24h.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Label:13C(6);AC=UNIMOD:188;TA=K;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	ligament fibroblast	24 hour
Fibro_rep2_0h	Canis lupus familiaris	ligament	not available	not available	not available	ligament fibroblast	2	0 hour	Fibro_rep2_0h	proteomic profiling by mass spectrometry	NT=SILAC;AC=PRIDE:0000315	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	10 ppm	0.01 Da	Fibro_rep2_0h.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Label:13C(6);AC=UNIMOD:188;TA=K;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	ligament fibroblast	0 hour
Stem_rep1_0h	Canis lupus familiaris	ligament	not available	not available	not available	LDSC	1	0 hour	Stem_rep1_0h	proteomic profiling by mass spectrometry	NT=SILAC;AC=PRIDE:0000315	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	10 ppm	0.01 Da	Stem_rep1_0h.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Label:13C(6);AC=UNIMOD:188;TA=K;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	LDSC	0 hour
Fibro_rep3_48h	Canis lupus familiaris	ligament	not available	not available	not available	ligament fibroblast	3	48 hour	Fibro_rep3_48h	proteomic profiling by mass spectrometry	NT=SILAC;AC=PRIDE:0000315	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	10 ppm	0.01 Da	Fibro_rep3_48h.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Label:13C(6);AC=UNIMOD:188;TA=K;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	ligament fibroblast	48 hour
Stem_rep1_4h	Canis lupus familiaris	ligament	not available	not available	not available	LDSC	1	4 hour	Stem_rep1_4h	proteomic profiling by mass spectrometry	NT=SILAC;AC=PRIDE:0000315	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	10 ppm	0.01 Da	Stem_rep1_4h.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Label:13C(6);AC=UNIMOD:188;TA=K;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	LDSC	4 hour
Fibro_rep3_0h	Canis lupus familiaris	ligament	not available	not available	not available	ligament fibroblast	3	0 hour	Fibro_rep3_0h	proteomic profiling by mass spectrometry	NT=SILAC;AC=PRIDE:0000315	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	10 ppm	0.01 Da	Fibro_rep3_0h.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Label:13C(6);AC=UNIMOD:188;TA=K;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	ligament fibroblast	0 hour
Stem_rep3_0h	Canis lupus familiaris	ligament	not available	not available	not available	LDSC	3	0 hour	Stem_rep3_0h	proteomic profiling by mass spectrometry	NT=SILAC;AC=PRIDE:0000315	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	10 ppm	0.01 Da	Stem_rep3_0h.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Label:13C(6);AC=UNIMOD:188;TA=K;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	LDSC	0 hour
Stem_rep3_48h	Canis lupus familiaris	ligament	not available	not available	not available	LDSC	3	48 hour	Stem_rep3_48h	proteomic profiling by mass spectrometry	NT=SILAC;AC=PRIDE:0000315	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	10 ppm	0.01 Da	Stem_rep3_48h.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Label:13C(6);AC=UNIMOD:188;TA=K;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	LDSC	48 hour
