source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[condition]	characteristics[spiked compound]	assay name	technology type	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[technical replicate]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[data file]	comment[associated data file]	comment[file uri]	comment[associated file uri]	comment[study group]	comment[replicate provenance]	comment[search parameter source]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[acquisition scheme]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[annotation source]	comment[sdrf annotation tool]	comment[annotation provenance]	factor value[condition]
PXD036786_ZenoSWATH_1uL_B	Homo sapiens	not applicable	not applicable	not applicable	1	ZenoSWATH_1uL_B	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=17.5 ng	PXD036786_20211108_Z1_ZW_001_30-0043_MIXB_3	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=ZenoTOF 7600;AC=MS:1003293	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	12 ppm	20 ppm	3	1	NT=Data-independent acquisition;AC=PRIDE:0000450	20211108_Z1_ZW_001_30-0043_MIXB_3.wiff	20211108_Z1_ZW_001_30-0043_MIXB_3.wiff.scan	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD036786/20211108_Z1_ZW_001_30-0043_MIXB_3.wiff2.Zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD036786/20211108_Z1_ZW_001_30-0043_MIXB_3.wiff2.Zip	ZenoSWATH_1uL	Author Fig.1 three repeat injections; commercial digest master mixtures; no biological replication. Source IDs are stratum-local analytical identifiers.	Author Methods: tryptic commercial standards, MS1 12 ppm/MS2 20 ppm. Vendor TM500 corroborates IAA alkylation; fixed CAM is curated, not inferred from RAW. Freeze reanalysis FASTA and optional PTMs before analysis.	400	900	not available	ZenoSWATH	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD036786 | https://doi.org/10.7554/ELIFE.83947	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	ZenoSWATH_1uL_B
PXD036786_ZenoSWATH_1uL_A	Homo sapiens	not applicable	not applicable	not applicable	1	ZenoSWATH_1uL_A	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=35 ng	PXD036786_20211108_Z1_ZW_001_30-0043_MIXA_3	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=ZenoTOF 7600;AC=MS:1003293	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	12 ppm	20 ppm	3	1	NT=Data-independent acquisition;AC=PRIDE:0000450	20211108_Z1_ZW_001_30-0043_MIXA_3.wiff	20211108_Z1_ZW_001_30-0043_MIXA_3.wiff.scan	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD036786/20211108_Z1_ZW_001_30-0043_MIXA_3.wiff2.Zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD036786/20211108_Z1_ZW_001_30-0043_MIXA_3.wiff2.Zip	ZenoSWATH_1uL	Author Fig.1 three repeat injections; commercial digest master mixtures; no biological replication. Source IDs are stratum-local analytical identifiers.	Author Methods: tryptic commercial standards, MS1 12 ppm/MS2 20 ppm. Vendor TM500 corroborates IAA alkylation; fixed CAM is curated, not inferred from RAW. Freeze reanalysis FASTA and optional PTMs before analysis.	400	900	not available	ZenoSWATH	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD036786 | https://doi.org/10.7554/ELIFE.83947	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	ZenoSWATH_1uL_A
PXD036786_SWATH_0.5uL_B	Homo sapiens	not applicable	not applicable	not applicable	1	SWATH_0.5uL_B	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=8.75 ng	PXD036786_20211108_Z1_ZW_001_30-0043_SWATH_MIX0.5B_1	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=ZenoTOF 7600;AC=MS:1003293	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	12 ppm	20 ppm	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	20211108_Z1_ZW_001_30-0043_SWATH_MIX0.5B_1.wiff	20211108_Z1_ZW_001_30-0043_SWATH_MIX0.5B_1.wiff.scan	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD036786/20211108_Z1_ZW_001_30-0043_SWATH_MIX0.5B_1.wiff2.Zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD036786/20211108_Z1_ZW_001_30-0043_SWATH_MIX0.5B_1.wiff2.Zip	SWATH_0.5uL	Author Fig.1 three repeat injections; commercial digest master mixtures; no biological replication. Source IDs are stratum-local analytical identifiers.	Author Methods: tryptic commercial standards, MS1 12 ppm/MS2 20 ppm. Vendor TM500 corroborates IAA alkylation; fixed CAM is curated, not inferred from RAW. Freeze reanalysis FASTA and optional PTMs before analysis.	400	900	not available	SWATH	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD036786 | https://doi.org/10.7554/ELIFE.83947	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	SWATH_0.5uL_B
PXD036786_SWATH_0.5uL_A	Homo sapiens	not applicable	not applicable	not applicable	1	SWATH_0.5uL_A	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=17.5 ng	PXD036786_20211108_Z1_ZW_001_30-0043_SWATH_MIX0.5A_1	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=ZenoTOF 7600;AC=MS:1003293	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	12 ppm	20 ppm	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	20211108_Z1_ZW_001_30-0043_SWATH_MIX0.5A_1.wiff	20211108_Z1_ZW_001_30-0043_SWATH_MIX0.5A_1.wiff.scan	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD036786/20211108_Z1_ZW_001_30-0043_SWATH_MIX0.5A_1.wiff2.Zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD036786/20211108_Z1_ZW_001_30-0043_SWATH_MIX0.5A_1.wiff2.Zip	SWATH_0.5uL	Author Fig.1 three repeat injections; commercial digest master mixtures; no biological replication. Source IDs are stratum-local analytical identifiers.	Author Methods: tryptic commercial standards, MS1 12 ppm/MS2 20 ppm. Vendor TM500 corroborates IAA alkylation; fixed CAM is curated, not inferred from RAW. Freeze reanalysis FASTA and optional PTMs before analysis.	400	900	not available	SWATH	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD036786 | https://doi.org/10.7554/ELIFE.83947	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	SWATH_0.5uL_A
PXD036786_SWATH_0.5uL_B	Homo sapiens	not applicable	not applicable	not applicable	1	SWATH_0.5uL_B	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=8.75 ng	PXD036786_20211108_Z1_ZW_001_30-0043_SWATH_MIX0.5B_2	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=ZenoTOF 7600;AC=MS:1003293	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	12 ppm	20 ppm	2	1	NT=Data-independent acquisition;AC=PRIDE:0000450	20211108_Z1_ZW_001_30-0043_SWATH_MIX0.5B_2.wiff	20211108_Z1_ZW_001_30-0043_SWATH_MIX0.5B_2.wiff.scan	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD036786/20211108_Z1_ZW_001_30-0043_SWATH_MIX0.5B_2.wiff2.Zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD036786/20211108_Z1_ZW_001_30-0043_SWATH_MIX0.5B_2.wiff2.Zip	SWATH_0.5uL	Author Fig.1 three repeat injections; commercial digest master mixtures; no biological replication. Source IDs are stratum-local analytical identifiers.	Author Methods: tryptic commercial standards, MS1 12 ppm/MS2 20 ppm. Vendor TM500 corroborates IAA alkylation; fixed CAM is curated, not inferred from RAW. Freeze reanalysis FASTA and optional PTMs before analysis.	400	900	not available	SWATH	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD036786 | https://doi.org/10.7554/ELIFE.83947	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	SWATH_0.5uL_B
PXD036786_SWATH_0.5uL_A	Homo sapiens	not applicable	not applicable	not applicable	1	SWATH_0.5uL_A	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=17.5 ng	PXD036786_20211108_Z1_ZW_001_30-0043_SWATH_MIX0.5A_2	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=ZenoTOF 7600;AC=MS:1003293	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	12 ppm	20 ppm	2	1	NT=Data-independent acquisition;AC=PRIDE:0000450	20211108_Z1_ZW_001_30-0043_SWATH_MIX0.5A_2.wiff	20211108_Z1_ZW_001_30-0043_SWATH_MIX0.5A_2.wiff.scan	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD036786/20211108_Z1_ZW_001_30-0043_SWATH_MIX0.5A_2.wiff2.Zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD036786/20211108_Z1_ZW_001_30-0043_SWATH_MIX0.5A_2.wiff2.Zip	SWATH_0.5uL	Author Fig.1 three repeat injections; commercial digest master mixtures; no biological replication. Source IDs are stratum-local analytical identifiers.	Author Methods: tryptic commercial standards, MS1 12 ppm/MS2 20 ppm. Vendor TM500 corroborates IAA alkylation; fixed CAM is curated, not inferred from RAW. Freeze reanalysis FASTA and optional PTMs before analysis.	400	900	not available	SWATH	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD036786 | https://doi.org/10.7554/ELIFE.83947	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	SWATH_0.5uL_A
PXD036786_SWATH_0.5uL_B	Homo sapiens	not applicable	not applicable	not applicable	1	SWATH_0.5uL_B	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=8.75 ng	PXD036786_20211108_Z1_ZW_001_30-0043_SWATH_MIX0.5B_3	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=ZenoTOF 7600;AC=MS:1003293	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	12 ppm	20 ppm	3	1	NT=Data-independent acquisition;AC=PRIDE:0000450	20211108_Z1_ZW_001_30-0043_SWATH_MIX0.5B_3.wiff	20211108_Z1_ZW_001_30-0043_SWATH_MIX0.5B_3.wiff.scan	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD036786/20211108_Z1_ZW_001_30-0043_SWATH_MIX0.5B_3.wiff2.Zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD036786/20211108_Z1_ZW_001_30-0043_SWATH_MIX0.5B_3.wiff2.Zip	SWATH_0.5uL	Author Fig.1 three repeat injections; commercial digest master mixtures; no biological replication. Source IDs are stratum-local analytical identifiers.	Author Methods: tryptic commercial standards, MS1 12 ppm/MS2 20 ppm. Vendor TM500 corroborates IAA alkylation; fixed CAM is curated, not inferred from RAW. Freeze reanalysis FASTA and optional PTMs before analysis.	400	900	not available	SWATH	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD036786 | https://doi.org/10.7554/ELIFE.83947	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	SWATH_0.5uL_B
PXD036786_SWATH_0.5uL_A	Homo sapiens	not applicable	not applicable	not applicable	1	SWATH_0.5uL_A	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=17.5 ng	PXD036786_20211108_Z1_ZW_001_30-0043_SWATH_MIX0.5A_3	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=ZenoTOF 7600;AC=MS:1003293	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	12 ppm	20 ppm	3	1	NT=Data-independent acquisition;AC=PRIDE:0000450	20211108_Z1_ZW_001_30-0043_SWATH_MIX0.5A_3.wiff	20211108_Z1_ZW_001_30-0043_SWATH_MIX0.5A_3.wiff.scan	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD036786/20211108_Z1_ZW_001_30-0043_SWATH_MIX0.5A_3.wiff2.Zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD036786/20211108_Z1_ZW_001_30-0043_SWATH_MIX0.5A_3.wiff2.Zip	SWATH_0.5uL	Author Fig.1 three repeat injections; commercial digest master mixtures; no biological replication. Source IDs are stratum-local analytical identifiers.	Author Methods: tryptic commercial standards, MS1 12 ppm/MS2 20 ppm. Vendor TM500 corroborates IAA alkylation; fixed CAM is curated, not inferred from RAW. Freeze reanalysis FASTA and optional PTMs before analysis.	400	900	not available	SWATH	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD036786 | https://doi.org/10.7554/ELIFE.83947	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	SWATH_0.5uL_A
PXD036786_SWATH_1uL_B	Homo sapiens	not applicable	not applicable	not applicable	1	SWATH_1uL_B	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=17.5 ng	PXD036786_20211108_Z1_ZW_001_30-0043_SWATH_MIXB_1	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=ZenoTOF 7600;AC=MS:1003293	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	12 ppm	20 ppm	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	20211108_Z1_ZW_001_30-0043_SWATH_MIXB_1.wiff	20211108_Z1_ZW_001_30-0043_SWATH_MIXB_1.wiff.scan	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD036786/20211108_Z1_ZW_001_30-0043_SWATH_MIXB_1.wiff2.Zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD036786/20211108_Z1_ZW_001_30-0043_SWATH_MIXB_1.wiff2.Zip	SWATH_1uL	Author Fig.1 three repeat injections; commercial digest master mixtures; no biological replication. Source IDs are stratum-local analytical identifiers.	Author Methods: tryptic commercial standards, MS1 12 ppm/MS2 20 ppm. Vendor TM500 corroborates IAA alkylation; fixed CAM is curated, not inferred from RAW. Freeze reanalysis FASTA and optional PTMs before analysis.	400	900	not available	SWATH	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD036786 | https://doi.org/10.7554/ELIFE.83947	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	SWATH_1uL_B
PXD036786_SWATH_1uL_A	Homo sapiens	not applicable	not applicable	not applicable	1	SWATH_1uL_A	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=35 ng	PXD036786_20211108_Z1_ZW_001_30-0043_SWATH_MIXA_1	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=ZenoTOF 7600;AC=MS:1003293	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	12 ppm	20 ppm	1	1	NT=Data-independent acquisition;AC=PRIDE:0000450	20211108_Z1_ZW_001_30-0043_SWATH_MIXA_1.wiff	20211108_Z1_ZW_001_30-0043_SWATH_MIXA_1.wiff.scan	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD036786/20211108_Z1_ZW_001_30-0043_SWATH_MIXA_1.wiff2.Zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD036786/20211108_Z1_ZW_001_30-0043_SWATH_MIXA_1.wiff2.Zip	SWATH_1uL	Author Fig.1 three repeat injections; commercial digest master mixtures; no biological replication. Source IDs are stratum-local analytical identifiers.	Author Methods: tryptic commercial standards, MS1 12 ppm/MS2 20 ppm. Vendor TM500 corroborates IAA alkylation; fixed CAM is curated, not inferred from RAW. Freeze reanalysis FASTA and optional PTMs before analysis.	400	900	not available	SWATH	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD036786 | https://doi.org/10.7554/ELIFE.83947	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	SWATH_1uL_A
PXD036786_SWATH_1uL_B	Homo sapiens	not applicable	not applicable	not applicable	1	SWATH_1uL_B	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=17.5 ng	PXD036786_20211108_Z1_ZW_001_30-0043_SWATH_MIXB_2	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=ZenoTOF 7600;AC=MS:1003293	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	12 ppm	20 ppm	2	1	NT=Data-independent acquisition;AC=PRIDE:0000450	20211108_Z1_ZW_001_30-0043_SWATH_MIXB_2.wiff	20211108_Z1_ZW_001_30-0043_SWATH_MIXB_2.wiff.scan	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD036786/20211108_Z1_ZW_001_30-0043_SWATH_MIXB_2.wiff2.Zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD036786/20211108_Z1_ZW_001_30-0043_SWATH_MIXB_2.wiff2.Zip	SWATH_1uL	Author Fig.1 three repeat injections; commercial digest master mixtures; no biological replication. Source IDs are stratum-local analytical identifiers.	Author Methods: tryptic commercial standards, MS1 12 ppm/MS2 20 ppm. Vendor TM500 corroborates IAA alkylation; fixed CAM is curated, not inferred from RAW. Freeze reanalysis FASTA and optional PTMs before analysis.	400	900	not available	SWATH	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD036786 | https://doi.org/10.7554/ELIFE.83947	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	SWATH_1uL_B
PXD036786_SWATH_1uL_A	Homo sapiens	not applicable	not applicable	not applicable	1	SWATH_1uL_A	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=35 ng	PXD036786_20211108_Z1_ZW_001_30-0043_SWATH_MIXA_2	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=ZenoTOF 7600;AC=MS:1003293	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	12 ppm	20 ppm	2	1	NT=Data-independent acquisition;AC=PRIDE:0000450	20211108_Z1_ZW_001_30-0043_SWATH_MIXA_2.wiff	20211108_Z1_ZW_001_30-0043_SWATH_MIXA_2.wiff.scan	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD036786/20211108_Z1_ZW_001_30-0043_SWATH_MIXA_2.wiff2.Zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD036786/20211108_Z1_ZW_001_30-0043_SWATH_MIXA_2.wiff2.Zip	SWATH_1uL	Author Fig.1 three repeat injections; commercial digest master mixtures; no biological replication. Source IDs are stratum-local analytical identifiers.	Author Methods: tryptic commercial standards, MS1 12 ppm/MS2 20 ppm. Vendor TM500 corroborates IAA alkylation; fixed CAM is curated, not inferred from RAW. Freeze reanalysis FASTA and optional PTMs before analysis.	400	900	not available	SWATH	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD036786 | https://doi.org/10.7554/ELIFE.83947	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	SWATH_1uL_A
PXD036786_SWATH_1uL_B	Homo sapiens	not applicable	not applicable	not applicable	1	SWATH_1uL_B	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=17.5 ng	PXD036786_20211108_Z1_ZW_001_30-0043_SWATH_MIXB_3	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=ZenoTOF 7600;AC=MS:1003293	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	12 ppm	20 ppm	3	1	NT=Data-independent acquisition;AC=PRIDE:0000450	20211108_Z1_ZW_001_30-0043_SWATH_MIXB_3.wiff	20211108_Z1_ZW_001_30-0043_SWATH_MIXB_3.wiff.scan	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD036786/20211108_Z1_ZW_001_30-0043_SWATH_MIXB_3.wiff2.Zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD036786/20211108_Z1_ZW_001_30-0043_SWATH_MIXB_3.wiff2.Zip	SWATH_1uL	Author Fig.1 three repeat injections; commercial digest master mixtures; no biological replication. Source IDs are stratum-local analytical identifiers.	Author Methods: tryptic commercial standards, MS1 12 ppm/MS2 20 ppm. Vendor TM500 corroborates IAA alkylation; fixed CAM is curated, not inferred from RAW. Freeze reanalysis FASTA and optional PTMs before analysis.	400	900	not available	SWATH	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD036786 | https://doi.org/10.7554/ELIFE.83947	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	SWATH_1uL_B
PXD036786_SWATH_1uL_A	Homo sapiens	not applicable	not applicable	not applicable	1	SWATH_1uL_A	CT=mixture;CN=Saccharomyces cerevisiae digest;SP=Saccharomyces cerevisiae;QY=35 ng	PXD036786_20211108_Z1_ZW_001_30-0043_SWATH_MIXA_3	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=ZenoTOF 7600;AC=MS:1003293	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	12 ppm	20 ppm	3	1	NT=Data-independent acquisition;AC=PRIDE:0000450	20211108_Z1_ZW_001_30-0043_SWATH_MIXA_3.wiff	20211108_Z1_ZW_001_30-0043_SWATH_MIXA_3.wiff.scan	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD036786/20211108_Z1_ZW_001_30-0043_SWATH_MIXA_3.wiff2.Zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD036786/20211108_Z1_ZW_001_30-0043_SWATH_MIXA_3.wiff2.Zip	SWATH_1uL	Author Fig.1 three repeat injections; commercial digest master mixtures; no biological replication. Source IDs are stratum-local analytical identifiers.	Author Methods: tryptic commercial standards, MS1 12 ppm/MS2 20 ppm. Vendor TM500 corroborates IAA alkylation; fixed CAM is curated, not inferred from RAW. Freeze reanalysis FASTA and optional PTMs before analysis.	400	900	not available	SWATH	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD036786 | https://doi.org/10.7554/ELIFE.83947	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	SWATH_1uL_A
