source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
AO-B065	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	AO-B065	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AO-B065.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/AO-B065.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
AO-A881	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	AO-A881	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AO-A881.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/AO-A881.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
AO-A844	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	AO-A844	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AO-A844.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/AO-A844.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
AO-A775	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	AO-A775	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AO-A775.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/AO-A775.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
TB_B13-167	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	TB_B13-167	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	TB_B13-167.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/TB_B13-167.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
AO-A846	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	AO-A846	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AO-A846.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/AO-A846.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
AO-A790	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	AO-A790	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AO-A790.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/AO-A790.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
TB_B13-196	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	TB_B13-196	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	TB_B13-196.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/TB_B13-196.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
AO-A769	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	AO-A769	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AO-A769.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/AO-A769.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
AO-B030	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	AO-B030	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AO-B030.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/AO-B030.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
AO-B061	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	AO-B061	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AO-B061.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/AO-B061.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
AO-A894	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	AO-A894	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AO-A894.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/AO-A894.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
AO-A848	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	AO-A848	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AO-A848.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/AO-A848.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
AO-A880	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	AO-A880	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	AO-A880.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/AO-A880.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
TB_B13-170	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	TB_B13-170	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	TB_B13-170.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/TB_B13-170.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
TB_B13-197	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	TB_B13-197	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	TB_B13-197.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/TB_B13-197.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
TB_B13-162	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	TB_B13-162	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	TB_B13-162.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/TB_B13-162.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
TB_B13-191	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	1	TB_B13-191	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.5 Da	0.5 Da	35% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	TB_B13-191.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002467/TB_B13-191.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	liver
