source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[sex]	characteristics[temperature]	characteristics[biological replicate]	assay name	technology type	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[modification parameters]	factor value[temperature]
31_T1__15-11-19	Cladocopium goreaui	not applicable	not applicable	not applicable	one week at 32C	1	31_T1__15-11-19	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	31_T1__15-11-19.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	one week at 32C
14_T0_13-11-19	Cladocopium goreaui	not applicable	not applicable	not applicable	controls (26C)	1	14_T0_13-11-19	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	14_T0_13-11-19.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	controls (26C)
29_TE__15-11-19_20191119204350	Cladocopium goreaui	not applicable	not applicable	not applicable	end of the temperature ramp	1	29_TE__15-11-19_20191119204350	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	29_TE__15-11-19_20191119204350.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	end of the temperature ramp
13_T0__14-11-19_20191117003900	Cladocopium goreaui	not applicable	not applicable	not applicable	controls (26C)	1	13_T0__14-11-19_20191117003900	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	13_T0__14-11-19_20191117003900.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	controls (26C)
13_T1rep__15-11-19	Cladocopium goreaui	not applicable	not applicable	not applicable	one week at 32C	1	13_T1rep__15-11-19	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	13_T1rep__15-11-19.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	one week at 32C
31_TE__17-11-19	Cladocopium goreaui	not applicable	not applicable	not applicable	end of the temperature ramp	1	31_TE__17-11-19	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	31_TE__17-11-19.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	end of the temperature ramp
31_TE__17-11-19_20191120070517	Cladocopium goreaui	not applicable	not applicable	not applicable	end of the temperature ramp	1	31_TE__17-11-19_20191120070517	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	31_TE__17-11-19_20191120070517.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	end of the temperature ramp
16_TE__14-11-19	Cladocopium goreaui	not applicable	not applicable	not applicable	end of the temperature ramp	1	16_TE__14-11-19	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	16_TE__14-11-19.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	end of the temperature ramp
29_TE__15-11-19	Cladocopium goreaui	not applicable	not applicable	not applicable	end of the temperature ramp	1	29_TE__15-11-19	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	29_TE__15-11-19.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	end of the temperature ramp
32_TE__14-11-19_20191117_2ndrep	Cladocopium goreaui	not applicable	not applicable	not applicable	end of the temperature ramp	1	32_TE__14-11-19_20191117_2ndrep	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	32_TE__14-11-19_20191117_2ndrep.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	end of the temperature ramp
29_T1__20-11-19	Cladocopium goreaui	not applicable	not applicable	not applicable	one week at 32C	1	29_T1__20-11-19	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	29_T1__20-11-19.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	one week at 32C
29_T0__14-11-19	Cladocopium goreaui	not applicable	not applicable	not applicable	controls (26C)	1	29_T0__14-11-19	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	29_T0__14-11-19.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	controls (26C)
32_T1_13-11-20	Cladocopium goreaui	not applicable	not applicable	not applicable	one week at 32C	1	32_T1_13-11-20	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	32_T1_13-11-20.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	one week at 32C
30_TE__21-11-19	Cladocopium goreaui	not applicable	not applicable	not applicable	end of the temperature ramp	1	30_TE__21-11-19	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	30_TE__21-11-19.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	end of the temperature ramp
31_T1__15-11-19_20191119070143	Cladocopium goreaui	not applicable	not applicable	not applicable	one week at 32C	1	31_T1__15-11-19_20191119070143	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	31_T1__15-11-19_20191119070143.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	one week at 32C
32_T1_13-11-20_20191117233740	Cladocopium goreaui	not applicable	not applicable	not applicable	one week at 32C	1	32_T1_13-11-20_20191117233740	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	32_T1_13-11-20_20191117233740.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	one week at 32C
