source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20140107_Q1_BenP_Human_Ex_v3_mono_3	homo sapiens	Skeletal muscle	not applicable	not available	enrichment of phosphorylated protein	3	20140107_Q1_BenP_Human_Ex_v3_mono_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.02 Da	17% NCE	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140107_Q1_BenP_Human_Ex_v3_mono_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001543/20140107_Q1_BenP_Human_Ex_v3_mono_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle
20140107_Q1_BenP_Human_Ex_v3_FT_11	homo sapiens	Skeletal muscle	not applicable	not available	enrichment of phosphorylated protein	11	20140107_Q1_BenP_Human_Ex_v3_FT_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.02 Da	17% NCE	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140107_Q1_BenP_Human_Ex_v3_FT_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001543/20140107_Q1_BenP_Human_Ex_v3_FT_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle
20140107_Q1_BenP_Human_Ex_v3_FT_6	homo sapiens	Skeletal muscle	not applicable	not available	enrichment of phosphorylated protein	6	20140107_Q1_BenP_Human_Ex_v3_FT_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.02 Da	17% NCE	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140107_Q1_BenP_Human_Ex_v3_FT_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001543/20140107_Q1_BenP_Human_Ex_v3_FT_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle
20140107_Q1_BenP_Human_Ex_v3_FT_9	homo sapiens	Skeletal muscle	not applicable	not available	enrichment of phosphorylated protein	9	20140107_Q1_BenP_Human_Ex_v3_FT_9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.02 Da	17% NCE	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140107_Q1_BenP_Human_Ex_v3_FT_9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001543/20140107_Q1_BenP_Human_Ex_v3_FT_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle
20140107_Q1_BenP_Human_Ex_v3_multi	homo sapiens	Skeletal muscle	not applicable	not available	enrichment of phosphorylated protein	1	20140107_Q1_BenP_Human_Ex_v3_multi	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.02 Da	17% NCE	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140107_Q1_BenP_Human_Ex_v3_multi.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001543/20140107_Q1_BenP_Human_Ex_v3_multi.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle
20140107_Q1_BenP_Human_Ex_v3_FT_2	homo sapiens	Skeletal muscle	not applicable	not available	enrichment of phosphorylated protein	2	20140107_Q1_BenP_Human_Ex_v3_FT_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.02 Da	17% NCE	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140107_Q1_BenP_Human_Ex_v3_FT_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001543/20140107_Q1_BenP_Human_Ex_v3_FT_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle
20140107_Q1_BenP_Human_Ex_v3_mono_16	homo sapiens	Skeletal muscle	not applicable	not available	enrichment of phosphorylated protein	16	20140107_Q1_BenP_Human_Ex_v3_mono_16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.02 Da	17% NCE	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140107_Q1_BenP_Human_Ex_v3_mono_16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001543/20140107_Q1_BenP_Human_Ex_v3_mono_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle
20140107_Q1_BenP_Human_Ex_v3_mono_4	homo sapiens	Skeletal muscle	not applicable	not available	enrichment of phosphorylated protein	4	20140107_Q1_BenP_Human_Ex_v3_mono_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.02 Da	17% NCE	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140107_Q1_BenP_Human_Ex_v3_mono_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001543/20140107_Q1_BenP_Human_Ex_v3_mono_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle
20140107_Q1_BenP_Human_Ex_v3_mono_10	homo sapiens	Skeletal muscle	not applicable	not available	enrichment of phosphorylated protein	10	20140107_Q1_BenP_Human_Ex_v3_mono_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.02 Da	17% NCE	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140107_Q1_BenP_Human_Ex_v3_mono_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001543/20140107_Q1_BenP_Human_Ex_v3_mono_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle
20140107_Q1_BenP_Human_Ex_v3_FT_4	homo sapiens	Skeletal muscle	not applicable	not available	enrichment of phosphorylated protein	4	20140107_Q1_BenP_Human_Ex_v3_FT_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.02 Da	17% NCE	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140107_Q1_BenP_Human_Ex_v3_FT_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001543/20140107_Q1_BenP_Human_Ex_v3_FT_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle
20140107_Q1_BenP_Human_Ex_v3_mono_2	homo sapiens	Skeletal muscle	not applicable	not available	enrichment of phosphorylated protein	2	20140107_Q1_BenP_Human_Ex_v3_mono_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.02 Da	17% NCE	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140107_Q1_BenP_Human_Ex_v3_mono_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001543/20140107_Q1_BenP_Human_Ex_v3_mono_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle
20140107_Q1_BenP_Human_Ex_v3_FT_5	homo sapiens	Skeletal muscle	not applicable	not available	enrichment of phosphorylated protein	5	20140107_Q1_BenP_Human_Ex_v3_FT_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.02 Da	17% NCE	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140107_Q1_BenP_Human_Ex_v3_FT_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001543/20140107_Q1_BenP_Human_Ex_v3_FT_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle
20140107_Q1_BenP_Human_Ex_v3_mono_13	homo sapiens	Skeletal muscle	not applicable	not available	enrichment of phosphorylated protein	13	20140107_Q1_BenP_Human_Ex_v3_mono_13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.02 Da	17% NCE	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	20140107_Q1_BenP_Human_Ex_v3_mono_13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/06/PXD001543/20140107_Q1_BenP_Human_Ex_v3_mono_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skeletal muscle
