source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
3H11_5-R4	3H11_5-R4	Acidovorax sp.	wastewater	not applicable	not available	Nitrite_toxicity_drives_nitrous_oxide_accumulation_in_a_cooperative_denitrifying_synthetic_community	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	3H11_5-R4	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	3H11_5-R4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
3H11_5-R5	3H11_5-R5	Acidovorax sp.	wastewater	not applicable	not available	Nitrite_toxicity_drives_nitrous_oxide_accumulation_in_a_cooperative_denitrifying_synthetic_community	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	3H11_5-R5	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	3H11_5-R5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
3H11_5-R6	3H11_5-R6	Acidovorax sp.	wastewater	not applicable	not available	Nitrite_toxicity_drives_nitrous_oxide_accumulation_in_a_cooperative_denitrifying_synthetic_community	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	3H11_5-R6	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	3H11_5-R6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
3H11_5-R7	3H11_5-R7	Acidovorax sp.	wastewater	not applicable	not available	Nitrite_toxicity_drives_nitrous_oxide_accumulation_in_a_cooperative_denitrifying_synthetic_community	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	3H11_5-R7	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	3H11_5-R7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
3H11_5-R8	3H11_5-R8	Acidovorax sp.	wastewater	not applicable	not available	Nitrite_toxicity_drives_nitrous_oxide_accumulation_in_a_cooperative_denitrifying_synthetic_community	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	3H11_5-R8	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	3H11_5-R8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
3H11_50-R1	3H11_50-R1	Acidovorax sp.	wastewater	not applicable	not available	Nitrite_toxicity_drives_nitrous_oxide_accumulation_in_a_cooperative_denitrifying_synthetic_community	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	3H11_50-R1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	3H11_50-R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
3H11_50-R2	3H11_50-R2	Acidovorax sp.	wastewater	not applicable	not available	Nitrite_toxicity_drives_nitrous_oxide_accumulation_in_a_cooperative_denitrifying_synthetic_community	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	3H11_50-R2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	3H11_50-R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
3H11_50-R5	3H11_50-R5	Acidovorax sp.	wastewater	not applicable	not available	Nitrite_toxicity_drives_nitrous_oxide_accumulation_in_a_cooperative_denitrifying_synthetic_community	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	3H11_50-R5	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	3H11_50-R5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
3H11_50-R6	3H11_50-R6	Acidovorax sp.	wastewater	not applicable	not available	Nitrite_toxicity_drives_nitrous_oxide_accumulation_in_a_cooperative_denitrifying_synthetic_community	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	3H11_50-R6	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	3H11_50-R6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
3H11_50-R7	3H11_50-R7	Acidovorax sp.	wastewater	not applicable	not available	Nitrite_toxicity_drives_nitrous_oxide_accumulation_in_a_cooperative_denitrifying_synthetic_community	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	3H11_50-R7	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	3H11_50-R7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
3H11_65-R1	3H11_65-R1	Acidovorax sp.	wastewater	not applicable	not available	Nitrite_toxicity_drives_nitrous_oxide_accumulation_in_a_cooperative_denitrifying_synthetic_community	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	3H11_65-R1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	3H11_65-R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
3H11_65-R2	3H11_65-R2	Acidovorax sp.	wastewater	not applicable	not available	Nitrite_toxicity_drives_nitrous_oxide_accumulation_in_a_cooperative_denitrifying_synthetic_community	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	3H11_65-R2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	3H11_65-R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
3H11_65-R4	3H11_65-R4	Acidovorax sp.	wastewater	not applicable	not available	Nitrite_toxicity_drives_nitrous_oxide_accumulation_in_a_cooperative_denitrifying_synthetic_community	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	3H11_65-R4	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	3H11_65-R4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
3H11_65-R5	3H11_65-R5	Acidovorax sp.	wastewater	not applicable	not available	Nitrite_toxicity_drives_nitrous_oxide_accumulation_in_a_cooperative_denitrifying_synthetic_community	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	3H11_65-R5	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	3H11_65-R5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
3H11_65-R6	3H11_65-R6	Acidovorax sp.	wastewater	not applicable	not available	Nitrite_toxicity_drives_nitrous_oxide_accumulation_in_a_cooperative_denitrifying_synthetic_community	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	3H11_65-R6	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	3H11_65-R6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
3H11_65-R7	3H11_65-R7	Acidovorax sp.	wastewater	not applicable	not available	Nitrite_toxicity_drives_nitrous_oxide_accumulation_in_a_cooperative_denitrifying_synthetic_community	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	3H11_65-R7	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	3H11_65-R7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
3H11_65-R8	3H11_65-R8	Acidovorax sp.	wastewater	not applicable	not available	Nitrite_toxicity_drives_nitrous_oxide_accumulation_in_a_cooperative_denitrifying_synthetic_community	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	3H11_65-R8	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	3H11_65-R8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
3H11_80-R1	3H11_80-R1	Acidovorax sp.	wastewater	not applicable	not available	Nitrite_toxicity_drives_nitrous_oxide_accumulation_in_a_cooperative_denitrifying_synthetic_community	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	3H11_80-R1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	3H11_80-R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
3H11_80-R3	3H11_80-R3	Acidovorax sp.	wastewater	not applicable	not available	Nitrite_toxicity_drives_nitrous_oxide_accumulation_in_a_cooperative_denitrifying_synthetic_community	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	3H11_80-R3	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	3H11_80-R3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
3H11_80-R4	3H11_80-R4	Acidovorax sp.	wastewater	not applicable	not available	Nitrite_toxicity_drives_nitrous_oxide_accumulation_in_a_cooperative_denitrifying_synthetic_community	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	3H11_80-R4	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	3H11_80-R4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
3H11_80-R6	3H11_80-R6	Acidovorax sp.	wastewater	not applicable	not available	Nitrite_toxicity_drives_nitrous_oxide_accumulation_in_a_cooperative_denitrifying_synthetic_community	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	3H11_80-R6	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	3H11_80-R6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
3H11_80-R7	3H11_80-R7	Acidovorax sp.	wastewater	not applicable	not available	Nitrite_toxicity_drives_nitrous_oxide_accumulation_in_a_cooperative_denitrifying_synthetic_community	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	3H11_80-R7	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	3H11_80-R7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
3H11_80-R8	3H11_80-R8	Acidovorax sp.	wastewater	not applicable	not available	Nitrite_toxicity_drives_nitrous_oxide_accumulation_in_a_cooperative_denitrifying_synthetic_community	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	3H11_80-R8	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	3H11_80-R8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
3H11_95-R1	3H11_95-R1	Acidovorax sp.	wastewater	not applicable	not available	Nitrite_toxicity_drives_nitrous_oxide_accumulation_in_a_cooperative_denitrifying_synthetic_community	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	3H11_95-R1	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	3H11_95-R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
3H11_95-R2	3H11_95-R2	Acidovorax sp.	wastewater	not applicable	not available	Nitrite_toxicity_drives_nitrous_oxide_accumulation_in_a_cooperative_denitrifying_synthetic_community	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	3H11_95-R2	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	3H11_95-R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
