source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[organism]
dog_skin_fibroblast_rep3	Canis lupus familiaris	skin of body	fibroblast	normal	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	not pooled	3	proteome_run_11	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200218_DogSF_C.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Canis lupus familiaris;AC=NCBITaxon:9615
dog_skin_fibroblast_proteome_pool	Canis lupus familiaris	skin of body	fibroblast	normal	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	SN=dog_skin_fibroblast_rep1;SN=dog_skin_fibroblast_rep2;SN=dog_skin_fibroblast_rep3	pooled	proteome_run_12	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200226_Dog_mix_pro.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Canis lupus familiaris;AC=NCBITaxon:9615
horse_skin_fibroblast_rep1	Equus caballus	skin of body	fibroblast	normal	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	not pooled	1	proteome_run_13	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200218_HorseCayenne.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Equus caballus;AC=NCBITaxon:9796
horse_skin_fibroblast_rep2	Equus caballus	skin of body	fibroblast	normal	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	not pooled	2	proteome_run_14	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200218_HorseFarrah.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Equus caballus;AC=NCBITaxon:9796
horse_skin_fibroblast_rep3	Equus caballus	skin of body	fibroblast	normal	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	not pooled	3	proteome_run_15	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200218_HorseFiona.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Equus caballus;AC=NCBITaxon:9796
horse_skin_fibroblast_proteome_pool	Equus caballus	skin of body	fibroblast	normal	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	SN=horse_skin_fibroblast_rep1;SN=horse_skin_fibroblast_rep2;SN=horse_skin_fibroblast_rep3	pooled	proteome_run_16	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200226_Horse_mix_pro.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Equus caballus;AC=NCBITaxon:9796
human_skin_fibroblast_rep1	Homo sapiens	skin of body	fibroblast	normal	not available	not available	male	not available	cell line	BJ-5ta	CVCL_6573	BJ-5ta	not pooled	1	proteome_run_17	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200218_HsSF_A.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Homo sapiens;AC=NCBITaxon:9606
human_skin_fibroblast_rep2	Homo sapiens	skin of body	fibroblast	normal	not available	not available	male	not available	cell line	BJ-5ta	CVCL_6573	BJ-5ta	not pooled	2	proteome_run_18	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200218_HsSF_B.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Homo sapiens;AC=NCBITaxon:9606
human_skin_fibroblast_rep3	Homo sapiens	skin of body	fibroblast	normal	not available	not available	male	not available	cell line	BJ-5ta	CVCL_6573	BJ-5ta	not pooled	3	proteome_run_19	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200218_HsSF_C.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Homo sapiens;AC=NCBITaxon:9606
human_skin_fibroblast_rep4	Homo sapiens	skin of body	fibroblast	normal	not available	not available	male	not available	cell line	BJ-5ta	CVCL_6573	BJ-5ta	not pooled	4	proteome_run_20	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200218_HsSF_D.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Homo sapiens;AC=NCBITaxon:9606
human_skin_fibroblast_rep5	Homo sapiens	skin of body	fibroblast	normal	not available	not available	male	not available	cell line	BJ-5ta	CVCL_6573	BJ-5ta	not pooled	5	proteome_run_21	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200218_HsSF_E.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Homo sapiens;AC=NCBITaxon:9606
human_skin_fibroblast_rep6	Homo sapiens	skin of body	fibroblast	normal	not available	not available	male	not available	cell line	BJ-5ta	CVCL_6573	BJ-5ta	not pooled	6	proteome_run_22	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200218_HsSF_F.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Homo sapiens;AC=NCBITaxon:9606
human_skin_fibroblast_proteome_pool	Homo sapiens	skin of body	fibroblast	normal	not available	not available	male	not available	cell line	BJ-5ta	CVCL_6573	BJ-5ta	SN=human_skin_fibroblast_rep1;SN=human_skin_fibroblast_rep2;SN=human_skin_fibroblast_rep3;SN=human_skin_fibroblast_rep4;SN=human_skin_fibroblast_rep5;SN=human_skin_fibroblast_rep6	pooled	proteome_run_23	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200226_Human_mix_pro.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Homo sapiens;AC=NCBITaxon:9606
monkey_skin_fibroblast_rep1	Macaca mulatta	skin of body	fibroblast	normal	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	not pooled	1	proteome_run_24	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200218_Monkey100418.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Macaca mulatta;AC=NCBITaxon:9544
monkey_skin_fibroblast_rep2	Macaca mulatta	skin of body	fibroblast	normal	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	not pooled	2	proteome_run_25	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200218_Monkey46958.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Macaca mulatta;AC=NCBITaxon:9544
monkey_skin_fibroblast_proteome_pool	Macaca mulatta	skin of body	fibroblast	normal	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	SN=monkey_skin_fibroblast_rep1;SN=monkey_skin_fibroblast_rep2	pooled	proteome_run_26	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200226_Monkey_mix_pro.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Macaca mulatta;AC=NCBITaxon:9544
opossum_skin_fibroblast_rep1	Monodelphis domestica	skin of body	fibroblast	normal	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	not pooled	1	proteome_run_27	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200218_OpposumMdSF_A.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Monodelphis domestica;AC=NCBITaxon:13616
opossum_skin_fibroblast_rep2	Monodelphis domestica	skin of body	fibroblast	normal	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	not pooled	2	proteome_run_28	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200218_OpposumMdSF_B.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Monodelphis domestica;AC=NCBITaxon:13616
opossum_skin_fibroblast_rep3	Monodelphis domestica	skin of body	fibroblast	normal	not available	not available	not available	not available	cell	not applicable	not applicable	not applicable	not pooled	3	proteome_run_29	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	350	1650	not available	not available	not available	1	1	20200218_OpposumMdSF_C.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=Monodelphis domestica;AC=NCBITaxon:13616
