source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sex]	characteristics[age]	characteristics[biological replicate]	characteristics[material type]	assay name	technology type	comment[fractionation method]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[proteomics data acquisition method]	factor value[instrument]
Sample GroupA HeLa QE3	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 26	proteomic profiling by mass spectrometry	not applicable	AC=MS:1001911;NT=Q Exactive	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Peptide N-term;MT=Variable	not applicable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	4.5 ppm	20 ppm	Data-Dependent Acquisition	3	2	20140515_QE3_UPLC9_RJC_DEV_ASMS_Exp9_2-4_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Data-Dependent Acquisition	AC=MS:1001911;NT=Q Exactive
Sample GroupA HeLa QE3	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 27	proteomic profiling by mass spectrometry	not applicable	AC=MS:1001911;NT=Q Exactive	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Peptide N-term;MT=Variable	not applicable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	4.5 ppm	20 ppm	Data-Dependent Acquisition	3	3	20140515_QE3_UPLC9_RJC_DEV_ASMS_Exp9_2-4_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Data-Dependent Acquisition	AC=MS:1001911;NT=Q Exactive
Sample GroupB fast 10 ng	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 28	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Peptide N-term;MT=Variable	not applicable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	4.5 ppm	20 ppm	Data-Dependent Acquisition	1	1	20140529_QE7_UPLC9_RJC_DEV_Exp3_fast_10ng_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Data-Dependent Acquisition	AC=MS:1002523;NT=Q Exactive HF
Sample GroupB fast 10 ng	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 29	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Peptide N-term;MT=Variable	not applicable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	4.5 ppm	20 ppm	Data-Dependent Acquisition	1	2	20140529_QE7_UPLC9_RJC_DEV_Exp3_fast_10ng_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Data-Dependent Acquisition	AC=MS:1002523;NT=Q Exactive HF
Sample GroupB fast 10 ng	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 30	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Peptide N-term;MT=Variable	not applicable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	4.5 ppm	20 ppm	Data-Dependent Acquisition	1	3	20140529_QE7_UPLC9_RJC_DEV_Exp3_fast_10ng_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Data-Dependent Acquisition	AC=MS:1002523;NT=Q Exactive HF
Sample GroupB fast 100 ng	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 31	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Peptide N-term;MT=Variable	not applicable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	4.5 ppm	20 ppm	Data-Dependent Acquisition	1	1	20140529_QE7_UPLC9_RJC_DEV_Exp3_fast_100ng_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Data-Dependent Acquisition	AC=MS:1002523;NT=Q Exactive HF
Sample GroupB fast 100 ng	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 32	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Peptide N-term;MT=Variable	not applicable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	4.5 ppm	20 ppm	Data-Dependent Acquisition	1	2	20140529_QE7_UPLC9_RJC_DEV_Exp3_fast_100ng_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Data-Dependent Acquisition	AC=MS:1002523;NT=Q Exactive HF
Sample GroupB fast 100 ng	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 33	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Peptide N-term;MT=Variable	not applicable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	4.5 ppm	20 ppm	Data-Dependent Acquisition	1	3	20140529_QE7_UPLC9_RJC_DEV_Exp3_fast_100ng_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Data-Dependent Acquisition	AC=MS:1002523;NT=Q Exactive HF
Sample GroupB fast 1 µg	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 34	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Peptide N-term;MT=Variable	not applicable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	4.5 ppm	20 ppm	Data-Dependent Acquisition	1	1	20140529_QE7_UPLC9_RJC_DEV_Exp3_fast_1ug_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Data-Dependent Acquisition	AC=MS:1002523;NT=Q Exactive HF
Sample GroupB fast 1 µg	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 35	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Peptide N-term;MT=Variable	not applicable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	4.5 ppm	20 ppm	Data-Dependent Acquisition	1	2	20140529_QE7_UPLC9_RJC_DEV_Exp3_fast_1ug_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Data-Dependent Acquisition	AC=MS:1002523;NT=Q Exactive HF
Sample GroupB fast 1 µg	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 36	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Peptide N-term;MT=Variable	not applicable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	4.5 ppm	20 ppm	Data-Dependent Acquisition	1	3	20140529_QE7_UPLC9_RJC_DEV_Exp3_fast_1ug_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Data-Dependent Acquisition	AC=MS:1002523;NT=Q Exactive HF
Sample GroupB fast 10 µg	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 37	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Peptide N-term;MT=Variable	not applicable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	4.5 ppm	20 ppm	Data-Dependent Acquisition	1	1	20140529_QE7_UPLC9_RJC_DEV_Exp3_fast_10ug_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Data-Dependent Acquisition	AC=MS:1002523;NT=Q Exactive HF
Sample GroupB fast 10 µg	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 38	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Peptide N-term;MT=Variable	not applicable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	4.5 ppm	20 ppm	Data-Dependent Acquisition	1	2	20140529_QE7_UPLC9_RJC_DEV_Exp3_fast_10ug_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Data-Dependent Acquisition	AC=MS:1002523;NT=Q Exactive HF
Sample GroupB fast 10 µg	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 39	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Peptide N-term;MT=Variable	not applicable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	4.5 ppm	20 ppm	Data-Dependent Acquisition	1	3	20140529_QE7_UPLC9_RJC_DEV_Exp3_fast_10ug_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Data-Dependent Acquisition	AC=MS:1002523;NT=Q Exactive HF
Sample GroupB faster 10 ng	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 40	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Peptide N-term;MT=Variable	not applicable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	4.5 ppm	20 ppm	Data-Dependent Acquisition	1	1	20140529_QE7_UPLC9_RJC_DEV_Exp3_faster_10ng_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Data-Dependent Acquisition	AC=MS:1002523;NT=Q Exactive HF
Sample GroupB faster 10 ng	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 41	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Peptide N-term;MT=Variable	not applicable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	4.5 ppm	20 ppm	Data-Dependent Acquisition	1	2	20140529_QE7_UPLC9_RJC_DEV_Exp3_faster_10ng_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Data-Dependent Acquisition	AC=MS:1002523;NT=Q Exactive HF
Sample GroupB faster 10 ng	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 42	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Peptide N-term;MT=Variable	not applicable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	4.5 ppm	20 ppm	Data-Dependent Acquisition	1	3	20140529_QE7_UPLC9_RJC_DEV_Exp3_faster_10ng_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Data-Dependent Acquisition	AC=MS:1002523;NT=Q Exactive HF
Sample GroupB faster 100 ng	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 43	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Peptide N-term;MT=Variable	not applicable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	4.5 ppm	20 ppm	Data-Dependent Acquisition	1	1	20140529_QE7_UPLC9_RJC_DEV_Exp3_faster_100ng_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Data-Dependent Acquisition	AC=MS:1002523;NT=Q Exactive HF
Sample GroupB faster 100 ng	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 44	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Peptide N-term;MT=Variable	not applicable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	4.5 ppm	20 ppm	Data-Dependent Acquisition	1	2	20140529_QE7_UPLC9_RJC_DEV_Exp3_faster_100ng_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Data-Dependent Acquisition	AC=MS:1002523;NT=Q Exactive HF
Sample GroupB faster 100 ng	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 45	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Peptide N-term;MT=Variable	not applicable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	4.5 ppm	20 ppm	Data-Dependent Acquisition	1	3	20140529_QE7_UPLC9_RJC_DEV_Exp3_faster_100ng_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Data-Dependent Acquisition	AC=MS:1002523;NT=Q Exactive HF
Sample GroupB faster 1 µg	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 46	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Peptide N-term;MT=Variable	not applicable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	4.5 ppm	20 ppm	Data-Dependent Acquisition	1	1	20140529_QE7_UPLC9_RJC_DEV_Exp3_faster_1ug_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Data-Dependent Acquisition	AC=MS:1002523;NT=Q Exactive HF
Sample GroupB faster 1 µg	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 47	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Peptide N-term;MT=Variable	not applicable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	4.5 ppm	20 ppm	Data-Dependent Acquisition	1	2	20140529_QE7_UPLC9_RJC_DEV_Exp3_faster_1ug_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Data-Dependent Acquisition	AC=MS:1002523;NT=Q Exactive HF
Sample GroupB faster 1 µg	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 48	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Peptide N-term;MT=Variable	not applicable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	4.5 ppm	20 ppm	Data-Dependent Acquisition	1	3	20140529_QE7_UPLC9_RJC_DEV_Exp3_faster_1ug_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Data-Dependent Acquisition	AC=MS:1002523;NT=Q Exactive HF
Sample GroupB faster 10 µg	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 49	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Peptide N-term;MT=Variable	not applicable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	4.5 ppm	20 ppm	Data-Dependent Acquisition	1	1	20140529_QE7_UPLC9_RJC_DEV_Exp3_faster_10ug_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Data-Dependent Acquisition	AC=MS:1002523;NT=Q Exactive HF
Sample GroupB faster 10 µg	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 50	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Peptide N-term;MT=Variable	not applicable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	4.5 ppm	20 ppm	Data-Dependent Acquisition	1	2	20140529_QE7_UPLC9_RJC_DEV_Exp3_faster_10ug_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Data-Dependent Acquisition	AC=MS:1002523;NT=Q Exactive HF
Sample GroupB faster 10 µg	Homo sapiens	uterine cervix	cervical adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 51	proteomic profiling by mass spectrometry	not applicable	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;PP=Peptide N-term;MT=Variable	not applicable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	4.5 ppm	20 ppm	Data-Dependent Acquisition	1	3	20140529_QE7_UPLC9_RJC_DEV_Exp3_faster_10ug_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	Data-Dependent Acquisition	AC=MS:1002523;NT=Q Exactive HF
