source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[cell type]	characteristics[condition]	characteristics[spiked compound]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[file uri]	comment[study group]	comment[acquisition branch]	comment[replicate label]	comment[replicate provenance]	comment[annotation source]	comment[annotation provenance]	comment[annotation scope]	comment[sdrf template]	factor value[condition]
PXD044981_UPS2_1x	Saccharomyces cerevisiae	not applicable	not applicable	1	not available	1x	CT=mixture;CN=UPS2	B000288_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio10_DDA_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	2	1	B000288_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio10_DDA_2.raw	v1.1.0	not available	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD044981/B000288_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio10_DDA_2.raw	PXD044981	DDA	2	author-reported	https://www.ebi.ac.uk/pride/archive/projects/PXD044981 | https://doi.org/10.1021/ACS.JPROTEOME.4C00048	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	not available	NT=ms-proteomics;VV=v1.1.0	1x
B000292_Ap_6883_EXT-765_DIA_2_UPS2_Only_DDA_2	Homo sapiens	not applicable	not available	1	not available	UPS2_standard_library	not available	B000292_Ap_6883_EXT-765_DIA_2_UPS2_Only_DDA_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	1	1	B000292_Ap_6883_EXT-765_DIA_2_UPS2_Only_DDA_2.raw	v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	not available	not available	not available	not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD044981/B000292_Ap_6883_EXT-765_DIA_2_UPS2_Only_DDA_2.raw	not available	not available	not available	not available	https://www.ebi.ac.uk/pride/archive/projects/PXD044981 | https://doi.org/10.1021/acs.jproteome.4c00048	not available	Separate DDA standard/library acquisition, not one of the yeast-UPS2 quantitative mixtures; role supported by deposited file name.	NT=ms-proteomics;VV=v1.1.0	UPS2_standard_library
PXD044981_UPS2_10x	Saccharomyces cerevisiae	not applicable	not applicable	1	not available	10x	CT=mixture;CN=UPS2	B000296_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio01_DDA_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	3	1	B000296_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio01_DDA_3.raw	v1.1.0	not available	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD044981/B000296_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio01_DDA_3.raw	PXD044981	DDA	3	author-reported	https://www.ebi.ac.uk/pride/archive/projects/PXD044981 | https://doi.org/10.1021/ACS.JPROTEOME.4C00048	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	not available	NT=ms-proteomics;VV=v1.1.0	10x
PXD044981_UPS2_5x	Saccharomyces cerevisiae	not applicable	not applicable	1	not available	5x	CT=mixture;CN=UPS2	B000300_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio02_DDA_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	3	1	B000300_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio02_DDA_3.raw	v1.1.0	not available	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD044981/B000300_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio02_DDA_3.raw	PXD044981	DDA	3	author-reported	https://www.ebi.ac.uk/pride/archive/projects/PXD044981 | https://doi.org/10.1021/ACS.JPROTEOME.4C00048	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	not available	NT=ms-proteomics;VV=v1.1.0	5x
PXD044981_UPS2_2.5x	Saccharomyces cerevisiae	not applicable	not applicable	1	not available	2.5x	CT=mixture;CN=UPS2	B000304_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio04_DDA_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	3	1	B000304_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio04_DDA_3.raw	v1.1.0	not available	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD044981/B000304_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio04_DDA_3.raw	PXD044981	DDA	3	author-reported	https://www.ebi.ac.uk/pride/archive/projects/PXD044981 | https://doi.org/10.1021/ACS.JPROTEOME.4C00048	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	not available	NT=ms-proteomics;VV=v1.1.0	2.5x
PXD044981_UPS2_1.25x	Saccharomyces cerevisiae	not applicable	not applicable	1	not available	1.25x	CT=mixture;CN=UPS2	B000308_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio08_DDA_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	3	1	B000308_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio08_DDA_3.raw	v1.1.0	not available	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD044981/B000308_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio08_DDA_3.raw	PXD044981	DDA	3	author-reported	https://www.ebi.ac.uk/pride/archive/projects/PXD044981 | https://doi.org/10.1021/ACS.JPROTEOME.4C00048	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	not available	NT=ms-proteomics;VV=v1.1.0	1.25x
PXD044981_UPS2_1x	Saccharomyces cerevisiae	not applicable	not applicable	1	not available	1x	CT=mixture;CN=UPS2	B000312_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio10_DDA_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	3	1	B000312_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio10_DDA_3.raw	v1.1.0	not available	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD044981/B000312_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio10_DDA_3.raw	PXD044981	DDA	3	author-reported	https://www.ebi.ac.uk/pride/archive/projects/PXD044981 | https://doi.org/10.1021/ACS.JPROTEOME.4C00048	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	not available	NT=ms-proteomics;VV=v1.1.0	1x
B000316_Ap_6883_EXT-765_DIA_3_UPS2_Only_DDA_3	Homo sapiens	not applicable	not available	1	not available	UPS2_standard_library	not available	B000316_Ap_6883_EXT-765_DIA_3_UPS2_Only_DDA_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	1	1	B000316_Ap_6883_EXT-765_DIA_3_UPS2_Only_DDA_3.raw	v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	not available	not available	not available	not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD044981/B000316_Ap_6883_EXT-765_DIA_3_UPS2_Only_DDA_3.raw	not available	not available	not available	not available	https://www.ebi.ac.uk/pride/archive/projects/PXD044981 | https://doi.org/10.1021/acs.jproteome.4c00048	not available	Separate DDA standard/library acquisition, not one of the yeast-UPS2 quantitative mixtures; role supported by deposited file name.	NT=ms-proteomics;VV=v1.1.0	UPS2_standard_library
B002428_Bp_PRC-1013_FRIMP_An-UPS1-iRT-DDA_1	Homo sapiens	not applicable	not available	1	not available	UPS1_standard_library	not available	B002428_Bp_PRC-1013_FRIMP_An-UPS1-iRT-DDA_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	1	1	B002428_Bp_PRC-1013_FRIMP_An-UPS1-iRT-DDA_1.raw	v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	not available	not available	not available	not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD044981/B002428_Bp_PRC-1013_FRIMP_An-UPS1-iRT-DDA_1.raw	not available	not available	not available	not available	https://www.ebi.ac.uk/pride/archive/projects/PXD044981 | https://doi.org/10.1021/acs.jproteome.4c00048	not available	Separate DDA standard/library acquisition, not one of the yeast-UPS2 quantitative mixtures; role supported by deposited file name.	NT=ms-proteomics;VV=v1.1.0	UPS1_standard_library
B002430_Bp_PRC-1013_FRIMP_An-UPS1-iRT-DDA_2	Homo sapiens	not applicable	not available	1	not available	UPS1_standard_library	not available	B002430_Bp_PRC-1013_FRIMP_An-UPS1-iRT-DDA_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	1	1	B002430_Bp_PRC-1013_FRIMP_An-UPS1-iRT-DDA_2.raw	v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	not available	not available	not available	not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD044981/B002430_Bp_PRC-1013_FRIMP_An-UPS1-iRT-DDA_2.raw	not available	not available	not available	not available	https://www.ebi.ac.uk/pride/archive/projects/PXD044981 | https://doi.org/10.1021/acs.jproteome.4c00048	not available	Separate DDA standard/library acquisition, not one of the yeast-UPS2 quantitative mixtures; role supported by deposited file name.	NT=ms-proteomics;VV=v1.1.0	UPS1_standard_library
B002432_Bp_PRC-1013_FRIMP_An-UPS1-iRT-DDA_3	Homo sapiens	not applicable	not available	1	not available	UPS1_standard_library	not available	B002432_Bp_PRC-1013_FRIMP_An-UPS1-iRT-DDA_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	1	1	B002432_Bp_PRC-1013_FRIMP_An-UPS1-iRT-DDA_3.raw	v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	not available	not available	not available	not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD044981/B002432_Bp_PRC-1013_FRIMP_An-UPS1-iRT-DDA_3.raw	not available	not available	not available	not available	https://www.ebi.ac.uk/pride/archive/projects/PXD044981 | https://doi.org/10.1021/acs.jproteome.4c00048	not available	Separate DDA standard/library acquisition, not one of the yeast-UPS2 quantitative mixtures; role supported by deposited file name.	NT=ms-proteomics;VV=v1.1.0	UPS1_standard_library
