source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[condition]	characteristics[spiked compound]	characteristics[spiked compound]	assay name	technology type	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[technical replicate]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[study group]	comment[replicate provenance]	comment[search parameter source]	comment[sdrf version]	comment[sdrf template]	comment[annotation source]	comment[sdrf annotation tool]	comment[annotation provenance]	factor value[condition]
PXD003841_DigLiq_UPS1_2.5fmol_prep2	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	1	DigLiq_UPS1_2.5fmol	CT=mixture;CN=UPS1 standard;SP=Homo sapiens;QY=2.5 fmol	not applicable	PXD003841_QE06936	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not available	20 ppm	2	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QE06936.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/10/PXD003841/QE06936.raw	DigLiq	triplicate sample preparations per dose and protocol; preparation numbers from author Experiment column; no biological replication claimed	Author-deposited Liquid_digestion-txt.zip summary.txt and parameters.txt; precursor tolerance not recorded	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD003841 | https://doi.org/10.1002/pmic.201600288	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	DigLiq_UPS1_2.5fmol
PXD003841_DigLiq_UPS1_2.5fmol_prep3	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	1	DigLiq_UPS1_2.5fmol	CT=mixture;CN=UPS1 standard;SP=Homo sapiens;QY=2.5 fmol	not applicable	PXD003841_QE06965	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not available	20 ppm	3	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QE06965.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/10/PXD003841/QE06965.raw	DigLiq	triplicate sample preparations per dose and protocol; preparation numbers from author Experiment column; no biological replication claimed	Author-deposited Liquid_digestion-txt.zip summary.txt and parameters.txt; precursor tolerance not recorded	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD003841 | https://doi.org/10.1002/pmic.201600288	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	DigLiq_UPS1_2.5fmol
PXD003841_DigLiq_UPS1_25fmol_prep1	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	1	DigLiq_UPS1_25fmol	CT=mixture;CN=UPS1 standard;SP=Homo sapiens;QY=25 fmol	not applicable	PXD003841_QE07030	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not available	20 ppm	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QE07030.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/10/PXD003841/QE07030.raw	DigLiq	triplicate sample preparations per dose and protocol; preparation numbers from author Experiment column; no biological replication claimed	Author-deposited Liquid_digestion-txt.zip summary.txt and parameters.txt; precursor tolerance not recorded	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD003841 | https://doi.org/10.1002/pmic.201600288	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	DigLiq_UPS1_25fmol
PXD003841_DigLiq_UPS1_25fmol_prep2	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	1	DigLiq_UPS1_25fmol	CT=mixture;CN=UPS1 standard;SP=Homo sapiens;QY=25 fmol	not applicable	PXD003841_QE06996	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not available	20 ppm	2	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QE06996.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/10/PXD003841/QE06996.raw	DigLiq	triplicate sample preparations per dose and protocol; preparation numbers from author Experiment column; no biological replication claimed	Author-deposited Liquid_digestion-txt.zip summary.txt and parameters.txt; precursor tolerance not recorded	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD003841 | https://doi.org/10.1002/pmic.201600288	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	DigLiq_UPS1_25fmol
PXD003841_DigLiq_UPS1_25fmol_prep3	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	1	DigLiq_UPS1_25fmol	CT=mixture;CN=UPS1 standard;SP=Homo sapiens;QY=25 fmol	not applicable	PXD003841_QE07000	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not available	20 ppm	3	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QE07000.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/10/PXD003841/QE07000.raw	DigLiq	triplicate sample preparations per dose and protocol; preparation numbers from author Experiment column; no biological replication claimed	Author-deposited Liquid_digestion-txt.zip summary.txt and parameters.txt; precursor tolerance not recorded	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD003841 | https://doi.org/10.1002/pmic.201600288	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	DigLiq_UPS1_25fmol
PXD003841_DigLiq_UPS1_5fmol_prep1	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	1	DigLiq_UPS1_5fmol	CT=mixture;CN=UPS1 standard;SP=Homo sapiens;QY=5 fmol	not applicable	PXD003841_QE07019	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not available	20 ppm	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QE07019.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/10/PXD003841/QE07019.raw	DigLiq	triplicate sample preparations per dose and protocol; preparation numbers from author Experiment column; no biological replication claimed	Author-deposited Liquid_digestion-txt.zip summary.txt and parameters.txt; precursor tolerance not recorded	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD003841 | https://doi.org/10.1002/pmic.201600288	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	DigLiq_UPS1_5fmol
PXD003841_DigLiq_UPS1_5fmol_prep2	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	1	DigLiq_UPS1_5fmol	CT=mixture;CN=UPS1 standard;SP=Homo sapiens;QY=5 fmol	not applicable	PXD003841_QE06929	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not available	20 ppm	2	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QE06929.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/10/PXD003841/QE06929.raw	DigLiq	triplicate sample preparations per dose and protocol; preparation numbers from author Experiment column; no biological replication claimed	Author-deposited Liquid_digestion-txt.zip summary.txt and parameters.txt; precursor tolerance not recorded	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD003841 | https://doi.org/10.1002/pmic.201600288	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	DigLiq_UPS1_5fmol
PXD003841_DigLiq_UPS1_5fmol_prep3	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	1	DigLiq_UPS1_5fmol	CT=mixture;CN=UPS1 standard;SP=Homo sapiens;QY=5 fmol	not applicable	PXD003841_QE06984	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not available	20 ppm	3	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QE06984.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/10/PXD003841/QE06984.raw	DigLiq	triplicate sample preparations per dose and protocol; preparation numbers from author Experiment column; no biological replication claimed	Author-deposited Liquid_digestion-txt.zip summary.txt and parameters.txt; precursor tolerance not recorded	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD003841 | https://doi.org/10.1002/pmic.201600288	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	DigLiq_UPS1_5fmol
PXD003841_Stack_UPS1_0.5fmol_prep1	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	1	Stack_UPS1_0.5fmol	CT=mixture;CN=UPS1 standard;SP=Homo sapiens;QY=0.5 fmol	not applicable	PXD003841_QE07009	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Variable	not available	20 ppm	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QE07009.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/10/PXD003841/QE07009.raw	Stack	triplicate sample preparations per dose and protocol; preparation numbers from author Experiment column; no biological replication claimed	Author-deposited Stacking-txt.zip summary.txt and parameters.txt; precursor tolerance not recorded	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD003841 | https://doi.org/10.1002/pmic.201600288	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Stack_UPS1_0.5fmol
PXD003841_Stack_UPS1_0.5fmol_prep2	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	1	Stack_UPS1_0.5fmol	CT=mixture;CN=UPS1 standard;SP=Homo sapiens;QY=0.5 fmol	not applicable	PXD003841_QE06953	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Variable	not available	20 ppm	2	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QE06953.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/10/PXD003841/QE06953.raw	Stack	triplicate sample preparations per dose and protocol; preparation numbers from author Experiment column; no biological replication claimed	Author-deposited Stacking-txt.zip summary.txt and parameters.txt; precursor tolerance not recorded	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD003841 | https://doi.org/10.1002/pmic.201600288	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Stack_UPS1_0.5fmol
PXD003841_Stack_UPS1_0.5fmol_prep3	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	1	Stack_UPS1_0.5fmol	CT=mixture;CN=UPS1 standard;SP=Homo sapiens;QY=0.5 fmol	not applicable	PXD003841_QE06998	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Variable	not available	20 ppm	3	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QE06998.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/10/PXD003841/QE06998.raw	Stack	triplicate sample preparations per dose and protocol; preparation numbers from author Experiment column; no biological replication claimed	Author-deposited Stacking-txt.zip summary.txt and parameters.txt; precursor tolerance not recorded	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD003841 | https://doi.org/10.1002/pmic.201600288	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Stack_UPS1_0.5fmol
PXD003841_Stack_UPS1_10fmol_prep1	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	1	Stack_UPS1_10fmol	CT=mixture;CN=UPS1 standard;SP=Homo sapiens;QY=10 fmol	not applicable	PXD003841_QE07026	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Variable	not available	20 ppm	1	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QE07026.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/10/PXD003841/QE07026.raw	Stack	triplicate sample preparations per dose and protocol; preparation numbers from author Experiment column; no biological replication claimed	Author-deposited Stacking-txt.zip summary.txt and parameters.txt; precursor tolerance not recorded	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD003841 | https://doi.org/10.1002/pmic.201600288	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	Stack_UPS1_10fmol
