source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[material type]	characteristics[biological replicate]	characteristics[phenotype]	characteristics[strain or breed]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[phenotype]
PXD035712-Sample-6	NT=Mus musculus;AC=NCBITaxon:10090	heart	not applicable	NT=heart failure;AC=MONDO:0005252	not available	not available	not available	not available	TAC_rep6	tissue	6	Failing/hypertrophic mouse heart 4 weeks after transaortic (transverse aortic) constriction, i.e	not available	040522_0317_11_Tac_2h_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	040522_0317_11_Tac_2h_1.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	TAC
PXD035712-Sample-6	NT=Mus musculus;AC=NCBITaxon:10090	heart	not applicable	NT=heart failure;AC=MONDO:0005252	not available	not available	not available	not available	TAC_rep6	tissue	6	Failing/hypertrophic mouse heart 4 weeks after transaortic (transverse aortic) constriction, i.e	not available	040522_0317_11_Tac_2h_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	2	040522_0317_11_Tac_2h_2.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	TAC
PXD035712-Sample-7	NT=Mus musculus;AC=NCBITaxon:10090	heart	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	sham_rep1	tissue	1	Healthy control mouse; sham thoracic surgery without aortic constriction	not available	040522_0357_1_sham_2h_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	040522_0357_1_sham_2h_1.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	sham
PXD035712-Sample-7	NT=Mus musculus;AC=NCBITaxon:10090	heart	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	sham_rep1	tissue	1	Healthy control mouse; sham thoracic surgery without aortic constriction	not available	040522_0357_1_sham_2h_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	2	040522_0357_1_sham_2h_2.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	sham
PXD035712-Sample-8	NT=Mus musculus;AC=NCBITaxon:10090	heart	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	sham_rep2	tissue	2	Healthy control mouse; sham thoracic surgery without aortic constriction	not available	040522_0383_4_sham_2h_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	040522_0383_4_sham_2h_1.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	sham
PXD035712-Sample-8	NT=Mus musculus;AC=NCBITaxon:10090	heart	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	sham_rep2	tissue	2	Healthy control mouse; sham thoracic surgery without aortic constriction	not available	040522_0383_4_sham_2h_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	2	040522_0383_4_sham_2h_2.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	sham
PXD035712-Sample-9	NT=Mus musculus;AC=NCBITaxon:10090	heart	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	sham_rep3	tissue	3	Healthy control mouse; sham thoracic surgery without aortic constriction	not available	040522_0388_5_sham_2h_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	040522_0388_5_sham_2h_1.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	sham
PXD035712-Sample-9	NT=Mus musculus;AC=NCBITaxon:10090	heart	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	sham_rep3	tissue	3	Healthy control mouse; sham thoracic surgery without aortic constriction	not available	040522_0388_5_sham_2h_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	2	040522_0388_5_sham_2h_2.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	sham
PXD035712-Sample-10	NT=Mus musculus;AC=NCBITaxon:10090	heart	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	sham_rep4	tissue	4	Healthy control mouse; sham thoracic surgery without aortic constriction	not available	040522_0316_7_sham_2h_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	040522_0316_7_sham_2h_1.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	sham
PXD035712-Sample-10	NT=Mus musculus;AC=NCBITaxon:10090	heart	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	sham_rep4	tissue	4	Healthy control mouse; sham thoracic surgery without aortic constriction	not available	040522_0316_7_sham_2h_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	2	040522_0316_7_sham_2h_2.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	sham
PXD035712-Sample-11	NT=Mus musculus;AC=NCBITaxon:10090	heart	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	sham_rep5	tissue	5	Healthy control mouse; sham thoracic surgery without aortic constriction	not available	040522_0377_9_sham_2h_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	040522_0377_9_sham_2h_1.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	sham
PXD035712-Sample-11	NT=Mus musculus;AC=NCBITaxon:10090	heart	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	sham_rep5	tissue	5	Healthy control mouse; sham thoracic surgery without aortic constriction	not available	040522_0377_9_sham_2h_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	2	040522_0377_9_sham_2h_2.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	sham
PXD035712-Sample-12	NT=Mus musculus;AC=NCBITaxon:10090	heart	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	sham_rep6	tissue	6	Healthy control mouse; sham thoracic surgery without aortic constriction	not available	040522_0391_12_sham_2h_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	040522_0391_12_sham_2h_1.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	sham
PXD035712-Sample-12	NT=Mus musculus;AC=NCBITaxon:10090	heart	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	sham_rep6	tissue	6	Healthy control mouse; sham thoracic surgery without aortic constriction	not available	040522_0391_12_sham_2h_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	2	040522_0391_12_sham_2h_2.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	sham
