source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
OR7_20121016_HP_SCC_3rd_mix2	escherichia coli	not available	not applicable	not available	antibody enrichment	1	OR7_20121016_HP_SCC_3rd_mix2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	25% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	OR7_20121016_HP_SCC_3rd_mix2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001226/OR7_20121016_HP_SCC_3rd_mix2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR7_20140728_HP_Prime_XS_acK_E_coli_Sara_50fm_ACS_CobB	escherichia coli	not available	not applicable	not available	antibody enrichment	1	OR7_20140728_HP_Prime_XS_acK_E_coli_Sara_50fm_ACS_CobB	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	25% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	OR7_20140728_HP_Prime_XS_acK_E_coli_Sara_50fm_ACS_CobB.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001226/OR7_20140728_HP_Prime_XS_acK_E_coli_Sara_50fm_ACS_CobB.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR6_120720_HP_SCC_acK_PD_repl_40pr_2_2_mix4	escherichia coli	not available	not applicable	not available	antibody enrichment	1	OR6_120720_HP_SCC_acK_PD_repl_40pr_2_2_mix4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	25% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	OR6_120720_HP_SCC_acK_PD_repl_40pr_2_2_mix4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001226/OR6_120720_HP_SCC_acK_PD_repl_40pr_2_2_mix4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR6_120704_HP_SCC_coli_acKPD_1_40pr_mix4	escherichia coli	not available	not applicable	not available	antibody enrichment	1	OR6_120704_HP_SCC_coli_acKPD_1_40pr_mix4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	25% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	OR6_120704_HP_SCC_coli_acKPD_1_40pr_mix4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001226/OR6_120704_HP_SCC_coli_acKPD_1_40pr_mix4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR5_120706_HP_SCC_E_coli_scx_mix1_1_fr18	escherichia coli	not available	not applicable	not available	antibody enrichment	1	OR5_120706_HP_SCC_E_coli_scx_mix1_1_fr18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	25% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	18	1	OR5_120706_HP_SCC_E_coli_scx_mix1_1_fr18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001226/OR5_120706_HP_SCC_E_coli_scx_mix1_1_fr18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR6_121009_HP_SCC_acK_PD_1_mix4	escherichia coli	not available	not applicable	not available	antibody enrichment	1	OR6_121009_HP_SCC_acK_PD_1_mix4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	25% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	OR6_121009_HP_SCC_acK_PD_1_mix4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001226/OR6_121009_HP_SCC_acK_PD_1_mix4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR7_20121018_HP_SCC_2nd_mix2_2	escherichia coli	not available	not applicable	not available	antibody enrichment	2	OR7_20121018_HP_SCC_2nd_mix2_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	25% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	OR7_20121018_HP_SCC_2nd_mix2_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001226/OR7_20121018_HP_SCC_2nd_mix2_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR5_120706_HP_SCC_E_coli_scx_mix1_1_fr17	escherichia coli	not available	not applicable	not available	antibody enrichment	1	OR5_120706_HP_SCC_E_coli_scx_mix1_1_fr17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	25% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	17	1	OR5_120706_HP_SCC_E_coli_scx_mix1_1_fr17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001226/OR5_120706_HP_SCC_E_coli_scx_mix1_1_fr17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR7_20121016_HP_SCC_4th_mix6	escherichia coli	not available	not applicable	not available	antibody enrichment	1	OR7_20121016_HP_SCC_4th_mix6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	25% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	OR7_20121016_HP_SCC_4th_mix6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001226/OR7_20121016_HP_SCC_4th_mix6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR7_20121016_HP_SCC_4th_mix7	escherichia coli	not available	not applicable	not available	antibody enrichment	1	OR7_20121016_HP_SCC_4th_mix7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	25% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	OR7_20121016_HP_SCC_4th_mix7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001226/OR7_20121016_HP_SCC_4th_mix7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR7_20121016_HP_SCC_3rd_mix1	escherichia coli	not available	not applicable	not available	antibody enrichment	1	OR7_20121016_HP_SCC_3rd_mix1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	25% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	OR7_20121016_HP_SCC_3rd_mix1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001226/OR7_20121016_HP_SCC_3rd_mix1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
OR6_121009_HP_SCC_acK_PD_2_mix7	escherichia coli	not available	not applicable	not available	antibody enrichment	1	OR6_121009_HP_SCC_acK_PD_2_mix7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	25% NCE	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	OR6_121009_HP_SCC_acK_PD_2_mix7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001226/OR6_121009_HP_SCC_acK_PD_2_mix7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
