source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[treatment]	characteristics[age]	characteristics[sex]	characteristics[individual]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[fractionation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms min im]	comment[ms max im]	comment[elution conditions]	factor value[treatment]
tonsil_Citrate_pH6_Glycerol_3	Homo sapiens	tonsil	not applicable	3	not available	tissue	heat-induced epitope retrieval in citrate buffer pH 6 with 10% glycerol	not available	not available	not available	20220224_TIMS02_ThNo_SA_11_N756_DDA_120min_Glycerol_DVP_D3_1_8958	proteomic profiling by mass spectrometry	1	20220224_TIMS02_ThNo_SA_11_N756_DDA_120min_Glycerol_DVP_D3_1_8958.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	0.6	1.6	EASY-nLC 1200, 50 cm in-house C18 column (75 um ID, 1.9 um ReproSil-Pur C18-AQ), 120 min gradient, 300 nl/min	heat-induced epitope retrieval in citrate buffer pH 6 with 10% glycerol
tonsil_Dako_pH9_4	Homo sapiens	tonsil	not applicable	4	not available	tissue	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 9 without glycerol	not available	not available	not available	20220224_TIMS02_ThNo_SA_12_N756_DDA_120min_Glycerol_DVP_D4_1_8956	proteomic profiling by mass spectrometry	1	20220224_TIMS02_ThNo_SA_12_N756_DDA_120min_Glycerol_DVP_D4_1_8956.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	0.6	1.6	EASY-nLC 1200, 50 cm in-house C18 column (75 um ID, 1.9 um ReproSil-Pur C18-AQ), 120 min gradient, 300 nl/min	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 9 without glycerol
tonsil_Citrate_pH6_2	Homo sapiens	tonsil	not applicable	2	not available	tissue	heat-induced epitope retrieval in citrate buffer pH 6 without glycerol	not available	not available	not available	20220224_TIMS02_ThNo_SA_13_N756_DDA_120min_Glycerol_DVP_D5_1_8976	proteomic profiling by mass spectrometry	1	20220224_TIMS02_ThNo_SA_13_N756_DDA_120min_Glycerol_DVP_D5_1_8976.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	0.6	1.6	EASY-nLC 1200, 50 cm in-house C18 column (75 um ID, 1.9 um ReproSil-Pur C18-AQ), 120 min gradient, 300 nl/min	heat-induced epitope retrieval in citrate buffer pH 6 without glycerol
tonsil_Citrate_pH6_3	Homo sapiens	tonsil	not applicable	3	not available	tissue	heat-induced epitope retrieval in citrate buffer pH 6 without glycerol	not available	not available	not available	20220224_TIMS02_ThNo_SA_14_N756_DDA_120min_Glycerol_DVP_D6_1_8955	proteomic profiling by mass spectrometry	1	20220224_TIMS02_ThNo_SA_14_N756_DDA_120min_Glycerol_DVP_D6_1_8955.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	0.6	1.6	EASY-nLC 1200, 50 cm in-house C18 column (75 um ID, 1.9 um ReproSil-Pur C18-AQ), 120 min gradient, 300 nl/min	heat-induced epitope retrieval in citrate buffer pH 6 without glycerol
tonsil_Citrate_pH6_4	Homo sapiens	tonsil	not applicable	4	not available	tissue	heat-induced epitope retrieval in citrate buffer pH 6 without glycerol	not available	not available	not available	20220224_TIMS02_ThNo_SA_15_N756_DDA_120min_Glycerol_DVP_D7_1_8973	proteomic profiling by mass spectrometry	1	20220224_TIMS02_ThNo_SA_15_N756_DDA_120min_Glycerol_DVP_D7_1_8973.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	0.6	1.6	EASY-nLC 1200, 50 cm in-house C18 column (75 um ID, 1.9 um ReproSil-Pur C18-AQ), 120 min gradient, 300 nl/min	heat-induced epitope retrieval in citrate buffer pH 6 without glycerol
tonsil_Dako_pH6_2	Homo sapiens	tonsil	not applicable	2	not available	tissue	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 6 without glycerol	not available	not available	not available	20220224_TIMS02_ThNo_SA_16_N756_DDA_120min_Glycerol_DVP_D8_1_8960	proteomic profiling by mass spectrometry	1	20220224_TIMS02_ThNo_SA_16_N756_DDA_120min_Glycerol_DVP_D8_1_8960.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	0.6	1.6	EASY-nLC 1200, 50 cm in-house C18 column (75 um ID, 1.9 um ReproSil-Pur C18-AQ), 120 min gradient, 300 nl/min	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 6 without glycerol
tonsil_Dako_pH9_Glycerol_1	Homo sapiens	tonsil	not applicable	1	not available	tissue	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 9 with 10% glycerol	not available	not available	not available	20220224_TIMS02_ThNo_SA_17_N756_DDA_120min_Glycerol_DVP_E1_1_8977	proteomic profiling by mass spectrometry	1	20220224_TIMS02_ThNo_SA_17_N756_DDA_120min_Glycerol_DVP_E1_1_8977.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	0.6	1.6	EASY-nLC 1200, 50 cm in-house C18 column (75 um ID, 1.9 um ReproSil-Pur C18-AQ), 120 min gradient, 300 nl/min	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 9 with 10% glycerol
tonsil_Dako_pH9_5	Homo sapiens	tonsil	not applicable	5	not available	tissue	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 9 without glycerol	not available	not available	not available	20220224_TIMS02_ThNo_SA_18_N756_DDA_120min_Glycerol_DVP_E2_1_8970	proteomic profiling by mass spectrometry	1	20220224_TIMS02_ThNo_SA_18_N756_DDA_120min_Glycerol_DVP_E2_1_8970.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	0.6	1.6	EASY-nLC 1200, 50 cm in-house C18 column (75 um ID, 1.9 um ReproSil-Pur C18-AQ), 120 min gradient, 300 nl/min	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 9 without glycerol
tonsil_Dako_pH6_3	Homo sapiens	tonsil	not applicable	3	not available	tissue	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 6 without glycerol	not available	not available	not available	20220224_TIMS02_ThNo_SA_19_N756_DDA_120min_Glycerol_DVP_E3_1_8961	proteomic profiling by mass spectrometry	1	20220224_TIMS02_ThNo_SA_19_N756_DDA_120min_Glycerol_DVP_E3_1_8961.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	0.6	1.6	EASY-nLC 1200, 50 cm in-house C18 column (75 um ID, 1.9 um ReproSil-Pur C18-AQ), 120 min gradient, 300 nl/min	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 6 without glycerol
tonsil_Dako_pH9_Glycerol_2	Homo sapiens	tonsil	not applicable	2	not available	tissue	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 9 with 10% glycerol	not available	not available	not available	20220224_TIMS02_ThNo_SA_20_N756_DDA_120min_Glycerol_DVP_E4_1_8959	proteomic profiling by mass spectrometry	1	20220224_TIMS02_ThNo_SA_20_N756_DDA_120min_Glycerol_DVP_E4_1_8959.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	0.6	1.6	EASY-nLC 1200, 50 cm in-house C18 column (75 um ID, 1.9 um ReproSil-Pur C18-AQ), 120 min gradient, 300 nl/min	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 9 with 10% glycerol
tonsil_Dako_pH6_Glycerol_4	Homo sapiens	tonsil	not applicable	4	not available	tissue	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 6 with 10% glycerol	not available	not available	not available	20220224_TIMS02_ThNo_SA_21_N756_DDA_120min_Glycerol_DVP_E5_1_8957	proteomic profiling by mass spectrometry	1	20220224_TIMS02_ThNo_SA_21_N756_DDA_120min_Glycerol_DVP_E5_1_8957.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	0.6	1.6	EASY-nLC 1200, 50 cm in-house C18 column (75 um ID, 1.9 um ReproSil-Pur C18-AQ), 120 min gradient, 300 nl/min	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 6 with 10% glycerol
tonsil_Dako_pH9_Glycerol_3	Homo sapiens	tonsil	not applicable	3	not available	tissue	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 9 with 10% glycerol	not available	not available	not available	20220224_TIMS02_ThNo_SA_22_N756_DDA_120min_Glycerol_DVP_E6_1_8979	proteomic profiling by mass spectrometry	1	20220224_TIMS02_ThNo_SA_22_N756_DDA_120min_Glycerol_DVP_E6_1_8979.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	0.6	1.6	EASY-nLC 1200, 50 cm in-house C18 column (75 um ID, 1.9 um ReproSil-Pur C18-AQ), 120 min gradient, 300 nl/min	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 9 with 10% glycerol
tonsil_Dako_pH6_Glycerol_5	Homo sapiens	tonsil	not applicable	5	not available	tissue	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 6 with 10% glycerol	not available	not available	not available	20220224_TIMS02_ThNo_SA_23_N756_DDA_120min_Glycerol_DVP_E7_1_8982	proteomic profiling by mass spectrometry	1	20220224_TIMS02_ThNo_SA_23_N756_DDA_120min_Glycerol_DVP_E7_1_8982.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	0.6	1.6	EASY-nLC 1200, 50 cm in-house C18 column (75 um ID, 1.9 um ReproSil-Pur C18-AQ), 120 min gradient, 300 nl/min	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 6 with 10% glycerol
tonsil_Citrate_pH6_5	Homo sapiens	tonsil	not applicable	5	not available	tissue	heat-induced epitope retrieval in citrate buffer pH 6 without glycerol	not available	not available	not available	20220224_TIMS02_ThNo_SA_24_N756_DDA_120min_Glycerol_DVP_E8_1_8966	proteomic profiling by mass spectrometry	1	20220224_TIMS02_ThNo_SA_24_N756_DDA_120min_Glycerol_DVP_E8_1_8966.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	0.6	1.6	EASY-nLC 1200, 50 cm in-house C18 column (75 um ID, 1.9 um ReproSil-Pur C18-AQ), 120 min gradient, 300 nl/min	heat-induced epitope retrieval in citrate buffer pH 6 without glycerol
tonsil_Dako_pH9_Glycerol_4	Homo sapiens	tonsil	not applicable	4	not available	tissue	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 9 with 10% glycerol	not available	not available	not available	20220224_TIMS02_ThNo_SA_25_N756_DDA_120min_Glycerol_DVP_F1_1_8980	proteomic profiling by mass spectrometry	1	20220224_TIMS02_ThNo_SA_25_N756_DDA_120min_Glycerol_DVP_F1_1_8980.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	0.6	1.6	EASY-nLC 1200, 50 cm in-house C18 column (75 um ID, 1.9 um ReproSil-Pur C18-AQ), 120 min gradient, 300 nl/min	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 9 with 10% glycerol
tonsil_Dako_pH9_Glycerol_5	Homo sapiens	tonsil	not applicable	5	not available	tissue	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 9 with 10% glycerol	not available	not available	not available	20220224_TIMS02_ThNo_SA_26_N756_DDA_120min_Glycerol_DVP_F2_1_8964	proteomic profiling by mass spectrometry	1	20220224_TIMS02_ThNo_SA_26_N756_DDA_120min_Glycerol_DVP_F2_1_8964.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	0.6	1.6	EASY-nLC 1200, 50 cm in-house C18 column (75 um ID, 1.9 um ReproSil-Pur C18-AQ), 120 min gradient, 300 nl/min	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 9 with 10% glycerol
tonsil_Citrate_pH6_Glycerol_4	Homo sapiens	tonsil	not applicable	4	not available	tissue	heat-induced epitope retrieval in citrate buffer pH 6 with 10% glycerol	not available	not available	not available	20220224_TIMS02_ThNo_SA_27_N756_DDA_120min_Glycerol_DVP_F3_1_8971	proteomic profiling by mass spectrometry	1	20220224_TIMS02_ThNo_SA_27_N756_DDA_120min_Glycerol_DVP_F3_1_8971.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	0.6	1.6	EASY-nLC 1200, 50 cm in-house C18 column (75 um ID, 1.9 um ReproSil-Pur C18-AQ), 120 min gradient, 300 nl/min	heat-induced epitope retrieval in citrate buffer pH 6 with 10% glycerol
tonsil_Dako_pH6_4	Homo sapiens	tonsil	not applicable	4	not available	tissue	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 6 without glycerol	not available	not available	not available	20220224_TIMS02_ThNo_SA_28_N756_DDA_120min_Glycerol_DVP_F4_1_8968	proteomic profiling by mass spectrometry	1	20220224_TIMS02_ThNo_SA_28_N756_DDA_120min_Glycerol_DVP_F4_1_8968.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	0.6	1.6	EASY-nLC 1200, 50 cm in-house C18 column (75 um ID, 1.9 um ReproSil-Pur C18-AQ), 120 min gradient, 300 nl/min	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 6 without glycerol
tonsil_Citrate_pH6_Glycerol_5	Homo sapiens	tonsil	not applicable	5	not available	tissue	heat-induced epitope retrieval in citrate buffer pH 6 with 10% glycerol	not available	not available	not available	20220224_TIMS02_ThNo_SA_29_N756_DDA_120min_Glycerol_DVP_F5_1_8969	proteomic profiling by mass spectrometry	1	20220224_TIMS02_ThNo_SA_29_N756_DDA_120min_Glycerol_DVP_F5_1_8969.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	0.6	1.6	EASY-nLC 1200, 50 cm in-house C18 column (75 um ID, 1.9 um ReproSil-Pur C18-AQ), 120 min gradient, 300 nl/min	heat-induced epitope retrieval in citrate buffer pH 6 with 10% glycerol
tonsil_Dako_pH6_5	Homo sapiens	tonsil	not applicable	5	not available	tissue	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 6 without glycerol	not available	not available	not available	20220224_TIMS02_ThNo_SA_30_N756_DDA_120min_Glycerol_DVP_4ul_F6_1_8985	proteomic profiling by mass spectrometry	1	20220224_TIMS02_ThNo_SA_30_N756_DDA_120min_Glycerol_DVP_4ul_F6_1_8985.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro 2;AC=MS:1003230	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	0.6	1.6	EASY-nLC 1200, 50 cm in-house C18 column (75 um ID, 1.9 um ReproSil-Pur C18-AQ), 120 min gradient, 300 nl/min	heat-induced epitope retrieval in Dako Target Retrieval Solution pH 6 without glycerol
