source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[cell line]
KMS-26_CM_mix10	Homo sapiens	Urine	not applicable	cell lysate	1	KMS-26_CM_mix10	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	KMS-26_CM_mix10.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	cell lysate
p88_notpre_HEPG2_lysate_e6_cysh	Homo sapiens	Urine	not applicable	cell lysate	1	p88_notpre_HEPG2_lysate_e6_cysh	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	p88_notpre_HEPG2_lysate_e6_cysh.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	cell lysate
p57_NMCG1_CM_cysh	Homo sapiens	Urine	not applicable	cell lysate	1	p57_NMCG1_CM_cysh	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	p57_NMCG1_CM_cysh.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	cell lysate
p52_TTlyse6ah_B	Homo sapiens	Urine	not applicable	cell lysate	1	p52_TTlyse6ah_B	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	p52_TTlyse6ah_B.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	cell lysate
RPMI-8402_Lysate_mix15	Homo sapiens	Urine	not applicable	conditioned media	1	RPMI-8402_Lysate_mix15	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	RPMI-8402_Lysate_mix15.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	conditioned media
p82_plasma_set5_cysH	Homo sapiens	Urine	not applicable	cell lysate	1	p82_plasma_set5_cysH	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	p82_plasma_set5_cysH.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	cell lysate
P55_cadoes1_lysate_4ah	Homo sapiens	Urine	not applicable	cell lysate	1	P55_cadoes1_lysate_4ah	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	P55_cadoes1_lysate_4ah.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	cell lysate
p86_plasma_set1_cysH	Homo sapiens	Urine	not applicable	cell lysate	1	p86_plasma_set1_cysH	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	p86_plasma_set1_cysH.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	cell lysate
P41_QGP1_CM_a11c	Homo sapiens	Urine	not applicable	cell lysate	1	P41_QGP1_CM_a11c	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	P41_QGP1_CM_a11c.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	cell lysate
p66_a2780_lysate_cysh_150820192708	Homo sapiens	Urine	not applicable	cell lysate	1	p66_a2780_lysate_cysh_150820192708	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	p66_a2780_lysate_cysh_150820192708.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	cell lysate
p90_2nd_lysate_HUH6_5ah	Homo sapiens	Urine	not applicable	cell lysate	1	p90_2nd_lysate_HUH6_5ah	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	p90_2nd_lysate_HUH6_5ah.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	cell lysate
p94_2nd_lysate_OVKate_6ahB	Homo sapiens	Urine	not applicable	cell lysate	1	p94_2nd_lysate_OVKate_6ahB	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	p94_2nd_lysate_OVKate_6ahB.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	cell lysate
RPMI-8402_CM_mix7	Homo sapiens	Urine	not applicable	conditioned media	1	RPMI-8402_CM_mix7	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	RPMI-8402_CM_mix7.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	conditioned media
p66_a2780_lyse_5ah_150813130945	Homo sapiens	Urine	not applicable	cell lysate	1	p66_a2780_lyse_5ah_150813130945	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	p66_a2780_lyse_5ah_150813130945.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	cell lysate
p73_serum_set4_cysH_b	Homo sapiens	Urine	not applicable	cell lysate	1	p73_serum_set4_cysH_b	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	p73_serum_set4_cysH_b.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	cell lysate
RPMI-8402_Lysate_mix1	Homo sapiens	Urine	not applicable	conditioned media	1	RPMI-8402_Lysate_mix1	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	RPMI-8402_Lysate_mix1.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	conditioned media
P41_IPC298_lyse_cysh_f3	Homo sapiens	Urine	not applicable	cell lysate	1	P41_IPC298_lyse_cysh_f3	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	P41_IPC298_lyse_cysh_f3.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	cell lysate
p65_cysH	Homo sapiens	Urine	not applicable	cell lysate	1	p65_cysH	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	p65_cysH.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	cell lysate
p66_a2780_lyse_3ah	Homo sapiens	Urine	not applicable	cell lysate	1	p66_a2780_lyse_3ah	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	p66_a2780_lyse_3ah.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	cell lysate
p46_NoMo1_lysate_10a-h	Homo sapiens	Urine	not applicable	cell lysate	1	p46_NoMo1_lysate_10a-h	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	p46_NoMo1_lysate_10a-h.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	cell lysate
p66_panc_cm_3ah_150814123954	Homo sapiens	Urine	not applicable	cell lysate	1	p66_panc_cm_3ah_150814123954	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	p66_panc_cm_3ah_150814123954.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	cell lysate
p58_CORL311_CM_7cysh	Homo sapiens	Urine	not applicable	cell lysate	1	p58_CORL311_CM_7cysh	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	p58_CORL311_CM_7cysh.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	cell lysate
p66_panc_lysate_cysh_150820175658	Homo sapiens	Urine	not applicable	cell lysate	1	p66_panc_lysate_cysh_150820175658	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	p66_panc_lysate_cysh_150820175658.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	cell lysate
p94_2nd_CM_DU4475_cyshB	Homo sapiens	Urine	not applicable	cell lysate	1	p94_2nd_CM_DU4475_cyshB	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	p94_2nd_CM_DU4475_cyshB.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	cell lysate
RPMI-8402_Lysate_mix8	Homo sapiens	Urine	not applicable	conditioned media	1	RPMI-8402_Lysate_mix8	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	RPMI-8402_Lysate_mix8.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	conditioned media
KMS-26_Lysate_mix4	Homo sapiens	Urine	not applicable	cell lysate	1	KMS-26_Lysate_mix4	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	KMS-26_Lysate_mix4.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	cell lysate
RPMI-8402_Lysate_cysH	Homo sapiens	Urine	not applicable	conditioned media	1	RPMI-8402_Lysate_cysH	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	RPMI-8402_Lysate_cysH.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	conditioned media
p68_cysH	Homo sapiens	Urine	not applicable	cell lysate	1	p68_cysH	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	p68_cysH.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	cell lysate
p46_NCIH446_lysate_GAPDH	Homo sapiens	Urine	not applicable	cell lysate	1	p46_NCIH446_lysate_GAPDH	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	p46_NCIH446_lysate_GAPDH.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	cell lysate
p94_2nd_lysate_DU4475_1ahB	Homo sapiens	Urine	not applicable	cell lysate	1	p94_2nd_lysate_DU4475_1ahB	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	p94_2nd_lysate_DU4475_1ahB.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	cell lysate
p27_HEPG2_lyse_cysh	Homo sapiens	Urine	not applicable	cell lysate	1	p27_HEPG2_lyse_cysh	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	p27_HEPG2_lyse_cysh.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	cell lysate
P55_cadoes1_lysate_5ah	Homo sapiens	Urine	not applicable	cell lysate	1	P55_cadoes1_lysate_5ah	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	P55_cadoes1_lysate_5ah.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	cell lysate
p46_NoMo1_CM_6a-h_150115124324	Homo sapiens	Urine	not applicable	cell lysate	1	p46_NoMo1_CM_6a-h_150115124324	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	p46_NoMo1_CM_6a-h_150115124324.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	cell lysate
p66_panc_cm_1ah	Homo sapiens	Urine	not applicable	cell lysate	1	p66_panc_cm_1ah	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	p66_panc_cm_1ah.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	cell lysate
p58_CORL311Lysate_7cysh	Homo sapiens	Urine	not applicable	cell lysate	1	p58_CORL311Lysate_7cysh	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	p58_CORL311Lysate_7cysh.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	cell lysate
p90_2nd_lysate_HUH6_8ah	Homo sapiens	Urine	not applicable	cell lysate	1	p90_2nd_lysate_HUH6_8ah	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	p90_2nd_lysate_HUH6_8ah.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	cell lysate
p55_cadoes1_CM_cysh	Homo sapiens	Urine	not applicable	cell lysate	1	p55_cadoes1_CM_cysh	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	p55_cadoes1_CM_cysh.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	cell lysate
p88_notpre_BCPAP_CM_g1	Homo sapiens	Urine	not applicable	cell lysate	1	p88_notpre_BCPAP_CM_g1	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	p88_notpre_BCPAP_CM_g1.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	cell lysate
p83_plasma_set4_cysH_160119155838	Homo sapiens	Urine	not applicable	cell lysate	1	p83_plasma_set4_cysH_160119155838	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	p83_plasma_set4_cysH_160119155838.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	cell lysate
p46_NCIH446_CM_1a-h_150115053008	Homo sapiens	Urine	not applicable	cell lysate	1	p46_NCIH446_CM_1a-h_150115053008	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	p46_NCIH446_CM_1a-h_150115053008.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	cell lysate
KMS-26_Lysate_mix7	Homo sapiens	Urine	not applicable	cell lysate	1	KMS-26_Lysate_mix7	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	KMS-26_Lysate_mix7.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	cell lysate
KMS-26_Lysate_mix2_r2	Homo sapiens	Urine	not applicable	cell lysate	1	KMS-26_Lysate_mix2_r2	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	KMS-26_Lysate_mix2_r2.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	cell lysate
KMS-26_Lysate_mix8	Homo sapiens	Urine	not applicable	cell lysate	1	KMS-26_Lysate_mix8	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	KMS-26_Lysate_mix8.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	cell lysate
p90_2nd_lysate_CL40_cysh	Homo sapiens	Urine	not applicable	cell lysate	1	p90_2nd_lysate_CL40_cysh	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	p90_2nd_lysate_CL40_cysh.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	cell lysate
p46_NoMo1_lysate_7a-h	Homo sapiens	Urine	not applicable	cell lysate	1	p46_NoMo1_lysate_7a-h	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	p46_NoMo1_lysate_7a-h.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	cell lysate
p46_NoMo1_lysate_GAPDH	Homo sapiens	Urine	not applicable	cell lysate	1	p46_NoMo1_lysate_GAPDH	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	p46_NoMo1_lysate_GAPDH.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	cell lysate
KMS-26_Lysate_mix15	Homo sapiens	Urine	not applicable	cell lysate	1	KMS-26_Lysate_mix15	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	KMS-26_Lysate_mix15.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	cell lysate
P41_NB1_lyse_d6	Homo sapiens	Urine	not applicable	cell lysate	1	P41_NB1_lyse_d6	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	P41_NB1_lyse_d6.RAW	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	cell lysate
