source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[growth condition]	characteristics[genotype]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sample preparation batch]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]	factor value[treatment]
DeltaCP12_VLC_BR6	Chlamydomonas reinhardtii	not applicable	normal	photosynthetic cell	cell	not available	CC-4349	continuous light 110 umol photons m-2 s-1, 23 C, photoautotrophic MOPS medium	CP12 deletion	very low carbon dioxide	6	20240719_1266_OCE12_DCP12_4VLC	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	20240719_1266_OCE12_DCP12_4VLC.raw	012_HL	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	CP12 deletion	very low carbon dioxide
WT_HC_CP12target_BR1	Chlamydomonas reinhardtii	not applicable	normal	photosynthetic cell	cell	not available	CC-4349	continuous light 110 umol photons m-2 s-1, 23 C, photoautotrophic MOPS medium	wild type	high carbon dioxide	1	20240807_1425_OCE010_WT1_CP12Target	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	20240807_1425_OCE010_WT1_CP12Target.raw	OCE010	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	wild type	high carbon dioxide
WT_HC_CP12target_BR2	Chlamydomonas reinhardtii	not applicable	normal	photosynthetic cell	cell	not available	CC-4349	continuous light 110 umol photons m-2 s-1, 23 C, photoautotrophic MOPS medium	wild type	high carbon dioxide	2	20240802_1410_OCE010_WT2_CP12Target	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	20240802_1410_OCE010_WT2_CP12Target.raw	OCE010	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	wild type	high carbon dioxide
WT_HC_CP12target_BR3	Chlamydomonas reinhardtii	not applicable	normal	photosynthetic cell	cell	not available	CC-4349	continuous light 110 umol photons m-2 s-1, 23 C, photoautotrophic MOPS medium	wild type	high carbon dioxide	3	20240807_1427_OCE010_WT3_CP12Target	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	20240807_1427_OCE010_WT3_CP12Target.raw	OCE010	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	wild type	high carbon dioxide
DeltaCP12_HC_CP12target_BR1	Chlamydomonas reinhardtii	not applicable	normal	photosynthetic cell	cell	not available	CC-4349	continuous light 110 umol photons m-2 s-1, 23 C, photoautotrophic MOPS medium	CP12 deletion	high carbon dioxide	1	20240807_1418_OCE010_Delta_1_CP12Target	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	20240807_1418_OCE010_Delta_1_CP12Target.raw	OCE010	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	CP12 deletion	high carbon dioxide
DeltaCP12_HC_CP12target_BR2	Chlamydomonas reinhardtii	not applicable	normal	photosynthetic cell	cell	not available	CC-4349	continuous light 110 umol photons m-2 s-1, 23 C, photoautotrophic MOPS medium	CP12 deletion	high carbon dioxide	2	20240807_1420_OCE010_Delta_3_CP12Target	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	20240807_1420_OCE010_Delta_3_CP12Target.raw	OCE010	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	CP12 deletion	high carbon dioxide
DeltaCP12_HC_CP12target_BR3	Chlamydomonas reinhardtii	not applicable	normal	photosynthetic cell	cell	not available	CC-4349	continuous light 110 umol photons m-2 s-1, 23 C, photoautotrophic MOPS medium	CP12 deletion	high carbon dioxide	3	20240807_1422_OCE010_Delta_4_CP12Target	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	20240807_1422_OCE010_Delta_4_CP12Target.raw	OCE010	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	CP12 deletion	high carbon dioxide
DeltaCP12_CP12_HC_CP12target_BR1	Chlamydomonas reinhardtii	not applicable	normal	photosynthetic cell	cell	not available	CC-4349	continuous light 110 umol photons m-2 s-1, 23 C, photoautotrophic MOPS medium	CP12 complemented	high carbon dioxide	1	20240802_1407_OCE010_Delta_C5_1_CP12Target	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	20240802_1407_OCE010_Delta_C5_1_CP12Target.raw	OCE010	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	CP12 complemented	high carbon dioxide
DeltaCP12_CP12_HC_CP12target_BR2	Chlamydomonas reinhardtii	not applicable	normal	photosynthetic cell	cell	not available	CC-4349	continuous light 110 umol photons m-2 s-1, 23 C, photoautotrophic MOPS medium	CP12 complemented	high carbon dioxide	2	20240807_1413_OCE010_Delta_C5_2_CP12Target	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	20240807_1413_OCE010_Delta_C5_2_CP12Target.raw	OCE010	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	CP12 complemented	high carbon dioxide
DeltaCP12_CP12_HC_CP12target_BR3	Chlamydomonas reinhardtii	not applicable	normal	photosynthetic cell	cell	not available	CC-4349	continuous light 110 umol photons m-2 s-1, 23 C, photoautotrophic MOPS medium	CP12 complemented	high carbon dioxide	3	20240807_1415_OCE010_Delta_C5_3_CP12Target	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	4.5 ppm	20 ppm	1	1	20240807_1415_OCE010_Delta_C5_3_CP12Target.raw	OCE010	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	CP12 complemented	high carbon dioxide
