source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[growth condition]	characteristics[treatment]	characteristics[material type]	characteristics[sample type]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
leaf_spot_C6	Zea mays	leaf	plant cell	normal	LP.03 three leaves visible stage	not available	growth chamber 25C, 16 h light/8 h dark, 70% RH; LT stress 6C for 12 h (0 h control)	not available	organism part	study sample	pooled	1	ppw_C6_163714420010	proteomic profiling by mass spectrometry	NT=4800 Proteomics Analyzer;AC=MS:1000658	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	11	1	ppw_C6_163714420010.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	leaf
leaf_spot_C8	Zea mays	leaf	plant cell	normal	LP.03 three leaves visible stage	not available	growth chamber 25C, 16 h light/8 h dark, 70% RH; LT stress 6C for 12 h (0 h control)	not available	organism part	study sample	pooled	1	ppw_C8_163714420011	proteomic profiling by mass spectrometry	NT=4800 Proteomics Analyzer;AC=MS:1000658	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	12	1	ppw_C8_163714420011.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	leaf
leaf_spot_D11	Zea mays	leaf	plant cell	normal	LP.03 three leaves visible stage	not available	growth chamber 25C, 16 h light/8 h dark, 70% RH; LT stress 6C for 12 h (0 h control)	not available	organism part	study sample	pooled	1	ppw_D11_163714420227	proteomic profiling by mass spectrometry	NT=4800 Proteomics Analyzer;AC=MS:1000658	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	13	1	ppw_D11_163714420227.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	leaf
leaf_spot_D14	Zea mays	leaf	plant cell	normal	LP.03 three leaves visible stage	not available	growth chamber 25C, 16 h light/8 h dark, 70% RH; LT stress 6C for 12 h (0 h control)	not available	organism part	study sample	pooled	1	ppw_D14_163714420229	proteomic profiling by mass spectrometry	NT=4800 Proteomics Analyzer;AC=MS:1000658	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	14	1	ppw_D14_163714420229.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	leaf
leaf_spot_D18	Zea mays	leaf	plant cell	normal	LP.03 three leaves visible stage	not available	growth chamber 25C, 16 h light/8 h dark, 70% RH; LT stress 6C for 12 h (0 h control)	not available	organism part	study sample	pooled	1	ppw_D18_163714420232	proteomic profiling by mass spectrometry	NT=4800 Proteomics Analyzer;AC=MS:1000658	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	15	1	ppw_D18_163714420232.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	leaf
leaf_spot_D20	Zea mays	leaf	plant cell	normal	LP.03 three leaves visible stage	not available	growth chamber 25C, 16 h light/8 h dark, 70% RH; LT stress 6C for 12 h (0 h control)	not available	organism part	study sample	pooled	1	ppw_D20_163714420233	proteomic profiling by mass spectrometry	NT=4800 Proteomics Analyzer;AC=MS:1000658	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	16	1	ppw_D20_163714420233.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	leaf
leaf_spot_D24	Zea mays	leaf	plant cell	normal	LP.03 three leaves visible stage	not available	growth chamber 25C, 16 h light/8 h dark, 70% RH; LT stress 6C for 12 h (0 h control)	not available	organism part	study sample	pooled	1	ppw_D24_163714420235	proteomic profiling by mass spectrometry	NT=4800 Proteomics Analyzer;AC=MS:1000658	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	17	1	ppw_D24_163714420235.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	leaf
leaf_spot_D3	Zea mays	leaf	plant cell	normal	LP.03 three leaves visible stage	not available	growth chamber 25C, 16 h light/8 h dark, 70% RH; LT stress 6C for 12 h (0 h control)	not available	organism part	study sample	pooled	1	ppw_D3_163714420122	proteomic profiling by mass spectrometry	NT=4800 Proteomics Analyzer;AC=MS:1000658	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	18	1	ppw_D3_163714420122.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	leaf
leaf_spot_D5	Zea mays	leaf	plant cell	normal	LP.03 three leaves visible stage	not available	growth chamber 25C, 16 h light/8 h dark, 70% RH; LT stress 6C for 12 h (0 h control)	not available	organism part	study sample	pooled	1	ppw_D5_163714420123	proteomic profiling by mass spectrometry	NT=4800 Proteomics Analyzer;AC=MS:1000658	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	19	1	ppw_D5_163714420123.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	leaf
leaf_spot_D9	Zea mays	leaf	plant cell	normal	LP.03 three leaves visible stage	not available	growth chamber 25C, 16 h light/8 h dark, 70% RH; LT stress 6C for 12 h (0 h control)	not available	organism part	study sample	pooled	1	ppw_D9_163714420226	proteomic profiling by mass spectrometry	NT=4800 Proteomics Analyzer;AC=MS:1000658	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	20	1	ppw_D9_163714420226.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	leaf
leaf_spot_E11	Zea mays	leaf	plant cell	normal	LP.03 three leaves visible stage	not available	growth chamber 25C, 16 h light/8 h dark, 70% RH; LT stress 6C for 12 h (0 h control)	not available	organism part	study sample	pooled	1	ppw_E11_163714420238	proteomic profiling by mass spectrometry	NT=4800 Proteomics Analyzer;AC=MS:1000658	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	21	1	ppw_E11_163714420238.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	leaf
leaf_spot_E17	Zea mays	leaf	plant cell	normal	LP.03 three leaves visible stage	not available	growth chamber 25C, 16 h light/8 h dark, 70% RH; LT stress 6C for 12 h (0 h control)	not available	organism part	study sample	pooled	1	ppw_E17_163714420239	proteomic profiling by mass spectrometry	NT=4800 Proteomics Analyzer;AC=MS:1000658	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	22	1	ppw_E17_163714420239.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	leaf
leaf_spot_E24	Zea mays	leaf	plant cell	normal	LP.03 three leaves visible stage	not available	growth chamber 25C, 16 h light/8 h dark, 70% RH; LT stress 6C for 12 h (0 h control)	not available	organism part	study sample	pooled	1	ppw_E24_163714420342	proteomic profiling by mass spectrometry	NT=4800 Proteomics Analyzer;AC=MS:1000658	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	23	1	ppw_E24_163714420342.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	leaf
leaf_spot_E6	Zea mays	leaf	plant cell	normal	LP.03 three leaves visible stage	not available	growth chamber 25C, 16 h light/8 h dark, 70% RH; LT stress 6C for 12 h (0 h control)	not available	organism part	study sample	pooled	1	ppw_E6_163714420237	proteomic profiling by mass spectrometry	NT=4800 Proteomics Analyzer;AC=MS:1000658	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	24	1	ppw_E6_163714420237.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	leaf
leaf_spot_F11	Zea mays	leaf	plant cell	normal	LP.03 three leaves visible stage	not available	growth chamber 25C, 16 h light/8 h dark, 70% RH; LT stress 6C for 12 h (0 h control)	not available	organism part	study sample	pooled	1	ppw_F11_163714420346	proteomic profiling by mass spectrometry	NT=4800 Proteomics Analyzer;AC=MS:1000658	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	25	1	ppw_F11_163714420346.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	leaf
leaf_spot_F18	Zea mays	leaf	plant cell	normal	LP.03 three leaves visible stage	not available	growth chamber 25C, 16 h light/8 h dark, 70% RH; LT stress 6C for 12 h (0 h control)	not available	organism part	study sample	pooled	1	ppw_F18_163714420348	proteomic profiling by mass spectrometry	NT=4800 Proteomics Analyzer;AC=MS:1000658	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=SDS PAGE;AC=PRIDE:0000568	26	1	ppw_F18_163714420348.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	leaf
