source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20120611_QE4_LC6_SAW_SA_A20_SILAC_IgG_RepB_TiO2_3_SCX_05	mus musculus	blood	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	5	20120611_QE4_LC6_SAW_SA_A20_SILAC_IgG_RepB_TiO2_3_SCX_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20120611_QE4_LC6_SAW_SA_A20_SILAC_IgG_RepB_TiO2_3_SCX_05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001440/20120611_QE4_LC6_SAW_SA_A20_SILAC_IgG_RepB_TiO2_3_SCX_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
20120721_QE2_LC6_SAW_SA_A20_SILAC_BCR_pulldown_B4	mus musculus	blood	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	20120721_QE2_LC6_SAW_SA_A20_SILAC_BCR_pulldown_B4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20120721_QE2_LC6_SAW_SA_A20_SILAC_BCR_pulldown_B4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001440/20120721_QE2_LC6_SAW_SA_A20_SILAC_BCR_pulldown_B4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
20120801_QE3_LC1_SAW_SA_A20_SILAC_BCR_pulldown_2_10	mus musculus	blood	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	10	20120801_QE3_LC1_SAW_SA_A20_SILAC_BCR_pulldown_2_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20120801_QE3_LC1_SAW_SA_A20_SILAC_BCR_pulldown_2_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001440/20120801_QE3_LC1_SAW_SA_A20_SILAC_BCR_pulldown_2_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
20120611_QE4_LC6_SAW_SA_A20_SILAC_IgG_RepB_TiO2_3	mus musculus	blood	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	3	20120611_QE4_LC6_SAW_SA_A20_SILAC_IgG_RepB_TiO2_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20120611_QE4_LC6_SAW_SA_A20_SILAC_IgG_RepB_TiO2_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001440/20120611_QE4_LC6_SAW_SA_A20_SILAC_IgG_RepB_TiO2_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
20120611_QE4_LC6_SAW_SA_A20_SILAC_IgG_RepA_TiO2_1_SCX_03	mus musculus	blood	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	3	20120611_QE4_LC6_SAW_SA_A20_SILAC_IgG_RepA_TiO2_1_SCX_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20120611_QE4_LC6_SAW_SA_A20_SILAC_IgG_RepA_TiO2_1_SCX_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001440/20120611_QE4_LC6_SAW_SA_A20_SILAC_IgG_RepA_TiO2_1_SCX_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
20120611_QE4_LC6_SAW_SA_A20_SILAC_IgG_RepB_TiO2_2_SCX_01	mus musculus	blood	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	20120611_QE4_LC6_SAW_SA_A20_SILAC_IgG_RepB_TiO2_2_SCX_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20120611_QE4_LC6_SAW_SA_A20_SILAC_IgG_RepB_TiO2_2_SCX_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001440/20120611_QE4_LC6_SAW_SA_A20_SILAC_IgG_RepB_TiO2_2_SCX_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
20150129_QE1_UPLC4_SS_SA_BCRIPexp5_ingel1	mus musculus	blood	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	20150129_QE1_UPLC4_SS_SA_BCRIPexp5_ingel1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20150129_QE1_UPLC4_SS_SA_BCRIPexp5_ingel1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001440/20150129_QE1_UPLC4_SS_SA_BCRIPexp5_ingel1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
20120611_QE4_LC6_SAW_SA_A20_SILAC_IgG_RepB_TiO2_1_SCX_05	mus musculus	blood	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	5	20120611_QE4_LC6_SAW_SA_A20_SILAC_IgG_RepB_TiO2_1_SCX_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20120611_QE4_LC6_SAW_SA_A20_SILAC_IgG_RepB_TiO2_1_SCX_05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001440/20120611_QE4_LC6_SAW_SA_A20_SILAC_IgG_RepB_TiO2_1_SCX_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
20150129_QE1_UPLC4_SS_SA_BCRIPexp5_ingel5	mus musculus	blood	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	20150129_QE1_UPLC4_SS_SA_BCRIPexp5_ingel5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20150129_QE1_UPLC4_SS_SA_BCRIPexp5_ingel5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001440/20150129_QE1_UPLC4_SS_SA_BCRIPexp5_ingel5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
20150129_QE1_UPLC4_SS_SA_BCRIPexp5_ingel7	mus musculus	blood	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	20150129_QE1_UPLC4_SS_SA_BCRIPexp5_ingel7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20150129_QE1_UPLC4_SS_SA_BCRIPexp5_ingel7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001440/20150129_QE1_UPLC4_SS_SA_BCRIPexp5_ingel7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
20150129_QE1_UPLC4_SS_SA_BCRIPexp5_ingel2	mus musculus	blood	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	20150129_QE1_UPLC4_SS_SA_BCRIPexp5_ingel2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20150129_QE1_UPLC4_SS_SA_BCRIPexp5_ingel2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001440/20150129_QE1_UPLC4_SS_SA_BCRIPexp5_ingel2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
20150127_QE1_UPLC4_SS_SA_BCRIPexp4_ingel5	mus musculus	blood	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	20150127_QE1_UPLC4_SS_SA_BCRIPexp4_ingel5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	20 ppm	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20150127_QE1_UPLC4_SS_SA_BCRIPexp4_ingel5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001440/20150127_QE1_UPLC4_SS_SA_BCRIPexp4_ingel5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	blood
