accession	action	column	value	note
PXD014061	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD014061	TEMPLATE	comment[sdrf template]	vertebrates	
PXD014826	ADDED-REQUIRED	characteristics[age]	not available	human
PXD014826	ADDED-REQUIRED	characteristics[sex]	not available	human
PXD014826	ADDED-REQUIRED	characteristics[developmental stage]	not available	human
PXD014826	TEMPLATE	comment[sdrf template]	human	
PXD015108	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD015108	TEMPLATE	comment[sdrf template]	vertebrates	
PXD015337	ADDED	characteristics[developmental stage]	neonate	sample processing protocol
PXD015337	SET	characteristics[disease]	normal	sample processing protocol
PXD015337	TEMPLATE	comment[sdrf template]	vertebrates	
PXD016255	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD016255	TEMPLATE	comment[sdrf template]	vertebrates	
PXD016357	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD016357	TEMPLATE	comment[sdrf template]	vertebrates	
PXD016761	ADDED-REQUIRED	characteristics[age]	not available	human
PXD016761	ADDED-REQUIRED	characteristics[sex]	not available	human
PXD016761	ADDED-REQUIRED	characteristics[developmental stage]	not available	human
PXD016761	TEMPLATE	comment[sdrf template]	human	
PXD017139	SET	characteristics[developmental stage]	neonate	sample processing protocol
PXD017139	ADDED	characteristics[strain or breed]	C57BL/6	sample processing protocol
PXD017139	SET	characteristics[disease]	normal	sample processing protocol
PXD017294	ADDED	characteristics[developmental stage]	larval stage	PRIDE project description PXD017294
PXD017294	TEMPLATE	comment[sdrf template]	vertebrates	
PXD018545	ADDED	characteristics[strain or breed]	C57BL/6	PRIDE project description PXD018545
PXD018545	ADDED	characteristics[developmental stage]	adult	PRIDE project description PXD018545
PXD018545	SET	characteristics[disease]	normal	PRIDE project description PXD018545
PXD018545	TEMPLATE	comment[sdrf template]	vertebrates	
PXD018678	SET	characteristics[developmental stage]	adult	publication PMC7266817
PXD018678	SET	characteristics[developmental stage]	adult	publication PMC7266817
PXD019296	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD019296	TEMPLATE	comment[sdrf template]	vertebrates	
PXD019594	ADDED	characteristics[developmental stage]	adult	PRIDE project description PXD019594
PXD019594	ADDED-REQUIRED	characteristics[age]	not available	human
PXD019594	ADDED-REQUIRED	characteristics[sex]	not available	human
PXD019594	TEMPLATE	comment[sdrf template]	human	
PXD019643	TEMPLATE	comment[sdrf template]	human	
PXD019643	TEMPLATE	comment[sdrf template]	human	
PXD019808	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD019808	TEMPLATE	comment[sdrf template]	vertebrates	
PXD019811	SET	characteristics[developmental stage]	neonate	PRIDE title PXD019811
PXD019811	ADDED	characteristics[cell type]	cardiac muscle cell	PRIDE project description PXD019811
PXD019852	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD019852	TEMPLATE	comment[sdrf template]	vertebrates	
PXD020256	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD020256	TEMPLATE	comment[sdrf template]	vertebrates	
PXD021165	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD021165	TEMPLATE	comment[sdrf template]	vertebrates	
PXD021261	ADDED	characteristics[sex]	male	publication PMC7916846
PXD021261	ADDED	characteristics[developmental stage]	adult	publication PMC7916846
PXD021261	ADDED-REQUIRED	characteristics[age]	not available	human
PXD021261	TEMPLATE	comment[sdrf template]	human	
PXD021640	ADDED	characteristics[sex]	male	publication PMC7731038
PXD021640	ADDED	characteristics[strain or breed]	C57BL/6J	publication PMC7731038
PXD021640	ADDED	characteristics[age]	12W-14W	publication PMC7731038
PXD021640	ADDED	characteristics[developmental stage]	adult	publication PMC7731038
PXD021640	TEMPLATE	comment[sdrf template]	vertebrates	
PXD022091	ADDED-REQUIRED	characteristics[age]	not available	human
PXD022091	ADDED-REQUIRED	characteristics[sex]	not available	human
PXD022091	ADDED-REQUIRED	characteristics[developmental stage]	not available	human
PXD022091	TEMPLATE	comment[sdrf template]	human	
PXD022455	ADDED	characteristics[sex]	female	publication PMC10786961
PXD022455	ADDED	characteristics[strain or breed]	mongrel	publication PMC10786961
PXD022455	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD022455	TEMPLATE	comment[sdrf template]	vertebrates	
PXD022557	ADDED	characteristics[strain or breed]	C57BL/6	PRIDE project description
PXD022557	ADDED	characteristics[developmental stage]	adult	PRIDE project description
PXD022557	ADDED	characteristics[age]	18M-20M	PRIDE project description
PXD022557	TEMPLATE	comment[sdrf template]	vertebrates	
PXD022719	ADDED	characteristics[sex]	male	bundle PXD022719 (publication PMC7738185)
PXD022719	ADDED	characteristics[developmental stage]	adult	bundle PXD022719 (publication PMC7738185)
PXD022719	ADDED	characteristics[strain or breed]	Dorset	bundle PXD022719 (publication PMC7738185)
PXD022719	TEMPLATE	comment[sdrf template]	vertebrates	
PXD022853	ADDED	characteristics[cell type]	cardiac muscle cell	PRIDE title/description PXD022853
PXD022853	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD022853	TEMPLATE	comment[sdrf template]	vertebrates	
PXD022855	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD022855	TEMPLATE	comment[sdrf template]	vertebrates	
PXD023570	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD023570	TEMPLATE	comment[sdrf template]	vertebrates	
PXD023740	ADDED	characteristics[developmental stage]	adult	PRIDE description PXD023740
PXD023740	TEMPLATE	comment[sdrf template]	vertebrates	
PXD024525	ADDED	characteristics[sex]	male	publication PMC8934364
PXD024525	ADDED	characteristics[strain or breed]	C57BL/6	publication PMC8934364
PXD024525	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD024525	TEMPLATE	comment[sdrf template]	vertebrates	
PXD024633	ADDED	characteristics[sex]	male	publication PMC8282274 (via bundle)
PXD024633	ADDED	characteristics[developmental stage]	adult	publication PMC8282274 (via bundle)
PXD024633	TEMPLATE	comment[sdrf template]	vertebrates	
PXD025593	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD025593	TEMPLATE	comment[sdrf template]	vertebrates	
PXD026582	SET	characteristics[sex]	male	publication PMC12063684 (via bundle)
PXD026582	SET	characteristics[strain or breed]	C57BL/6	publication PMC12063684 (via bundle)
PXD026608	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD026608	TEMPLATE	comment[sdrf template]	vertebrates	
PXD027622	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD027622	TEMPLATE	comment[sdrf template]	vertebrates	
PXD027811	ADDED	characteristics[sex]	female	PRIDE project title
PXD027811	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD027811	TEMPLATE	comment[sdrf template]	vertebrates	
PXD027867	ADDED	characteristics[strain or breed]	C57BL/6J	publication PMC8395861
PXD027867	ADDED	characteristics[sex]	male	publication PMC8395861
PXD027867	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD027867	TEMPLATE	comment[sdrf template]	vertebrates	
PXD028516	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD028516	TEMPLATE	comment[sdrf template]	vertebrates	
PXD029031	ADDED	characteristics[sex]	male	publication PMC9276585
PXD029031	ADDED	characteristics[strain or breed]	Dahl salt-sensitive	publication PMC9276585
PXD029031	SET	characteristics[developmental stage]	adult	publication PMC9276585
PXD030938	ADDED	characteristics[age]	6M	PRIDE project description
PXD030938	ADDED	characteristics[developmental stage]	adult	PRIDE project description
PXD030938	TEMPLATE	comment[sdrf template]	vertebrates	
PXD031223	ADDED	characteristics[developmental stage]	adult	PRIDE project description
PXD031223	TEMPLATE	comment[sdrf template]	vertebrates	
PXD031324	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD031324	TEMPLATE	comment[sdrf template]	vertebrates	
PXD031617	SET	characteristics[strain or breed]	FVB	publication PMC9453978
PXD031797	ADDED	characteristics[sex]	male	publication PMC9010559
PXD031797	ADDED	characteristics[strain or breed]	C57BL/6	publication PMC9010559
PXD031797	ADDED	characteristics[age]	8W-12W	publication PMC9010559
PXD031797	ADDED	characteristics[developmental stage]	adult	publication PMC9010559
PXD031797	TEMPLATE	comment[sdrf template]	vertebrates	
PXD032157	ADDED	characteristics[developmental stage]	adult	PRIDE sample processing protocol
PXD032157	ADDED-REQUIRED	characteristics[disease]	not available	invertebrates
PXD032157	ADDED-REQUIRED	characteristics[strain or breed]	not available	invertebrates
PXD032157	TEMPLATE	comment[sdrf template]	invertebrates	
PXD032267	SET	characteristics[sex]	male	publication PMC10145941
PXD032267	SET	characteristics[developmental stage]	adult	publication PMC10145941
PXD032667	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD032667	TEMPLATE	comment[sdrf template]	vertebrates	
PXD032766	ADDED	characteristics[sex]	male	publication PMC9467976
PXD032766	ADDED	characteristics[age]	15W	publication PMC9467976
PXD032766	ADDED	characteristics[developmental stage]	adult	publication PMC9467976
PXD032766	ADDED	characteristics[strain or breed]	FVB	publication PMC9467976
PXD032766	TEMPLATE	comment[sdrf template]	vertebrates	
PXD033027	ADDED	characteristics[strain or breed]	C57BL/6	publication PMC11282886
PXD033027	ADDED	characteristics[developmental stage]	adult	publication PMC11282886
PXD033027	TEMPLATE	comment[sdrf template]	vertebrates	
PXD033194	ADDED	characteristics[sex]	female	publication PMC9360508
PXD033194	ADDED	characteristics[strain or breed]	Wistar	publication PMC9360508
PXD033194	ADDED	characteristics[developmental stage]	adult	publication PMC9360508
PXD033194	TEMPLATE	comment[sdrf template]	vertebrates	
PXD033256	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD033256	TEMPLATE	comment[sdrf template]	vertebrates	
PXD033876	ADDED	characteristics[developmental stage]	adult	publication PMC9687619
PXD033876	ADDED-REQUIRED	characteristics[age]	not available	human
PXD033876	ADDED-REQUIRED	characteristics[sex]	not available	human
PXD033876	TEMPLATE	comment[sdrf template]	human	
PXD033908	ADDED-REQUIRED	characteristics[age]	not available	human
PXD033908	ADDED-REQUIRED	characteristics[sex]	not available	human
PXD033908	ADDED-REQUIRED	characteristics[developmental stage]	not available	human
PXD033908	TEMPLATE	comment[sdrf template]	human	
PXD034891	ADDED	characteristics[developmental stage]	adult	PRIDE title
PXD034891	TEMPLATE	comment[sdrf template]	vertebrates	
PXD035554	SET	characteristics[disease]	normal	publication PMC11179111
PXD035554	ADDED	characteristics[age]	3M	publication PMC11179111
PXD035554	ADDED	characteristics[developmental stage]	juvenile stage	publication PMC11179111
PXD035554	TEMPLATE	comment[sdrf template]	vertebrates	
PXD035734	ADDED	characteristics[cell type]	cardiomyocyte	PRIDE sample processing protocol PXD035734
PXD035880	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD035880	TEMPLATE	comment[sdrf template]	vertebrates	
PXD036011	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD036011	TEMPLATE	comment[sdrf template]	vertebrates	
PXD036259	ADDED	characteristics[developmental stage]	adult	PRIDE sample processing protocol PXD036259
PXD036259	ADDED	characteristics[strain or breed]	ZSF1	PRIDE sample processing protocol PXD036259
PXD036259	TEMPLATE	comment[sdrf template]	vertebrates	
PXD036364	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD036364	TEMPLATE	comment[sdrf template]	vertebrates	
PXD036399	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD036399	TEMPLATE	comment[sdrf template]	vertebrates	
PXD037524	ADDED	characteristics[strain or breed]	C57BL/6J	PRIDE project description PXD037524
PXD037524	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD037524	TEMPLATE	comment[sdrf template]	vertebrates	
PXD039007	ADDED	characteristics[sex]	female	publication PMC9917977
PXD039007	ADDED	characteristics[developmental stage]	adult	publication PMC9917977
PXD039007	ADDED-REQUIRED	characteristics[age]	not available	human
PXD039007	TEMPLATE	comment[sdrf template]	human	
PXD039155	ADDED-REQUIRED	characteristics[developmental stage]	not available	invertebrates
PXD039155	ADDED-REQUIRED	characteristics[strain or breed]	not available	invertebrates
PXD039155	TEMPLATE	comment[sdrf template]	invertebrates	
PXD039174	ADDED	characteristics[developmental stage]	adult	publication PMC10243111
PXD039174	ADDED	characteristics[strain or breed]	C57BL/6	publication PMC10243111
PXD039174	SET	characteristics[disease]	normal	publication PMC10243111
PXD039174	TEMPLATE	comment[sdrf template]	vertebrates	
PXD039587	ADDED	characteristics[developmental stage]	neonate	publication PMC9985628
PXD039587	ADDED	characteristics[strain or breed]	Sprague-Dawley	publication PMC9985628
PXD039587	ADDED	characteristics[cell type]	cardiac muscle cell	PRIDE title/description PXD039587
PXD039587	ADDED	characteristics[age]	1D-2D	publication PMC9985628
PXD039587	TEMPLATE	comment[sdrf template]	vertebrates	
PXD039613	ADDED	characteristics[cell type]	cardiac muscle cell	publication PMC10002553
PXD040488	ADDED	characteristics[developmental stage]	adult	publication PMC10712656
PXD040488	ADDED-REQUIRED	characteristics[age]	not available	human
PXD040488	ADDED-REQUIRED	characteristics[sex]	not available	human
PXD040488	TEMPLATE	comment[sdrf template]	human	
PXD040785	ADDED	characteristics[strain or breed]	Wistar	PRIDE description PXD040785
PXD040785	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD040785	TEMPLATE	comment[sdrf template]	vertebrates	
PXD041056	ADDED	characteristics[sex]	female	publication PMC11141153
PXD041056	ADDED	characteristics[developmental stage]	adult	publication PMC11141153
PXD041056	ADDED	characteristics[age]	24M-34M	publication PMC11141153
PXD041056	TEMPLATE	comment[sdrf template]	vertebrates	
PXD041660	SET	characteristics[developmental stage]	adult	PRIDE project description
PXD042155	ADDED-REQUIRED	characteristics[age]	not available	human
PXD042155	ADDED-REQUIRED	characteristics[sex]	not available	human
PXD042155	ADDED-REQUIRED	characteristics[developmental stage]	not available	human
PXD042155	TEMPLATE	comment[sdrf template]	human	
PXD042904	SET	characteristics[cell type]	fibroblast of cardiac tissue	publication PMC10739604
PXD042904	SET	characteristics[sex]	male	publication PMC10739604
PXD042904	SET	characteristics[developmental stage]	adult	publication PMC10739604
PXD042904	SET	characteristics[age]	8W-10W	publication PMC10739604
PXD042904	SET	characteristics[strain or breed]	C57BL/6J	publication PMC10739604
PXD043108	ADDED	characteristics[developmental stage]	adult	PRIDE project description
PXD043108	TEMPLATE	comment[sdrf template]	vertebrates	
PXD043158	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD043158	TEMPLATE	comment[sdrf template]	vertebrates	
PXD043577	ADDED	characteristics[cell type]	cardiac fibroblast	PRIDE sample processing protocol
PXD043577	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD043577	TEMPLATE	comment[sdrf template]	vertebrates	
PXD043601	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD043601	TEMPLATE	comment[sdrf template]	vertebrates	
PXD044178	ADDED	characteristics[sex]	male	publication PMC11603239
PXD044178	ADDED	characteristics[strain or breed]	C57BL/6	PRIDE sample processing protocol
PXD044178	ADDED	characteristics[developmental stage]	adult	PRIDE sample processing protocol
PXD044178	ADDED	characteristics[age]	6W-8W	PRIDE sample processing protocol
PXD044178	SET	characteristics[disease]	normal	PRIDE sample processing protocol
PXD044178	TEMPLATE	comment[sdrf template]	vertebrates	
PXD044236	ADDED	characteristics[developmental stage]	adult	publication PMC10561727
PXD044236	ADDED	characteristics[strain or breed]	C57BLKS/J	publication PMC10561727
PXD044236	TEMPLATE	comment[sdrf template]	vertebrates	
PXD044253	ADDED	characteristics[sex]	male	publication PMC11535427
PXD044253	ADDED	characteristics[developmental stage]	adult	publication PMC11535427
PXD044253	ADDED	characteristics[strain or breed]	C57BL/6J	publication PMC11535427
PXD044253	TEMPLATE	comment[sdrf template]	vertebrates	
PXD044254	ADDED	characteristics[sex]	male	publication PMC11535427
PXD044254	ADDED	characteristics[developmental stage]	adult	publication PMC11535427
PXD044254	ADDED	characteristics[strain or breed]	C57BL/6J	publication PMC11535427
PXD044254	TEMPLATE	comment[sdrf template]	vertebrates	
PXD044936	ADDED	characteristics[developmental stage]	fetal stage	PRIDE sample processing protocol
PXD044936	SET	characteristics[disease]	normal	publication PMC10668469
PXD044936	ADDED-REQUIRED	characteristics[age]	not available	human
PXD044936	ADDED-REQUIRED	characteristics[sex]	not available	human
PXD044936	TEMPLATE	comment[sdrf template]	human	
PXD044957	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD044957	TEMPLATE	comment[sdrf template]	vertebrates	
PXD045079	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD045079	TEMPLATE	comment[sdrf template]	vertebrates	
PXD046385	ADDED	characteristics[cell type]	cardiac muscle cell	PRIDE sample processing protocol
PXD046631	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD046631	TEMPLATE	comment[sdrf template]	vertebrates	
PXD047728	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD047728	TEMPLATE	comment[sdrf template]	vertebrates	
PXD048078	ADDED	characteristics[sex]	male	PRIDE sample processing protocol (also publication PMC12185556)
PXD048078	ADDED	characteristics[strain or breed]	CD-1	PRIDE sample processing protocol
PXD048078	ADDED	characteristics[developmental stage]	adult	PRIDE sample processing protocol
PXD048078	TEMPLATE	comment[sdrf template]	vertebrates	
PXD048804	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD048804	TEMPLATE	comment[sdrf template]	vertebrates	
PXD048877	ADDED	characteristics[strain or breed]	ICR	PRIDE sample processing protocol
PXD048877	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD048877	TEMPLATE	comment[sdrf template]	vertebrates	
PXD049057	ADDED	characteristics[cell type]	fibroblast	PRIDE sample processing protocol
PXD049057	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD049057	TEMPLATE	comment[sdrf template]	vertebrates	
PXD049301	ADDED-REQUIRED	characteristics[age]	not available	human
PXD049301	ADDED-REQUIRED	characteristics[sex]	not available	human
PXD049301	ADDED-REQUIRED	characteristics[developmental stage]	not available	human
PXD049301	TEMPLATE	comment[sdrf template]	human	
PXD049369	SET	characteristics[disease]	immunoglobulin light chain amyloidosis	PRIDE title and project description
PXD049369	ADDED-REQUIRED	characteristics[age]	not available	human
PXD049369	ADDED-REQUIRED	characteristics[sex]	not available	human
PXD049369	ADDED-REQUIRED	characteristics[developmental stage]	not available	human
PXD049369	TEMPLATE	comment[sdrf template]	human	
PXD049426	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD049426	TEMPLATE	comment[sdrf template]	vertebrates	
PXD050458	SET	characteristics[disease]	normal	project description
PXD050458	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD050458	TEMPLATE	comment[sdrf template]	vertebrates	
PXD050504	ADDED-REQUIRED	characteristics[developmental stage]	not available	vertebrates
PXD050504	TEMPLATE	comment[sdrf template]	vertebrates	
PXD050994	ADDED	characteristics[strain or breed]	German Landrace	publication PMC11628585
PXD050994	ADDED	characteristics[developmental stage]	adult	publication PMC11628585
PXD050994	TEMPLATE	comment[sdrf template]	vertebrates	
PXD051011	SET	characteristics[disease]	normal	publication PMC11871314
PXD051011	ADDED	characteristics[developmental stage]	adult	publication PMC11871314
PXD051011	ADDED-REQUIRED	characteristics[age]	not available	human
