accession	field	value	confidence	source	evidence_quote
PXD014061	strain or breed	C57BL/6J	high	PRIDE project description	AOX transgenic mice have Ciona intestinalis AOX coding sequence knocked into the Rosa26 locus with AOX expression controlled by a CAG promoter as described elsewhere (Szibor et al. (2017) Dis Model Mech 10: 163–171).
PXD015337	developmental stage	neonate	high	sample processing protocol	Neonatal rat cardiomyocytes were transfected either with Negative control 2 or pre-miR-132.
PXD015337	disease	normal	medium	sample processing protocol	Neonatal rat cardiomyocytes were transfected either with Negative control 2 or pre-miR-132.
PXD017139	developmental stage	neonate	high	sample processing protocol	Neonatal C57 BL/6 mice at post-neonatal day 1 (P1) and day 7 (P7) were obtained from the Central Animal Breeding House of Xi’an Jiaotong University, Xi’an, Shaanxi and sacrificed for the heart tissue sampling.
PXD017139	strain or breed	C57BL/6	high	sample processing protocol	Neonatal C57 BL/6 mice at post-neonatal day 1 (P1) and day 7 (P7) were obtained from the Central Animal Breeding House of Xi’an Jiaotong University, Xi’an, Shaanxi and sacrificed for the heart tissue sampling.
PXD017139	disease	normal	medium	sample processing protocol	Neonatal C57 BL/6 mice at post-neonatal day 1 (P1) and day 7 (P7) were obtained from the Central Animal Breeding House of Xi’an Jiaotong University, Xi’an, Shaanxi and sacrificed for the heart tissue sampling.
PXD017294	developmental stage	larval stage	high	PRIDE project description PXD017294	Newly hatched larvae were exposed to sublethal doses of each individual PAH causing no detectable morphometric alterations.
PXD018545	strain or breed	C57BL/6	high	PRIDE project description PXD018545	Subsarcolemmal mitochondria (SSM) and IFM were isolated from 3, 18, and 24 mo. C57Bl/6 mouse hearts.
PXD018545	developmental stage	adult	high	PRIDE project description PXD018545	Subsarcolemmal mitochondria (SSM) and IFM were isolated from 3, 18, and 24 mo. C57Bl/6 mouse hearts.
PXD018545	disease	normal	medium	PRIDE project description PXD018545	We asked if ER stress contributes to the mitochondrial dysfunction during aging.
PXD018678	developmental stage	adult	high	publication PMC7266817	"<td colspan=""1"" rowspan=""1"">Age (mean) (years)</td><td colspan=""1"" rowspan=""1"">53.2</td>"
PXD018678	organism part	heart left ventricle	high	PRIDE project description PXD018678	We performed unbiased, comprehensive, paired proteomic and metabolomic analysis of 51 left ventricular (LV) samples from 44 cryopreserved pre-mortem human ICM and DCM hearts
PXD019594	organism part	heart left ventricle	high	PRIDE project description PXD019594	Proteome profiling by data-independent acquisition mass spectrometry in individual left-ventricular biopsies quantified 2.273 proteins.
PXD019594	developmental stage	adult	medium	PRIDE project description PXD019594	The guideline for management of severe AS in patients is to improve quality of life by transaortic catheter-based valve replacement (TAVR).
PXD019811	developmental stage	neonate	high	PRIDE title PXD019811	Neonatal rat cardiomyocyte RBPome
PXD019811	cell type	cardiac muscle cell	high	PRIDE project description PXD019811	Here we defined RBPs in healthy and diseased primary cardiomyocytes at a system-wide level by RNA Interactome Capture.
PXD020192	disease	normal	high	PRIDE project description	In total, we analyzed 117 samples from 46 histologically normal tissues and organs at autopsy.
PXD021261	sex	male	high	publication PMC7916846	( n = 15 males, mean age = 63 ± 4 years, mean body mass index (BMI) = 25 ± 8, mean left-ventricular ejection fraction (EF) = 30 ± 11%, body mass index () and nonfailing human control hearts ( n = 10 males
PXD021261	developmental stage	adult	high	publication PMC7916846	Fifteen end-stage failing heart explants included three patients suffering from end-stage DCM ( n = 3 males, mean age 63 ± 3.9 years, EF 22 ± 5.8%) and 12 patients with ICM ( n = 12 males, mean age 63 ± 5 years, EF 33 ± 11%).
PXD021261	organism part	heart left ventricle	medium	publication PMC7916846	we subjected left-ventricular tissue specimens collected from control or failing human hearts to comprehensive mass spectrometry-based redox and quantitative proteomics
PXD021640	sex	male	high	publication PMC7731038	12–14-weeks-old C57BL/6J male mice were purchased for Charles River (Germany) and kept in temperature- and humidity-controlled animal facility at 12 h of light-to-dark cycles with access to water and food ad libitum
PXD021640	strain or breed	C57BL/6J	high	publication PMC7731038	12–14-weeks-old C57BL/6J male mice were purchased for Charles River (Germany) and kept in temperature- and humidity-controlled animal facility at 12 h of light-to-dark cycles with access to water and food ad libitum
PXD021640	age	12W-14W	high	publication PMC7731038	12–14-weeks-old C57BL/6J male mice were purchased for Charles River (Germany) and kept in temperature- and humidity-controlled animal facility at 12 h of light-to-dark cycles with access to water and food ad libitum
PXD021640	developmental stage	adult	high	publication PMC7731038	12–14-weeks-old C57BL/6J male mice were purchased for Charles River (Germany) and kept in temperature- and humidity-controlled animal facility at 12 h of light-to-dark cycles with access to water and food ad libitum
PXD021640	organism part	heart left ventricle	high	publication PMC7731038	In all 4 groups (Sham, Isch, I/R1, I/R24), left ventricle (LV) was separated from septum and right ventricle, weighed, cut in small pieces, immediately frozen in liquid nitrogen and kept in −80 °C until use.
PXD022455	sex	female	high	publication PMC10786961	Cardiac microsomes were isolated from female mongrel dog left ventricular tissue, and loaded with Ca oxalate as previously described, with minor modifications [ 5 ].
PXD022455	strain or breed	mongrel	high	publication PMC10786961	Cardiac microsomes were isolated from female mongrel dog left ventricular tissue, and loaded with Ca oxalate as previously described, with minor modifications [ 5 ].
PXD022455	organism part	heart left ventricle	high	publication PMC10786961	Cardiac microsomes were isolated from female mongrel dog left ventricular tissue, and loaded with Ca oxalate as previously described, with minor modifications [ 5 ].
PXD022557	strain or breed	C57BL/6	high	PRIDE project description	Aged (18-20 months) male and female C57BL/6 mice were fed diets to create euthyroid, hypothyroid, or hyperthyroid states.
PXD022557	developmental stage	adult	high	PRIDE project description	Aged (18-20 months) male and female C57BL/6 mice were fed diets to create euthyroid, hypothyroid, or hyperthyroid states.
PXD022557	age	18M-20M	medium	PRIDE project description	Aged (18-20 months) male and female C57BL/6 mice were fed diets to create euthyroid, hypothyroid, or hyperthyroid states.
PXD022719	sex	male	high	bundle PXD022719 (publication PMC7738185)	we randomly assigned adult male Dorset sheep to either control
PXD022719	developmental stage	adult	high	bundle PXD022719 (publication PMC7738185)	we randomly assigned adult male Dorset sheep to either control
PXD022719	strain or breed	Dorset	high	bundle PXD022719 (publication PMC7738185)	we randomly assigned adult male Dorset sheep to either control
PXD022853	cell type	cardiac muscle cell	medium	PRIDE title/description PXD022853	NHE1 phosphorylation analysis in cardiomyocytes in normoxic and anoxic conditions
PXD023740	developmental stage	adult	medium	PRIDE description PXD023740	Glycoprotein pull-downs from heart lysates of young (3 months) and old (2 years) mice
PXD024500	sex	male	high	publication PMC8662312	Briefly, male Wistar rats (Envigo) were fed a high
PXD024500	strain or breed	Wistar	high	publication PMC8662312	Briefly, male Wistar rats (Envigo) were fed a high
PXD024500	developmental stage	adult	medium	publication PMC8662312	Control rats were fed standard chow diet
PXD024525	sex	male	medium	publication PMC8934364	For induction of heart failure, C57BL6 male mice were anesthetized
PXD024525	strain or breed	C57BL/6	medium	publication PMC8934364	For induction of heart failure, C57BL6 male mice were anesthetized
PXD024633	sex	male	high	publication PMC8282274 (via bundle)	Male mice were fed an NCD (Rat & Mouse Chow, Specialty Foods)
PXD024633	developmental stage	adult	medium	publication PMC8282274 (via bundle)	we fed them a normal chow diet (NCD) or high
PXD026582	sex	male	high	publication PMC12063684 (via bundle)	C57BL/6 wild-type mice (male, 5-week-old;
PXD026582	strain or breed	C57BL/6	high	publication PMC12063684 (via bundle)	C57BL/6 wild-type mice (male, 5-week-old;
PXD027811	sex	female	medium	PRIDE project title	Extracellular vesicle proteome from cardiac muscle critical for protection against obesity in female mice
PXD027867	organism part	heart left ventricle	high	publication PMC8395861	The entire left ventricle (LV), including the infarct/scar, border zone and remote region was frozen in a 1.5 mL tube in liquid nitrogen.
PXD027867	strain or breed	C57BL/6J	high	publication PMC8395861	C57BL/6J mice (Jackson Laboratory, Bar Harbor, ME, USA) received injections of 50 μL of the vehicle
PXD027867	sex	male	medium	publication PMC8395861	C57BL/6J male mice (except naïve) were treated with either 10 pmoles of DMB or vehicle (DMSO) 2 h after permanent coronary artery ligation (PCAL) surgery and every other day or two (
PXD029031	sex	male	high	publication PMC9276585	Male DSS rats (body mass 200.00–270.00 g) (permit number SCXK (JING) 2016–0006) were purchased from Vital River
PXD029031	strain or breed	Dahl salt-sensitive	high	publication PMC9276585	using Dahl salt-sensitive (DSS) rats exposed to a high-salt diet inducing hypertension and the classic HFpEF model
PXD029031	developmental stage	adult	medium	publication PMC9276585	were purchased from Vital River, Beijing, China, at between 7 and 8 weeks of age
PXD029031	organism part	heart left ventricle	high	PRIDE sample processing protocol	left ventricular apical tissue sampled from three different groups were performed
PXD030857	sex	male	high	publication PMC10011552	Male ApoE-/- mice at 6 to 7 weeks of age were fed an HFD containing 22% fat and 0.15% cholesterol (SF00-219, Specialty Feeds) for 6 weeks, as previously described.
PXD030857	strain or breed	C57BL/6J	high	publication PMC10011552	The ApoE-/- were backcrossed to C57BL/6J for at least 10 generations.
PXD030857	developmental stage	adult	medium	publication PMC10011552	Male ApoE-/- mice at 6 to 7 weeks of age were fed an HFD containing 22% fat and 0.15% cholesterol (SF00-219, Specialty Feeds) for 6 weeks, as previously described.
PXD030938	organism part	heart left ventricle	high	PRIDE sample processing protocol	Left ventricular cardiac tissue was pulverized in liquid nitrogen, homogenized on ice in urea buffer (7 M urea, 2 M thiourea, 20 mM Tris base, pH 8.5)
PXD030938	age	6M	high	PRIDE project description	We analysed left ventricular cardiac muscle tissue derived from six-month-old homozygous desmin knock-out mice as well as wild-type siblings.
PXD030938	developmental stage	adult	high	PRIDE project description	We analysed left ventricular cardiac muscle tissue derived from six-month-old homozygous desmin knock-out mice as well as wild-type siblings.
PXD031223	developmental stage	adult	medium	PRIDE project description	By combining in vivo, ex vivo, and in vitro strategies, we demonstrated that there are sex-specific features that influence the response to pharmacological intervention in the aging mouse heart.
PXD031270	sex	male	high	publication PMC8965055	The male Wistar rats aged 3 months (young, Y) and 24 months (old, O) were purchased from the Animal Center of Harbin Medical University.
PXD031270	strain or breed	Wistar	high	publication PMC8965055	The male Wistar rats aged 3 months (young, Y) and 24 months (old, O) were purchased from the Animal Center of Harbin Medical University.
PXD031270	developmental stage	adult	high	publication PMC8965055	The male Wistar rats aged 3 months (young, Y) and 24 months (old, O) were purchased from the Animal Center of Harbin Medical University.
PXD031617	strain or breed	FVB	high	publication PMC9453978	In this study, we used both male and female FVB mice.
PXD031797	sex	male	high	publication PMC9010559	Eight to 12 weeks old male C57/Bl6 mice were used throughout the study.
PXD031797	strain or breed	C57BL/6	high	publication PMC9010559	Eight to 12 weeks old male C57/Bl6 mice were used throughout the study.
PXD031797	age	8W-12W	high	publication PMC9010559	Eight to 12 weeks old male C57/Bl6 mice were used throughout the study.
PXD031797	developmental stage	adult	high	publication PMC9010559	Eight to 12 weeks old male C57/Bl6 mice were used throughout the study.
PXD032157	developmental stage	adult	medium	PRIDE sample processing protocol	15N-labeled virgin females (4–6 days old) were forced mated to age-matched unlabeled virgin males.
PXD032267	sex	male	high	publication PMC10145941	Males aged approximately 8–12 weeks were studied.
PXD032267	developmental stage	adult	high	publication PMC10145941	Males aged approximately 8–12 weeks were studied.
PXD032766	sex	male	high	publication PMC9467976	For all mouse experiments, male mice aged 15 weeks were sacrificed by cervical dislocation at Zeitgeber time (ZT) 4 for serum and tissue isolations.
PXD032766	age	15W	high	publication PMC9467976	For all mouse experiments, male mice aged 15 weeks were sacrificed by cervical dislocation at Zeitgeber time (ZT) 4 for serum and tissue isolations.
PXD032766	developmental stage	adult	high	publication PMC9467976	For all mouse experiments, male mice aged 15 weeks were sacrificed by cervical dislocation at Zeitgeber time (ZT) 4 for serum and tissue isolations.
PXD032766	strain or breed	FVB	high	publication PMC9467976	in an FVB genetic background were housed at 22
PXD033027	strain or breed	C57BL/6	high	publication PMC11282886	Male and female C57BL/6J mice were obtained from Animal Bioresources (Moss Vale).
PXD033027	developmental stage	adult	medium	publication PMC11282886	For the 5-week study, mice aged 10 to 12 weeks were randomly assigned to control and HFpEF
PXD033029	organism part	liver	high	PRIDE title and sample processing protocol	Liver (organelle extraction, mitochondrial-enriched fraction) lysed on ice (1% sodium dodecyl sulphate, SDS in 50 mM HEPES, pH 8.0), and reduced (10 mM dithiothreitol, DTT) for 1 hr at 25
PXD033194	sex	female	high	publication PMC9360508	Twelve to fourteen week-old female Wistar Han IGS (Crl : WI(Han) rats from Charles River Laboratories, Spain, were used.
PXD033194	strain or breed	Wistar	high	publication PMC9360508	Twelve to fourteen week-old female Wistar Han IGS (Crl : WI(Han) rats from Charles River Laboratories, Spain, were used.
PXD033194	developmental stage	adult	high	publication PMC9360508	To evaluate the effect of radiotherapy on cardiac dysfunction, the hearts of adult Wistar rats were exposed to photon beams using a medical electron linear accelerator.
PXD033773	organism part	heart	high	publication PMC10045983	Neonatal rat ventricular myocytes (NRVMs) from 2-days-old Sprague-Dawley pups were isolated as described before.
PXD033773	cell type	cardiac ventricular myocyte	medium	publication PMC10045983	Adult rat ventricular myocytes (ARVMs) from 350 to 375 g both male and female Sprague-Dawley rats were isolated as described previously.
PXD033773	strain or breed	Sprague-Dawley	high	publication PMC10045983	Adult rat ventricular myocytes (ARVMs) from 350 to 375 g both male and female Sprague-Dawley rats were isolated as described previously.
PXD033773	disease	normal	medium	PRIDE description / publication PMC10045983	Neonatal rat ventricular myocytes (NRVMs) from 2-days-old Sprague-Dawley pups were isolated as described before.
PXD033876	organism part	left ventricle	high	PRIDE description	Protein expression profiles were analyzed in HFpEF and non-HFpEF human left ventricular myocardium biopsy samples.
PXD033876	developmental stage	adult	medium	publication PMC9687619	a mixed control group, composed of explanted donor hearts (n = 5) and aortic stenosis patients submitted to aortic valve replacement surgery (n = 7)
PXD033908	organism part	left ventricle	high	PRIDE description	gel electrophoresis followed by ELC specific immunoblot (IB) was performed to detect the ELC phosphorylation pattern of human left ventricular tissue
PXD034891	developmental stage	adult	high	PRIDE title	Label-free quantitative SWATH-MS proteomic analysis of adult myocardial slices in vitro after biomimetic electromechanical stimulation
PXD035554	disease	normal	high	publication PMC11179111	the piglets included in this study were in good health and did not suffer from pressure overload and/or cardiac contractile dysfunction
PXD035554	age	3M	high	publication PMC11179111	Briefly, a total of 32 piglets (age 3 months) were studied.
