accession	severity	column	current_value	defect	evidence_quote
PXD001020	minor	characteristics[biological replicate]	1	all 384 rows are biological replicate '1' although the deposit covers 8 animals fractionated into 48 gel bands each	The Triton-insoluble fractions from control (n=4) and septic group (n=4)
PXD001839	minor	characteristics[age]	(column absent)	the SDRF has neither an age nor a developmental stage column although age is the only experimental variable in this deposit, so the 12 rows cannot be distinguished from one another	Heart tissues were solubilized in 8M urea, 2M thiourea, 4% CHAPs and 1% DTT
PXD001842	minor	characteristics[age]	(column absent)	no age or developmental stage column although age is the only experimental variable across the 9 rows	Heart tissues were solubilized in 8M urea
PXD001888	important	characteristics[cell type]	cardiac muscle cell	asserted on all 48 rows although the material is whole snap-frozen heart ground and fractionated into cytosolic and membrane fractions, not isolated cardiomyocytes; the value traces to the submitter's PRIDE dropdown	Snap frozen whole organs were ground to a powder on dry ice, transferred to a tissue grinder in 500 μL of ice cold lysis buffer
PXD001888	important	characteristics[disease]	not available	PRIDE_DISEASES declares 'Cardiomyopathy' for this deposit, but the paper explicitly reports unchanged cardiac histology with no fibrosis or hypertrophy; that dropdown value is unsupported and must not be imported onto any row. The current 'not available' is safe, but the treated/control design is also entirely unrecorded	Nevertheless, basic cardiac histology remained unchanged following sunitinib treatment in both models, with no evidence of fibrosis or hypertrophy
PXD001888	minor	characteristics[sex]	(column absent)	the cohort is entirely female, which is biologically relevant for sunitinib cardiotoxicity, but no sex column exists	Female Balb/CJ mice (n = 36) or Sprague-Dawley rat (n = 12) models were treated with sunitinib.
PXD001972	minor	characteristics[age]	10.55Y / 6.54Y	two-decimal ages are asserted on all 380 rows but no age for either subject appears anywhere in the PRIDE record or in the open-access publication text available in the bundle, so the values could not be verified from the evidence	characteristics[age]: '10.55Y'x200; '6.54Y'x180
PXD001972	minor	characteristics[biological replicate]	1	all 380 rows are biological replicate '1' although the deposit comes from exactly two animals; the twenty gel slices per organ lane are technical fractions, not biological replicates	was performed with the tissues from twelve organs of one male and one female rhesus monkey.
PXD002479	minor	characteristics[organism part]	Heart	the material analysed by MS is specifically left ventricle, not whole heart; 'heart' is not wrong but loses the chamber information	For proteomics mass spectrometry analysis, the left heart ventricle was divided into two pieces, homogenization and extraction of individual pieces were carried out in lysis buffer containing 50 mM Tris pH 7.4, 150 mM NaCl, 0.5 mM DTPA and protease inhibitor cocktail (Roche)
PXD002488	minor	characteristics[organism part]	heart	the deposit is decellularized left ventricle ECM, not whole heart; the LV/ECM-enrichment detail is lost	After decellularization in SDS-containing buffer, the LV were homogenized in Protein Extraction Reagent 4 (Sigma Aldrich), centrifuged and the supernatants transferred to new tubes.
PXD002870	blocker	characteristics[disease]	normal	'normal' is asserted on all 1477 rows although 682 of them (source names *_ISO_*, characteristics[phenotype]='hypertrophy groups') are isoproterenol-induced cardiac hypertrophy samples - a false biological claim on the diseased arm	Cardiac hypertrophy was initiated by surgical implantation, at labeling initiation, subcutaneous micro-osmotic pumps (Alzet) calibrated to deliver 15 mg·kg-1·d-1 isoproterenol over 14 days.
PXD002870	important	characteristics[enrichment process]	enrichment of phosphorylated Protein	no phosphopeptide enrichment was performed; the workflow is differential-centrifugation subcellular fractionation (nuclear, cytosolic, mitochondrial) followed by high-pH/low-pH 2D fractionation, so this value is fabricated	Extracted protein fractions were solubilized with RIPA then digested on-filter using 10,000 Da polyethersulfone filters (Nanosep; Pall Life Sciences).
PXD002870	minor	characteristics[developmental stage]	9W-12W	an age range is stored in the developmental stage column; the stage is 'adult' and 9W-12W belongs in characteristics[age]	mice (male, 9–12 weeks of age; Jackson Laboratories)
PXD002870	minor	characteristics[cell type]	cardiac	'cardiac' is not a cell type and the material is whole cardiac tissue homogenate, not an isolated cell population	Cardiac tissues were excised and homogenized in an extraction buffer: 250 mM sucrose, 10 mM HEPES, 10 mM Tris, 1 mM EGTA, 10 mM dithiothreitol, protease and phosphatase inhibitors (Pierce Halt), pH 7.4.
PXD003204	blocker	characteristics[developmental stage]	adult	'adult' is asserted on all 108 rows, but the only statement about the animals in the deposit says the organs are juvenile (and the other material is embryonal); no evidence anywhere supports adult pigs	Proteogenomics analysis of porcine embryonal stages and juvenile organs.
PXD004465	minor	characteristics[organism part]	heart	the study is on atrial extracellular matrix (atrial tissue from cardiac-surgery patients), so 'heart' loses the chamber; also the material is a 3-step ECM-enriched extract rather than whole tissue	Samples were extracted using a 3-step protocol for extracellular matrix protein enrichment.
PXD004701	important	dataset scope	included in the heart/cardiac SDRF collection	this deposit contains no cardiac material at all - it is 76 breast cancer cell lines; the only cardiac-sounding value is characteristics[organism part]='Pericardial Effusion' on 4 rows, which is the derivation site of one breast cancer cell line, not heart tissue. Curating it as a heart dataset is a category error.	Here we obtained the proteotypes of 76 breast cancer cell lines using pressure cycling technology (PCT) and SWATH mass spectrometry.
PXD004701	minor	characteristics[cell type]	cell line	'cell line' is a material type, not a cell type; the cell-line identity is already carried by characteristics[cell line] and the Cellosaurus accession	Each cell line was lyzed and digested in triplecates (except two lines) using pressure cycling technology (PCT) (Pubmed ID: 25730263).
PXD006646	minor	characteristics[organism part]	heart	every sample is left ventricle myocardium, so 'heart' is imprecise (not wrong)	Left ventricles were pulverized in liquid nitrogen and an accurately weighed portion (100 mg)
PXD006675	important	characteristics[disease]	normal	'normal' is on 464 rows although only 441 rows carry the healthy post-mortem autopsy phenotype; the extra rows must include cultured CFs/ECs/SMCs isolated from patients undergoing cardiovascular surgery (and adipose fibroblasts), whose donors are not documented as healthy	we isolated CFs, ECs, and SMCs from patients undergoing cardiovascular surgery
PXD006675	minor	characteristics[cell type]	fibroblast	18 rows are adipose fibroblasts from subcutaneous fat (phenotype column), i.e. not cardiac material at all; they should not be presented alongside heart regions without an organism part that says so	we isolated CFs, ECs, and SMCs from patients undergoing cardiovascular surgery
PXD006888	important	characteristics[cell type]	cardiac muscle cell	asserted on all 89 rows although the material is whole frozen heart ground to powder and digested as whole lysate, not isolated cardiomyocytes	Frozen mouse hearts were individually ground under liquid nitrogen to yield a fine powder using apestle and mortar.
PXD006911	minor	characteristics[organism part]	Heart	all material is atrial appendage/atrial wall tissue, so 'Heart' is imprecise	Human atrial tissues were taken from the patients with rheumatic mitral valve disease in either sinus rhythm or persistent AF.
PXD007171	important	characteristics[disease]	normal	all 11 rows are labelled 'normal' with phenotype 'ctrl_ventricle' although the deposit is described as containing LV and RV protein pools of TAC, sham AND baseline animals; either diseased (TAC) runs are mis-labelled as control or most runs of the deposit are missing from the SDRF	protein extraction via bead mill and ultra-sonication from LV and RV of TAC, sham and baseline animals
PXD007171	minor	characteristics[biological replicate]	1..8	each measured sample is a pool of 6 ventricles per group and time point, so the rows are pooled samples rather than biological replicates and no 'pooled sample' characteristic is recorded	pooling of protein extracts per group and time point
PXD007839	important	characteristics[organism part]	heart	all 14 rows are annotated as heart tissue with no cell type, but the material is cultured cells (enriched plasma-membrane fractions of expanded human cardiac fibroblasts, plus human cardiac stem cell runs), not myocardium	After cell culture reached 80% confluence, cells were harvested and frozen at -80 ºC until further analysis.
PXD008385	minor	characteristics[organism part]	Heart	Only left ventricle was sampled; 'heart' is correct but imprecise and loses the chamber information stated in both the deposit description and the paper.	Based on this, we examined the impact of obesity on protein lysine acetylation in the left ventricle (LV) of male c57BL/6J mice.
PXD008385	minor	characteristics[biological replicate]	1 (x12)	All 12 rows are BPRP fractions of one pooled TMT 10-plex; they are fractions of a single multiplexed sample, so a single biological replicate index plus a fraction identifier is defensible, but the deposit actually contains 4-5 CD and 5 HFD biological replicates that the SDRF does not represent at all.	Abundance values obtained in all four CD and four out of five HFD cohorts met criteria for further study, which included 3928 of the 4082 identified proteins.
PXD008722	important	characteristics[disease]	dilated left atria	Asserted on all 252 rows, including the 84 right-atrium and 84 left-ventricle rows. The paper states explicitly that dilation was confined to the left atrium and that the LV was structurally normal, so 'dilated left atria' is a false description of the RA and LV samples. The patient-level diagnosis common to all rows is mitral valve prolapse/regurgitation.	For all patients, chamber dilation was limited to the LA, allowing a comparison of a dilated (LA) versus non-dilated (RA) atrial proteome.
PXD008722	minor	characteristics[age]	43Y-60Y	The publication reports only that the seven patients were 'middle aged (average 50 years)'; no 43-60 year range appears anywhere in the open-access text, so the stated range is not verifiable from the available evidence.	All seven patients were male, middle aged (average 50 years), normal weight (average BMI 23.6), and had mitral valve regurgitation with dilated left atria and a normal left ventricular ejection fraction.
PXD008722	minor	characteristics[cell type]	cardiac	'cardiac' is not a cell type; the material is whole-tissue biopsy, not a purified cell population.	Tissue biopsies were collected from LA, RA and LV of patients undergoing mitral valve surgery.
PXD008736	minor	characteristics[organism part]	heart	The study contrasts sinus node against adjacent right atrial muscle; 'heart' on all 144 rows is not wrong but erases the only biological variable in the deposit.	Results Deep proteomes of sinus node and atrial muscle biopsies To define protein expression in the sinus node, sinus node and adjacent right atrial muscle were dissected from mouse hearts and analysed by high-resolution mass spectrometry (Fig.
PXD008934	important	characteristics[disease]	cardiac hypertrophy (x13) / compensated hypertrophy (x2)	The counts do not reconcile with the paper or with this file's own factor value[disease] column (compensated hypertrophy x6, HCMpEF x4, HCMrEF x5). Compensated-hypertrophy hearts are NON-FAILING donor hearts with LVEF>50%, whereas HCMpEF/HCMrEF are failing hypertrophic cardiomyopathy hearts; collapsing part of both into one 'cardiac hypertrophy' bucket of 13 rows conflates a non-failing donor phenotype with end-stage disease and disagrees with the factor value column in the same row.	Classification standard: NF donor hearts (with an LVEF greater than 50%) are further divided into normal and compensated hypertrophy (cHyp).
PXD008934	important	factor value[disease]	hypertrophic cardiomyopathy with preserved reduced ejection fraction / hypertrophic cardiomyopathy with reduced reduced ejection fraction	Both labels are malformed. 'preserved reduced ejection fraction' is self-contradictory and 'reduced reduced' is a duplication; the intended terms are HCM with preserved EF and HCM with reduced EF.	NF hearts are subdivided into normal or compensated hypertrophy (cHyp), while failing hearts are subdivided into ischemic cardiomyopathy (ICM), dilated cardiomyopathy (DCM), and hypertrophic cardiomyopathy with preserved or reduced ejection fraction (HCMpEF and HCMrEF, respectively).
PXD008934	minor	characteristics[cell type]	heart cell	The MS material is bulk left-ventricular myocardium, not an isolated cell population; 'heart cell' is not a meaningful cell type here.	Human left ventricular tissue collected from a relatively healthy (myocardial rich, minimally fibrotic) region of the mid LV wall was used for mass spectrometry.
PXD008998	minor	characteristics[organism part]	heart	The analysed material is a Percoll-gradient-purified heart mitochondrial fraction rather than whole heart tissue; a subcellular-fraction comment would prevent the rows being read as bulk myocardium.	Percoll purified heart mitochondria were prepared for LC MS/MS with guanidinium chloride preparation.
PXD010154	minor	characteristics[disease]	not available	All 1800 rows are healthy Human Protein Atlas donor tissue and the file already carries characteristics[phenotype]='normal' on every row, so leaving disease unset is an avoidable loss of information and is internally inconsistent with the phenotype column.	FP selected and provided normal human tissue samples.
PXD011349	minor	characteristics[developmental stage]	adult	Plausible for DCM patients undergoing endomyocardial biopsy but nothing in the deposit metadata states donor age or age band; the value rests on inference rather than on evidence in the bundle.	In order to explore the association of the protein abundances in endomyocardial biopsies from the left and the right ventricle with echocardiographic parameters in DCM patients we did a global proteome profiling.
PXD011627	minor	characteristics[organism part]	Heart	Six of the nine samples are decellularized extracellular-matrix preparations of ventricles rather than intact heart tissue, and the dissected material is ventricle specifically; the row reads as bulk heart tissue.	For this purpose, we first established a decellularization protocol of adult zebrafish ventricles that significantly enriched the yield of ECM proteins.
PXD011778	minor	characteristics[material type]	cell	The analysed material is the conditioned medium (secretome) of cultured primary fibroblasts, not the cells themselves; 'cell' understates that these are secreted-protein preparations from serum-starved culture.	Cells were serum starved (DMEM + 0.1% FBS) for 18 h and then media was changed and secretome was collected after 24 h.
PXD011778	minor	characteristics[cell type]	not available	Every row is derived from immunomagnetically isolated left-ventricular cardiac fibroblasts, so cell type is knowable and uniform.	Isolation of LV infarct fibroblasts LV fibroblasts were isolated from the infarct by immunomagnetic separation as described previously [ 10 , 21 , 36 ].
PXD011780	important	characteristics[individual]	PXD011780-Individual-1 ... -8 (one distinct individual per row)	each of the 8 samples is a pool of several mice, not one animal, so the per-row 'individual' identifiers assert a one-animal-per-sample design the paper contradicts	Macrophages from no MI D0 were used as the negative control, and sample sizes were n = 4 pooled sets per group.
PXD011780	minor	characteristics[material type]	cell	the analyte is the secretome (2 h conditioned medium cleared of cells and debris), not the cells themselves	Cells were isolated in RPMI media with 0.1% fetal bovine serum and incubated for 2 hours and then spun at 800g for 5 min to separate cell debris.
PXD011780	minor	characteristics[sex]	not available	sex is recoverable: the secretome mapping used male mice (the colony sentence 'of both sexes' refers to the whole colony, the neutrophil experiments used both sexes)	Bone marrow derived neutrophil isolation and stimulation Bone marrow derived neutrophils were isolated from male and female mice using the autoMACS Pro Separator (Miltenyi Biotec) with anti-Ly6G microbeads (Miltenyi Biotech;
PXD011791	minor	characteristics[biological replicate]	1 (all 18 rows)	the 18 runs are 3 conditions x 2 biological samples x 3 technical replicates, and each biological sample is a pool of 8 hearts; collapsing everything to biological replicate 1 loses the design and the pooling	2787 proteins were identified and quantified across 2 biological samples per condition (each biological sample was a pool of 8 hearts), and 3 technical replicates per each biological sample.
PXD011998	important	characteristics[organism part]	heart	every run is a pellet of cultured human cardiac stem/progenitor cells grown in conditioned medium, not a heart tissue biopsy; annotating 31 cell-culture runs as organism part 'heart' with no cell type or material type reads as tissue	hCSCs were plated at 1,5x104 cell/cm2 in complete CM001-R medium.
PXD012467	minor	characteristics[organism part]	heart	all patient material is interventricular septum from myectomy and the controls are IVS / LV free wall; 'heart' is correct but discards region information stated in the protocol	Tissue of the interventricular septum (IVS) of HCM patients was obtained during myectomy surgery to relieve LVOTO or after heart transplantation (1 sample).
PXD012467	minor	characteristics[disease]	not available (all 325 rows)	the case/control split is documented in the paper (39 HCM SMP, 11 HCM SMN, 8 non-failing) but is not represented at all; nothing is falsely asserted, the field is simply empty	Methods: A proteomics screen was performed in cardiac tissue from 39 HCM SMP patients, 11HCM SMN patients, and 8 nonfailing controls.
PXD012593	important	characteristics[disease]	normal (all 24 rat rows)	16 of the 24 rat rows carry strain/breed values _WT/TtntvA-band and _WT/TtntvZ-disk, i.e. animals bearing the disease-causing titin truncating variants the study was designed to test; calling them 'normal' asserts they are healthy	In addition, the impact of disease-causing protein-truncating variants on translation was studied in rat heart tissue by performing shot-gun proteomics.
PXD012593	important	characteristics[disease]	normal (50 human rows in PXD012593-srm.sdrf.tsv)	nothing in the deposit states the human hearts were non-failing/healthy donors; the linked publication is not open access, so 'normal' is an unsupported claim about 50 human donors	Here, we analyze the expression of predicted microproteins in human heart tissue and iPSC cardiomyocytes, using shot-gun proteomics and SRM.
PXD012593	minor	characteristics[developmental stage]	8W (all 24 rat rows)	'8W' is an age value, not a developmental-stage label, and no statement in the deposit or in any accessible text gives the age of the rats	In addition, the impact of disease-causing protein-truncating variants on translation was studied in rat heart tissue by performing shot-gun proteomics.
PXD012593	minor	characteristics[cell type]	cardiac (rat file 24 rows, human SRM file 50 rows)	'cardiac' is not a cell type; the material is heart tissue homogenate, for which cell type should be left unset	Protein extracts (from tissue and cells) and enriched protein fractions from affinity purification experiments were digested using in solution digest protocol and LysC and trypsin as proteases.
PXD012593	minor	characteristics[organism part]	Heart (human SRM rows)	the deposit also contains iPSC-derived cardiomyocyte runs; if any of the 50 human rows are iPSC-CM they are annotated as heart tissue. This cannot be resolved from the bundle and needs a check of the raw-file names	For iPSC cardiomyocytes peptides were SCX fractionated before measurement.
PXD012636	minor	characteristics[developmental stage]	juvenile (120 rows) / adult (512 rows), with age 9W and 11W	the ages and the 'juvenile' assignment could not be confirmed from the project description or the open-access publication (they are presumably from a supplementary table); worth re-checking that the 9-11 week rodent cohorts are not the ones labelled juvenile, since mice/rats of that age are normally annotated adult	The horse samples display greater dispersion in the PCA than observed in the other species tested, which is likely explained by age and strain differences between the 3 horses included in the study.
PXD013375	minor	characteristics[biological replicate]	1 (all 130 rows)	correct as far as it goes - all 130 sections come from one single heart - but nothing in the file records that these are 130 anatomical regions of one animal rather than 130 samples	only one heart plane has been practicably possible to dissect and analyse, and single shotgun UDMS e runs were performed per biopsy, thus limiting detection of lower abundant proteins.
PXD013543	blocker	characteristics[cell type]	cardiac muscle myoblast	every sample is a whole left-ventricular myocardium homogenate from an adult rat; 'cardiac muscle myoblast' (a proliferating precursor cell) is a false biological claim, imported from the submitter's PRIDE dropdown	A label-free shotgun proteomic analysis was performed with left ventricle samples from eight individuals in each of control and Western diet groups.
PXD013543	minor	characteristics[organism part]	heart	the protocol states left ventricle specifically for every sample; 'heart left ventricle' is available and uniform	Thus, we performed two different proteomic approaches to screen for protein expression changes in the left ventricle from control and obese rats.
PXD014061	minor	characteristics[disease]	not available (all 40 rows)	nothing false is asserted, but be careful with any future fill-in: roughly half the deposit is SHAM-operated controls, so a blanket 'myocardial ischemia' or 'myocardial infarction' value would be a false claim	Consequences of 45 min of cardiac ischemia were studied 3 and 9 weeks after reperfusion in both wild-type and AOX litter mates.
PXD014826	minor	characteristics[organism part]	heart	Every deposited sample is left ventricular myocardium (both donors and heart-failure patients); 'heart' is imprecise but not wrong.	LV samples from both donors and heart failure patients were collected and and snap frozen (-196 °C) within 10 minutes of harvest.
PXD017294	minor	characteristics[biological replicate]	1	all 66 rows carry biological replicate '1', but the deposit is four independent pooled biological samples per treatment, each injected twice as technical replicates; the replicate structure is therefore erased	The hearts of the larvae from two (14 days exposure) or three (7 days exposure) different tanks per treatment were pooled together, thus each treatment consisted of four samples containing 30 or 45 hearts each.
PXD018545	minor	characteristics[organism part]	heart	rows are isolated subsarcolemmal and interfibrillar cardiac mitochondrial fractions, not whole heart tissue; 'heart' is the source organ but the material type/enrichment is not recorded anywhere in the file	Subsarcolemmal mitochondria (SSM) and IFM were isolated from 3, 18, and 24 mo. C57Bl/6 mouse hearts.
PXD018678	blocker	characteristics[disease]	heart failure	'heart failure' is asserted on all 58 rows (12 DDA + 46 DIA) although roughly a third of the cohort is histopathologically normal donor hearts with demonstrated normal cardiac function; these control rows are given a false diagnosis	We perform unbiased, deep proteomic and metabolomic analyses of 51 left ventricular (LV) samples from 44 cryopreserved human ICM and DCM hearts, compared to age-, gender-, and BMI-matched, histopathologically normal, donor controls.
PXD018678	important	characteristics[disease]	heart failure	even for the diseased rows the deposit contains two distinct aetiologies (ICM and DCM) that the single value 'heart failure' collapses; the whole point of the study is the ICM/DCM distinction	Here, we utilise a carefully procured large human heart biobank of cryopreserved left ventricular myocardium to obtain direct molecular insights into ischaemic cardiomyopathy (ICM) and dilated cardiomyopathy (DCM), the most common causes of HF worldwide.
PXD018678	minor	characteristics[organism part]	left ventricular	'left ventricular' is an adjective, not an anatomical entity label; should be 'heart left ventricle'	Poor access to human left ventricular myocardium is a significant limitation in the study of heart failure (HF).
PXD018678	minor	characteristics[individual]	not applicable	51 samples come from 44 distinct human hearts, so 'individual' is applicable and is in fact the key grouping variable (some hearts contributed more than one sample)	We perform unbiased, deep proteomic and metabolomic analyses of 51 left ventricular (LV) samples from 44 cryopreserved human ICM and DCM hearts, compared to age-, gender-, and BMI-matched, histopathologically normal, donor controls.
PXD019394	minor	characteristics[developmental stage]	adult	'adult' is asserted on all 347 rows but no accessible evidence (title, description, sample protocol, PRIDE fields) states the animals' age or life stage; it rests on inference from the atlas design alone	Protein extracts from nine tissues were separated via SDS-PAGE (65 μg per tissue) and digested in-gel with trypsin.
PXD019594	important	characteristics[cell type]	cardiac muscle cell	all 84 rows claim isolated cardiac muscle cells, but the material is 4-7 mg bulk left-ventricular biopsy tissue lysed whole (it contains fibroblasts, endothelium and ECM); the cardiomyocyte term comes only from the submitter's PRIDE dropdown	Human LV biopsies (4-7 mg) were lysed in a Barocycler 2320 EXT model (Pressure Biosciences) using an 8M urea buffer supplemented with enzyme and phosphatase inhibitors and 60 pressure cycles (45 kpsi, 50 s pressure + 10 s release, 33°C).
PXD019594	minor	characteristics[biological replicate]	1	the 84 runs mix per-patient SWATH runs with 14 high-pH fractions of a pooled peptide library analysed in four technical replicates; the pooled library runs are not per-individual samples at all and cannot carry any patient-level characteristic	For generation of a peptide library, equal amount aliquots from each sample were pooled to a total amount of 150 µg, dried in a vacuum concentrator and resuspended in 0.1% TFA .
PXD019643	important	characteristics[sex]	not applicable	sex is marked 'not applicable' on all 1468 rows of human autopsy tissue; sex is fully applicable here and was in fact recorded per subject by the authors - the correct placeholder would be 'not available'	The subject characteristics are summarized in online supplemental table S1 encompassing information on sex, age, the number of collected tissues and HLA-I and HLA-II alleles.
PXD019643	minor	characteristics[disease]	not available	defensible as-is, but flagged so a later curator does not upgrade it to 'normal': the paper's 'benign' only means non-malignant, and the donors were autopsy subjects who died of other causes	None of the subjects included in this study was diagnosed with any malignant disease.
PXD019808	minor	characteristics[cell type]	regular ventricular cardiac myocyte	the ventricular (and 'regular') specificity comes only from the submitter's PRIDE organism-part dropdown; the title, description and sample protocol say nothing more specific than 'cardiac myocytes'	Nitroxyl donors exert positive inotropic and lusitropic effects in cardiac myocytes.
PXD019808	minor	characteristics[organism part]	heart	material is isolated cultured cardiac myocytes rather than heart tissue; 'heart' is acceptable as source organ but no material type column records that these are primary cells	Nitroxyl donors exert positive inotropic and lusitropic effects in cardiac myocytes.
PXD019811	important	characteristics[disease]	not available	correct as-is, but flagged as a trap: the PRIDE disease dropdown for this deposit is 'cardiovascular system disease', a registry bucket with no diagnostic content, and it must not be promoted into the SDRF - half the material is explicitly healthy	Here we defined RBPs in healthy and diseased primary cardiomyocytes at a system-wide level by RNA Interactome Capture.
PXD019811	minor	characteristics[organism part]	Heart	material is cultured primary neonatal cardiomyocytes, not heart tissue, and the value is also capitalised inconsistently with the rest of the repository ('Heart' vs 'heart')	Here we defined RBPs in healthy and diseased primary cardiomyocytes at a system-wide level by RNA Interactome Capture.
PXD019811	minor	characteristics[biological replicate]	1	the 17 runs are TMT10plex fractions of two different sample types (full proteome 'TP' and RNA-interactome capture), all flattened to biological replicate 1	Offline high pH reverse phase fractionation was carried out on an Agilent 1200 Infinity high-performance liquid chromatography system
PXD019852	important	factor value[disease]	laron syndrome	'laron syndrome' is asserted identically on all 16 rows AND declared as the factor value; a factor with a single level across every run is self-contradictory, and a GHR-KO proteomics comparison must include non-KO control hearts that are here given a disease they do not have	A proteomics analysis of heart samples from GH receptor deficient (GHR-KO) pigs has been performed.
PXD019852	important	characteristics[disease]	laron syndrome	Laron syndrome is a human clinical diagnosis (growth hormone insensitivity); these are genetically engineered pigs used as a model of it, so the diagnosis is being applied to the wrong species - the sources describe an animal model, never diseased pigs	This animal model is unique to study consequences of lacking GH actions.
PXD020192	minor	characteristics[developmental stage]	adult	'adult' asserted on all 92 rows but no accessible source states donor age or life stage; the publication is not open access and the description only says the tissues came from autopsy	Fresh frozen human tissue sections collected at autopsy were cut and weighed (~150 mg wet weight).
PXD020192	minor	characteristics[disease]	none	non-standard value 'none'; the evidence supports the ontology term 'normal' for every row	In total, we analyzed 117 samples from 46 histologically normal tissues and organs at autopsy.
PXD020994	important	characteristics[organism part]	Heart	material is hPSC-derived human cardiac organoids grown in culture, not heart tissue; annotating all 6 rows as organism part 'Heart' (and factor value[organism part] 'Heart') presents an in vitro organoid as a dissected organ and makes the factor value meaningless, since the real factor is cytokine-storm treatment vs control	Here we use human cardiac organoid technology combined with high sensitivity phosphoproteomics and single nuclei RNA sequencing to identify inflammatory targets inducing cardiac dysfunction.
PXD020994	minor	characteristics[disease]	not available	PRIDE_DISEASES declares COVID-19, but these phosphoproteomics runs are cytokine-treated organoids, never SARS-CoV-2-infected material; COVID-19 must not be propagated into the SDRF	Samples were processed using the high sensitivity EasyPhos workflow as described in detail in DOI: 10.1038/s41596-018-0014-9, and measured on a benchtop Orbitrap (Q Exactive HF-X) mass spectrometer in single-run format without fractionation.
PXD021165	blocker	characteristics[disease]	restrictive cardiomyopathy	'restrictive cardiomyopathy' is asserted on all 48 rows although the deposit explicitly contains control mice as well as hBAG3P209L-eGFP transgenics; this states a false diagnosis for the control animals	Here we present the shotgun proteome data of mice expressing hBAG3P209L-eGFP compared to control.
PXD021165	blocker	factor value[disease]	restrictive cardiomyopathy	a factor value that is constant across all 48 rows encodes no contrast; the actual experimental factor is transgenic vs control, so the factor column is both wrong and useless as written	Here we present the shotgun proteome data of mice expressing hBAG3P209L-eGFP compared to control.
