accession	field	why_no_value_can_be_written
PXD004465	disease	a glycoproteomics comparison built around atrial fibrillation; the Circulation study contrasts AF with non-AF cardiac-surgery controls and the 168 rows carry only generic source names (PXD004465-Sample-N), so atrial fibrillation cannot be asserted on every row
PXD004465	sex	no donor demographics available; publication is not open access
PXD004465	age	no donor ages available; publication is not open access
PXD004631	sex	the study explicitly used a mixture of male and female animals with no run-to-animal key
PXD004631	age	stated only as a 7-20 week range 'unless otherwise noted', too loose and not tied to these two runs
PXD004701	disease	76 different breast cancer cell lines with different histological diagnoses (plus non-tumorigenic lines such as 184A1/184B5); already annotated per cell line
PXD004701	sex	donor sex differs between lines (292 female, 8 male rows)
PXD004701	organism part	each line has its own derivation site (breast, pleural effusion, ascites, skin, brain, blood, pericardial effusion)
PXD004916	age	three arms - young, old, and old + spermidine-treated mice - with no numeric ages and no run-to-group key (source names are PXD004916-Sample-N)
PXD004916	developmental stage	young vs old animals are deliberately contrasted; a single stage value would erase the study design
PXD004916	disease	cardiac aging / spermidine treatment arms; no diagnosis stated and the arms cannot be mapped to rows
PXD004916	sex	not stated; publication is not open access
PXD004916	strain or breed	not stated in title, description or protocol
PXD005300	age	lifespan study; SDRF already carries 3M/5M/10M/18M/24M per row, no single value holds
PXD005300	organism part	brain, heart, kidney and liver in one deposit; already resolved per row
PXD005300	sex	no statement of sex anywhere in title, description or protocol
PXD006120	genotype/disease	cardiac-restricted RNAi knockdown of Pericardin, Laminin A and Viking plus control genotypes; no run-to-genotype key in the bundle
PXD006120	sex	no statement of fly sex in title, description or protocol
PXD006646	treatment/exercise group	three arms (killed 0 h after exercise, 3 h after exercise, and unexercised controls); no run-to-group key in the bundle
PXD006675	disease	healthy post-mortem donors, three AFib patients, and cultured cells from cardiovascular-surgery patients in one deposit
PXD006675	sex	the three autopsy donors are male but the AFib/cell-donor patients are not all male (6 rows already annotated female)
PXD006675	age	21-47 y autopsy donors vs 74-78 y AFib patients
PXD006675	organism part	16 anatomical regions plus vessels plus isolated cell types; already resolved per row
PXD006816	treatment	native-state vs high-salt-treated mitochondria are the study factor; not a characteristic of the animal
PXD006888	strain or breed	both nude (nu/nu) and C57BL/6 mice were used; no run-to-strain key
PXD006888	disease	vehicle, sunitinib, and sunitinib+macitentan arms, plus tumour-bearing nude mice vs non-tumorized C57BL/6
PXD006911	disease (atrial fibrillation)	AF arm vs sinus-rhythm arm; both are rheumatic valve disease patients, but AF status varies and there is no run-to-patient key
PXD006911	organism part (left vs right atrium)	RA and LA sampled in AF patients, RA only in SR patients
PXD006911	sex	demographics are only in Supplementary Table 1, not in the retrievable text
PXD006911	age	patient ages are only in Supplementary Table 1
PXD007171	disease	TAC (pressure overload / heart failure), sham and unoperated baseline animals are all in the deposit
PXD007171	organism part	left and right ventricle pools measured separately
PXD007171	age	8 weeks at surgery but tissue taken 4-56 days later, so age at collection differs by time point
PXD007839	cell type	the deposit contains both human cardiac fibroblast and human cardiac stem cell membrane proteome runs; no run-to-cell-type key in the bundle
PXD007839	sex	no donor information available (publication not open access)
PXD007839	disease	no donor health information available
PXD008385	disease	Diet-induced-obese (HFD) and lean control-diet (CD) arms are both present, and the 12 raw files are basic-pH reversed-phase fractions of a single pooled TMT 10-plex, so every file contains both arms; no per-row disease value exists.
PXD008385	age	HFD started at 16 weeks of age and ran 16 weeks; no single exact age is stated for the animals at sacrifice.
PXD008736	organism part	Two distinct tissues (sinus node and adjacent right atrial muscle) were dissected, and the bundle gives no run-to-tissue key for the 144 rows; a fibroblast preparation from ventricle is also described in the paper and may or may not be in this deposit.
PXD008934	disease	Six etiology groups (7 normal, 6 compensated hypertrophy, 4 HCMpEF, 5 HCMrEF, 6 DCM, 6 ICM) across the 34 hearts; already annotated per row from the deposit's sample details file.
PXD008934	sex	23 male and 11 female donors.
PXD008934	age	Per-donor ages spanning at least 40Y-65Y.
PXD008998	disease	The deposit contains both heart-specific Sod2 knockout mice, which develop dilated cardiomyopathy, and their littermate controls; the bundle gives no run-to-genotype key for the 10 rows.
PXD008998	sex	Both sexes were used in the Sod2 cohorts and the sex of the ten proteomics samples is not stated.
PXD010154	organism part	29 different tissues in one deposit; heart is only one of them and per-row organism part is already annotated.
PXD010154	sex	Male and female donors, and 468 rows have no donor sex recorded.
PXD010154	age	Donor ages range from 20Y to 65Y, with 468 rows unknown.
PXD010154	developmental stage	No cohort-level statement of donor age band appears in the open-access text; 468 rows have no age at all, so 'adult' cannot be evidenced for every row.
PXD010876	organism part	Nine tissues (brain, eye, heart, intestine, liver, muscle, ovary, spleen, testis) in one spectral-library deposit; already annotated per row.
PXD010876	sex	Tissues were taken from both male and female fish and the paper assigns sex only for the sex-specific organs and muscle; the 68 rows left as 'not available' are correctly left unset.
PXD011349	sex	No sex information anywhere in the bundle; no publication text available.
PXD011349	age	No age information anywhere in the bundle.
PXD011627	disease	The deposit's own protocol describes exactly nine samples (three pools of whole hearts, three semi-decellularized, three fully decellularized) with no injury timepoint, but the paper also reports a second experiment comparing 7, 14 and 30 days post-amputation ventricles against sham; without a run key it cannot be established that all nine rows are uninjured, so 'normal' is not proposed.
PXD011627	sex	Sex of the pooled fish is never stated.
PXD011778	disease	Day 0 no-MI controls and days 1/3/7 post-MI fibroblasts, plus one pooled reference run; already annotated per row and the per-row assignment matches the paper's design.
PXD011780	disease	D0 no-MI controls vs MI day-1 infarct macrophages; the deposit already splits these 4/4 via factor value[phenotype], so no single disease value holds for all rows
PXD011791	sex	zebrafish of both sexes were used (3 males and 3 females per group in the single-cell arm); no sex is given for the proteomics pools
PXD011791	strain or breed	uninjured wild-type AB fish and transgenic vmhc:mCherry-NTR ablation fish are both used and no run-to-line key is given
PXD011791	disease	uninjured, 3 dpi and 7 dpi cardiomyocyte-ablation arms; injury state is not a disease and varies across the 18 runs
PXD011791	age	adult regeneration studies used fish from 3 months to 2 years of age
PXD011998	disease	hCSCs exposed to I/R-injured hiPSC-CM conditioned media vs hCSCs exposed to control conditioned media vs non-conditioned basal medium; the cells themselves are not diseased and the treatment arm varies per run
PXD012467	disease	50 hypertrophic cardiomyopathy myectomy samples plus 8 non-failing donor controls; the bundle gives no run-to-sample key
PXD012467	sex	mixed cohort (the 8 non-failing donors alone are 5 males and 3 females)
PXD012467	age	donor mean age 45.9 years, HCM patients span a wide range including one 2-month-old transplant sample
PXD012467	developmental stage	predominantly adult but at least one sample (HCM 83) is from a 2-month-old infant, so 'adult' does not hold for every row
PXD012593	disease	rat file mixes wild-type animals with Ttn truncating-variant (A-band and Z-disk) animals; the human material and iPSC-cardiomyocytes are separate arms again
PXD012593	developmental stage	human heart tissue, rat heart tissue and iPSC-derived cardiomyocytes are all in this deposit
PXD012636	organism	six species (human, pig, horse, rat, mouse, zebrafish) in one deposit; already correctly split in the file
PXD012636	disease	human biopsies come from mitral-valve-replacement patients, the animal hearts are normal
PXD012636	sex	the 3 human donors are male, the animal cohorts differ; already split in the file
PXD013375	organism part	the 130 sections span both ventricular free walls, septum, papillary muscles, atrial appendages, AV-valve vestibules, moderator band and pulmonary infundibulum; only the generic 'heart' holds for every row, the per-row region is not recoverable from the bundle
PXD013375	sex	not stated anywhere; the paper explicitly says age, sex and breed of the single animal are unaccounted for
PXD013543	disease	8 control-diet rats vs 8 Western-diet obese rats; the bundle gives no run-to-group key, so neither 'normal' nor 'obesity' holds for all 16 rows
PXD013543	age	60 days old at the start plus 41 weeks of feeding, i.e. about 47 weeks at sacrifice, but no exact age at collection is stated
PXD014016	sex	not stated anywhere in the deposit; the publication is not open access
PXD014016	age	not stated anywhere in the deposit
PXD014016	strain or breed	not stated in this deposit; the AOX line is on a C57BL/6J background in the companion study PXD014061 but that cannot be transferred here on the available evidence
PXD014061	disease	the deposit contains SHAM-operated and ischaemia/reperfusion hearts, in both wild-type and AOX-transgenic littermates, at 3 and 9 weeks after reperfusion; no run-to-group key is given, so neither 'normal' nor a myocardial-ischaemia term holds for all 40 rows
PXD014061	sex	never stated in the description or in the open-access publication
PXD014061	age	never stated; only the 3- and 9-week post-reperfusion time points are given
PXD014826	disease	Three arms in one deposit: ischemic cardiomyopathy (ICM), dilated cardiomyopathy (DCM) and histopathologically-normal donor controls; 89 SDRF rows, 51 LV samples from 44 hearts, and no published run-to-sample key.
PXD014826	sex	Study explicitly analysed both sexes ('donor controls of both genders', 'sex-specific differences within each disease'); no per-file key.
PXD014826	age	Only stated as 'age-matched'; no numeric ages given.
PXD015497	sex	Mixed cohort; publication states iRR patients were 'mostly females', so both sexes are present and no run-to-sample key is given.
PXD015497	age	No numeric ages in the bundle; age is only discussed as a correlate.
PXD015498	sex	Mixed cohort; publication states iRR patients were 'mostly females', so both sexes are present and no run-to-sample key is given.
PXD015498	age	No numeric ages in the bundle; age is only discussed as a correlate.
PXD016761	disease	78 rows from a study that contrasts heart-failure patients who do and do not recover on LVAD support; the Circulation companion study also uses non-failing control hearts, the publication is not open access, and no run-to-sample key exists, so no single disease value can be asserted across all rows.
PXD016761	sex	No sex information anywhere in the bundle; LVAD cohorts are mixed.
PXD016761	age	No age information in the bundle.
PXD017139	age	Two age groups compared in the same deposit, P1 and P7; the source names encode the group (JL_mouse_heart_P1_* vs JL_mouse_heart_P7B_*) but no single age holds for every row.
PXD017294	disease	four exposure arms (DMSO vehicle, retene, pyrene, phenanthrene) at 7 or 14 days; no run-to-sample key in the bundle, and none of these is a disease anyway
PXD017294	age	hearts harvested after 7 or 14 days of exposure, so post-hatch age differs between halves of the deposit
PXD017294	sex	never stated; newly hatched trout larvae are not sexed
PXD018545	age	three age groups (3, 18 and 24 months) plus a 4-PBA-fed subgroup; no run-to-sample key, so an exact age cannot be assigned per row
PXD018545	sex	never stated
PXD018678	disease	three arms - ischaemic cardiomyopathy (n=15), dilated cardiomyopathy (n=14) and histopathologically normal donor controls (n=15); no run-to-sample key in the deposit
PXD018678	sex	both sexes deliberately included and the paper's central result is a male/female contrast
PXD018678	age	group mean ages 53.2/54.2/55.3 years, individual ages not recoverable per raw file
PXD019296	disease	three arms - MI rats (n=3), MI rats treated with Shexiang Baoxin Pill (n=3) and sham-operated rats (n=3), sampled at two timepoints; no run-to-sample key
PXD019296	sex	never stated
PXD019296	age	never stated; only days post-operation (Day 0 / Day 15) are given
PXD019296	strain or breed	rat strain is never named in the bundle or the PRIDE record
PXD019394	sex	never stated; the deposit includes testis rows, so the cohort cannot be all-female and no per-row sex is recoverable
PXD019394	age	never stated
PXD019394	strain or breed	never stated in the bundle or PRIDE record
PXD019594	disease	aortic-stenosis biopsies are compared against non-failing samples, and the AS arm itself splits into four hemodynamic subtypes; no run-to-sample key
PXD019594	sex	never stated
PXD019594	age	only 'elderly patients' as a general epidemiological statement, no cohort ages
PXD019643	disease	subjects are certified only as free of malignancy, not as healthy; tissue came from autopsies of people who died of other (undisclosed) causes, so 'normal' cannot be asserted for every heart sample
PXD019643	sex	cohort of 21 subjects of mixed sex; per-subject sex exists only in supplemental table S1, which is not in the bundle
PXD019643	age	per-subject ages exist only in supplemental table S1
PXD019643	developmental stage	no ages given in the accessible text; the cohort also includes surgical thymus donors whose life stage is unstated
PXD019808	disease	only four gel-derived runs and no description of the arms; the study compares oxidant/nitroxyl-donor-treated with untreated myocytes, and no run-to-sample key is given
PXD019808	sex	never stated
PXD019808	developmental stage	never stated; the text says only 'cardiac myocytes' without specifying adult or neonatal isolation
PXD019811	disease	healthy and hypertrophic (phenylephrine-stimulated) cardiomyocytes are both present, plus non-crosslinked negative-control captures; no run-to-sample key
PXD019811	sex	never stated; neonatal cardiomyocyte preparations pool litters of both sexes
PXD019852	disease	a GHR-knockout study necessarily contrasts KO with wild-type littermate/control pigs; nothing in the bundle maps genotype to raw file, so no genotype-derived disease value can be placed on any row
PXD019852	sex	never stated
PXD019852	age	never stated
PXD020192	organism part	46 different tissues/organs; heart is only one of many, per-row organism part is already tissue-specific in the SDRF
PXD020192	sex	each analysed sample is a pool of several autopsy donors of unstated sex; no donor-to-run key
PXD020192	age	pooled autopsy donors, no ages reported in any accessible file
PXD020994	disease	run names split into CTRL and CytStormCombo1 arms (cytokine-storm treated vs untreated organoids); a treatment contrast, not a uniform diagnosis
PXD020994	sex	hCOs were made from several hPSC lines of both sexes (female HES3, male RM3.5 iPSC, CW30382A male, CW30318C female) with no line-to-run key
PXD021165	disease	hBAG3P209L-eGFP transgenic vs control mice in the same deposit; 48 rows with uninformative source names and no run-to-genotype key
PXD021261	disease	three arms (non-failing control, dilated cardiomyopathy, ischemic cardiomyopathy); 150 rows with generic source names and no run-to-patient key
PXD021261	age	only group means (63 +/- 4 and 63 +/- 3 years) are reported, no exact per-donor ages
PXD021640	disease	four surgical groups (Sham, ischemia, I/R 1 h, I/R 24 h) plus SUMO1/SUMO2 and IgG-control IPs across 378 rows with generic source names; no run-to-group key
PXD021990	sex	mixed cohort, 15/26 male (57.7%); no run-to-sample sex key in the bundle
PXD021990	disease	three patient categories (normal, pediatric CAVS, aortic valve insufficiency); already split per row in the SDRF
PXD021990	developmental stage	cohort spans neonate (2 weeks) to adolescent (18 years); per-row age is already in the SDRF but a single stage does not hold
PXD022091	organism part	deposit mixes hiPSC-derived cardiac progenitors with transfected HEK293 cells; neither is heart tissue and there is no run-to-material key in the SDRF
PXD022091	cell type	cardiac progenitors (WT, GATA4-KO, TBX5-KO) and HEK293 in the same 22 rows
PXD022091	disease	WT vs GATA4-KO vs TBX5-KO genotypes; no run-to-genotype key
PXD022557	sex	explicitly a sex-comparison study: male and female mice in every treatment group, 67 rows with generic source names and no run-to-animal key
PXD022557	disease	euthyroid, hypothyroid and hyperthyroid arms (six groups = 2 sexes x 3 thyroid states) with no run-to-group key
PXD022689	sex	no sex stated anywhere in the bundle; no publication text available
PXD022689	age	no age stated anywhere in the bundle
PXD022689	strain or breed	background strain of the cardiomyocyte-specific CPNS1 knockout and its wild-type comparator is not stated
PXD022719	disease	The MS cohort is 3 control (CTL) and 3 tachycardia-induced-cardiomyopathy (TIC) sheep; the 18 SDRF rows carry no run-to-sample key, so neither 'tricuspid valve disease' nor 'normal' holds for every row.
PXD022855	disease	Complexome profiling compares UQCRH-deficient mice against controls; the 120 rows are BNE gel fractions from more than one lane and the bundle gives no lane-to-genotype key, so neither a mitochondrial complex III deficiency nor 'normal' holds for every row.
PXD023740	age	Two age groups, 3 months and 2 years, with no run-to-sample key in the bundle; the 24 rows cannot be assigned an age individually.
PXD024500	disease	Two arms, control rats and high-fat-diet/streptozotocin type 2 diabetic rats. The source names do appear to encode the arm (leading C = control, D = diabetic, e.g. Ci1/Cs4 vs Di4/Di6), but that key is inferred from file naming rather than published, so I do not propose a per-row disease value.
PXD024525	disease	Four arms: SHAM vehicle, SHAM treated, TAC vehicle, TAC treated. TAC animals have HFrEF, SHAM animals do not, and the 242 rows carry no run-to-sample key.
PXD024633	disease	Three genotypes, wild-type Mrps12+/+, error-prone Mrps12ep/ep and hyper-accurate Mrps12ha/ha, crossed with normal-chow and high-fat diets. Only Mrps12ha/ha mice develop hypertrophic cardiomyopathy; the 10 rows carry no run-to-sample key, so neither a cardiomyopathy diagnosis nor 'normal' holds for every row.
PXD024633	age	Feeding ran from 6 to 20 weeks of age; the bundle never states the age at tissue collection, so an exact uniform age cannot be asserted.
PXD025002	sex	no sex information anywhere in the bundle
PXD025002	age	no age information anywhere in the bundle
PXD025096	disease	the SDRF splits 20 IMR vs 7 control rows, but the bundle describes only one arm (17 IMR patients); no evidence lets a control be assigned to specific raw files
PXD026582	age	Mice entered the protocol at 5 weeks (main HFpEF cohort) or 6-7 weeks (a separate diet cohort) and were followed for 12 weeks; the age at tissue collection is not stated, so no exact uniform age can be given.
PXD026608	disease	Design crosses healthy vs spontaneously hypertensive (SHR) rats; the 12 rows mix normotensive controls and hypertensive animals with no run-to-sample key.
PXD026608	age	Young and aged animals in the same deposit; no ages given and no way to map a group to a raw file.
PXD026608	developmental stage	Young vs aged rats are separate arms and no explicit stage/age is stated.
PXD026608	strain or breed	SHR rats versus (unnamed) healthy control strain; strain differs between arms.
PXD026608	sex	Sex never stated anywhere in the bundle.
PXD027622	disease	TgSLC25A46-FLAG transgenic mice and their WT littermates are both in the deposit; genotype/health status differs by row with no run-to-sample key.
PXD027622	sex	Sex of the mice is never stated.
PXD027622	age	No age given.
PXD027811	disease	Cardiac-myocyte-specific ERalpha knockout (ERHKO) mice versus control mice; the knockout arm has contractile/metabolic dysfunction, controls do not, and no run-to-sample key is given.
PXD027811	age	No age stated.
PXD027867	disease	Deposit contains naive (non-operated) hearts alongside days 1/3/7 post permanent coronary artery ligation hearts from vehicle- and DMB-treated mice; a myocardial infarction claim would be false on the naive rows.
PXD027867	age	No age stated for the mice.
PXD028516	disease	Cardiomyocyte-specific MTFP1 knockout mice develop dilated cardiomyopathy while control mice do not; both are in the deposit and rows also span pre-DCM and failing time points, with no run-to-sample key.
PXD028516	sex	Sex never stated.
PXD028516	age	Pre-symptomatic and adult-onset/failing time points are both analysed; no ages given.
PXD029031	disease	Three arms: Normal, HFpEF (high-salt diet) and canagliflozin-treated HFpEF; a heart-failure diagnosis would be false on the Normal rows and a treatment arm is present too.
PXD029031	age	Animals entered at 7-8 weeks and were sampled after weeks of diet/treatment; the exact age at sacrifice is not stated.
PXD030304	disease	Pan-cancer panel of 949 cell lines spanning dozens of tumour types; already annotated per row.
PXD030304	sex	Donor sex differs per cell line; already annotated per row.
PXD030304	organism part	Sampling sites differ per cell line; already annotated per row.
PXD030857	organism part	three different vessel segments were pooled/dissected - right carotid artery (unstable plaque), left carotid artery (healthy control) and aortic arch (stable plaque); no run-to-segment key in the bundle
PXD030857	disease	unstable plaque / stable plaque / plaque-free healthy artery arms, plus a drug-treatment arm; no run-to-sample key
PXD030938	sex	Both sexes were used in roughly equal numbers and no run-to-sample key is given.
PXD030938	disease	Homozygous desmin knock-out (cardiomyopathy) mice and their wild-type siblings are both in the 10 rows; a cardiomyopathy value would be false on the wild-type rows.
PXD030983	sex	Both sexes were used; already resolved per row in the existing SDRF (male x1280 / female x256 in the proteome file).
PXD030983	organism part	41 different tissues; already resolved per row.
PXD031223	sex	The study is explicitly a male-versus-female comparison of aging hearts; both sexes are in the 8 rows with no run-to-sample key.
PXD031223	disease	Aicar-treated and untreated baseline animals are both present; treatment arm cannot be mapped to rows.
PXD031223	age	No numeric age is given, only 'aging'.
PXD031270	age	two age arms: 3-month young (Y) and 24-month old (O, Spm, Spd); 10 rows with source names ZYJ4-ZYJ10 give no run-to-group key
PXD031270	disease	young controls vs aged rats with documented cardiac dysfunction vs spermine/spermidine-treated aged rats; no run-to-group key
PXD031324	disease	four genotype arms (control/WT, FGF21 FL, DARS2 FL, DKO FL) plus separate CLPP KO / FGF21 KO / DKO WB cohorts across 74 runs with generic source names; no run-to-genotype key
PXD031324	age	hearts harvested at 3 weeks and 6 weeks of age (plus 15-16 week metabolic cohorts); no run-to-age key
PXD031324	developmental stage	3-week-old (weanling/juvenile) and 6-week-old animals are mixed in the same deposit
PXD031324	sex	the paper only mentions male mice in one body-weight figure legend; the sex of the proteomed animals is not stated
PXD031617	sex	explicitly a mixed-sex cohort; no run-to-animal sex key
PXD031617	age	8-12 weeks is stated only for the ISO-minipump cohort; the age of the PO/SHAM animals whose raw files are deposited is not given
PXD031797	disease	three arms visible in the raw file names (Con01-05, ISO01-05, PE01-05): vehicle control vs isoproterenol- vs phenylephrine-induced hypertrophy; the control rows are not diseased
PXD032157	organism part	the 12 runs mix female reproductive atrium samples with male accessory gland (MAGs) samples; PRIDE also declares whole body
PXD032157	sex	atrium runs are female, MAGs runs are male
PXD032267	age	stated only as 'approximately 8-12 weeks' at the time of surgery, and the deposited hearts were harvested 4 weeks after TAC, so the age at harvest is neither exact nor uniform
PXD032267	disease	the deposit is a 2x2 design (WT/Isg15-/- x sham-control/TAC); half the rows are non-pressure-overloaded controls
PXD032667	disease	150 rows are 30 samples x 5 SCX fractions in two blocks (A1-A15, B1-B15), i.e. a stressed vs unstressed comparison across acute and late recovery phases; no published run-to-group key
PXD032766	disease	four genotype arms of n=5 (WT, ErbB2 KI, ERRa KO, KI:KO); only the ErbB2 KI-containing arms develop dilated cardiomyopathy and the WT arm is healthy; generic source names give no run-to-genotype key
PXD033027	sex	explicitly a mixed-sex cohort, and the paper reports sex-dependent responses, so both sexes are present in the proteomed animals
PXD033027	age	10-12 weeks at randomisation in the 5-week study, 3-month-old males and 4-month-old females in the 9-week study
PXD033027	disease	control (chow), HFpEF (HFD+L-NAME), diet-reversal, prophylactic NR and therapeutic NR arms across 103 runs; the control rows are healthy
PXD033029	disease	an 11-plex TMT experiment (3 raw files = fractions/replicates of one plex) that necessarily mixes POLG mutant and wild-type channels; no per-run genotype is derivable
PXD033194	disease	four arms (sham-irradiated 0.0 Gy plus 0.92, 6.9 and 27.6 Gy cumulative dose groups); the bundle gives no run-to-sample key for the 36 rows
PXD033194	age	animals were 12-14 weeks old at the start of a 23-day irradiation course and hearts were taken 7 months after the end of exposure, so age at sampling is only approximate
PXD033256	disease	streptozotocin-induced diabetes mellitus animals, dichloroacetate-treated animals and controls are all in the deposit; no run-to-sample key for the 94 rows
PXD033773	developmental stage	the deposit mixes the interactome runs on neonatal (2-day-old) rat ventricular myocytes with the phosphoproteome runs on adult rat ventricular myocytes; no run-to-sample key for the 17 rows
PXD033773	sex	adult myocytes came from both male and female Sprague-Dawley rats
PXD033876	disease	16 HFpEF patients vs an 11-sample mixed control group (5 explanted donor hearts + 7 aortic stenosis patients); the control arm is itself heterogeneous and there is no run-to-sample key for the 162 rows
PXD033876	sex	63% male in the HFpEF group and 27% male in the non-HFpEF group
PXD033876	age	median 70 y (HFpEF) vs 58 y (non-HFpEF), range spanning 40-74 y
PXD033908	disease	the description refers to human cardiac disease but never states whether the analysed ventricular tissue is from diseased hearts, donors, or both; no publication is linked
PXD034477	disease	cardiomyocyte-specific Mtfp1 knockout and wild-type littermate arms are both present; the genotype is already carried in characteristics[phenotype]
PXD034891	disease	no disease model is described, but the bundle never states that the donor rats were healthy/wild-type, so 'normal' cannot be asserted from the evidence
PXD035622	disease	6 transverse aortic constriction animals vs 6 sham animals; the bundle contains no run-to-sample key that would let the split be independently verified
PXD035712	disease	6 transverse aortic constriction animals vs 6 sham animals; the bundle contains no run-to-sample key that would let the split be independently verified
PXD035734	disease	material is engineered hPSC lines (empty-vector control vs FLAG-ALPK3 bait, plus ALPK3-null lines); no donor disease state applies and the arms differ
PXD035880	disease	five knockout strains (Twnk, Tfam, Polrmt, Lrpprc, Mterf4) plus age-matched control littermates across 99 runs, no run-to-genotype key
PXD035880	age	Lrpprc time course at 2, 3, 5, 7 and 10 weeks plus control series from 3 to 24 weeks; age varies per run
PXD035880	developmental stage	spans juvenile (3-week-old) to adult (24-week-old) mice
PXD035880	strain or breed	five different conditional knockout strains plus controls
PXD036011	disease	three arms (isoproterenol, phenylephrine, untreated control) at 1 h and 1 d timepoints; no single disease state holds
PXD036259	sex	cohort contains both male and oophorectomized female rats and the submitters explicitly do not report sex per sample
PXD036259	age	stated only approximately (about 20 weeks), so no exact value
PXD036364	disease	three arms of 3 mice each (non-diabetic control, db/db type 2 diabetic, db/db plus spermine treatment)
PXD036364	strain or breed	db/db background applies only to the T2D and T2D+SP arms, not to the control arm
PXD036399	disease	wild-type and NDUFS4 heart-specific conditional knockout arms, n = 5 per group, with no run-to-genotype key in the raw file names
PXD037524	disease	2x2 design of MPO-deficient vs wild-type littermates and doxorubicin vs saline injection; only part of the cohort develops anthracycline-induced cardiomyopathy and no run-to-arm key exists
PXD038450	sex	no sex statement anywhere in the bundle
PXD038450	age	only relative timepoints (Dediff, Intermediate at 2 weeks, Rediff at 4 weeks after ERBB2 shut-off) are given, not animal ages
PXD038450	developmental stage	no age or stage statement; adult cannot be inferred safely
PXD038450	strain or breed	wild-type and caERBB2-transgenic animals, background strain never named
PXD038911	disease	source names show three genotype arms (WT_*, HET_*, HET_HIF_*); 5 of 14 rows are wild-type controls, so the PRIDE_DISEASES value hypertrophic cardiomyopathy must not be broadcast to all rows
PXD038911	developmental stage	no age or stage statement in title, description or protocol
PXD038911	sex	no sex statement in the bundle
PXD038922	disease	three study groups of 5 (complicated lesions, atheromatous plaques, healthy vasculature); the healthy group is not atherosclerotic
PXD038922	sex	no sex statement for the endarterectomy donors
PXD038922	age	no donor age statement
PXD039144	disease	Deposit contains a WT arm and a db/db arm; the split is encoded only in the raw file names ('WT-heart' vs 'dbdb-heart'), never in the PRIDE metadata or an accessible publication.
PXD039174	sex	Sex of the 3 mice is not stated anywhere in the bundle or the publication.
PXD039587	sex	NRCM isolations pool pups of both sexes; no sex is stated.
PXD039613	disease	The 14-plex TMT pool mixes 7 WT and 7 MYH7 R403Q+/- cultures, so every raw file contains both arms and no per-row disease value exists.
PXD039662	sex	Mixed cohort: the AR arm was 25/25 male while the AS arm had fewer males, and there is no run-to-patient key.
PXD039662	disease	A more specific diagnosis is not uniform: 25 aortic regurgitation vs 13 aortic stenosis patients, with no run-to-patient key. The umbrella 'aortic valve disorder' currently used does hold for all 38 rows.
PXD039662	age	Patient ages are reported as group medians (IQR) only, and vary.
