source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[genotype]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]
BAT_SOD1-G93A_19	Mus musculus	brown adipose tissue	not applicable	tissue	study sample	amyotrophic lateral sclerosis	adult	120D	male	C57BL/6	SOD1-G93A	1	2022-07-11_MS_MR_SerieE_G93A_19	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	20 ppm	1	1	2022-07-11_MS_MR_SerieE_G93A_19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	SOD1-G93A
BAT_wildtype_18	Mus musculus	brown adipose tissue	not applicable	tissue	study sample	normal	adult	120D	male	C57BL/6	wild type	2	2022-07-11_MS_MR_SerieE_WT_18	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	20 ppm	1	1	2022-07-11_MS_MR_SerieE_WT_18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	wild type
BAT_wildtype_17	Mus musculus	brown adipose tissue	not applicable	tissue	study sample	normal	adult	120D	male	C57BL/6	wild type	1	2022-07-11_MS_MR_SerieE_WT_17	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	20 ppm	1	1	2022-07-11_MS_MR_SerieE_WT_17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	wild type
BAT_wildtype_70	Mus musculus	brown adipose tissue	not applicable	tissue	study sample	normal	adult	120D	male	C57BL/6	wild type	5	2022-07-11_MS_MR_SerieE_WT_70	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	20 ppm	1	1	2022-07-11_MS_MR_SerieE_WT_70.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	wild type
BAT_EV_SOD1-G93A_60	Mus musculus	brown adipose tissue	not applicable	tissue	study sample	amyotrophic lateral sclerosis	adult	120D	male	C57BL/6	SOD1-G93A	5	2022-07-30_PG_MR_SerieP_G39A_60	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	20 ppm	1	1	2022-07-30_PG_MR_SerieP_G39A_60.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	SOD1-G93A
BAT_SOD1-G93A_48	Mus musculus	brown adipose tissue	not applicable	tissue	study sample	amyotrophic lateral sclerosis	adult	120D	male	C57BL/6	SOD1-G93A	3	2022-07-11_MS_MR_SerieE_G93A_48	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	20 ppm	1	1	2022-07-11_MS_MR_SerieE_G93A_48.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	SOD1-G93A
BAT_SOD1-G93A_73	Mus musculus	brown adipose tissue	not applicable	tissue	study sample	amyotrophic lateral sclerosis	adult	120D	male	C57BL/6	SOD1-G93A	6	2022-07-11_MS_MR_SerieE_G93A_73	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	20 ppm	1	1	2022-07-11_MS_MR_SerieE_G93A_73.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	SOD1-G93A
BAT_SOD1-G93A_49	Mus musculus	brown adipose tissue	not applicable	tissue	study sample	amyotrophic lateral sclerosis	adult	120D	male	C57BL/6	SOD1-G93A	4	2022-07-11_MS_MR_SerieE_G93A_49	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	20 ppm	1	1	2022-07-11_MS_MR_SerieE_G93A_49.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	SOD1-G93A
BAT_wildtype_46	Mus musculus	brown adipose tissue	not applicable	tissue	study sample	normal	adult	120D	male	C57BL/6	wild type	3	2022-07-11_MS_MR_SerieE_WT_46	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	20 ppm	1	1	2022-07-11_MS_MR_SerieE_WT_46.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	wild type
BAT_EV_wildtype_5	Mus musculus	brown adipose tissue	not applicable	tissue	study sample	normal	adult	120D	male	C57BL/6	wild type	2	2022-07-30_PG_MR_SerieP_WT_5	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	20 ppm	1	1	2022-07-30_PG_MR_SerieP_WT_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	wild type
BAT_EV_wildtype_1	Mus musculus	brown adipose tissue	not applicable	tissue	study sample	normal	adult	120D	male	C57BL/6	wild type	1	2022-07-30_PG_MR_SerieP_WT_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	20 ppm	1	1	2022-07-30_PG_MR_SerieP_WT_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	wild type
BAT_SOD1-G93A_20	Mus musculus	brown adipose tissue	not applicable	tissue	study sample	amyotrophic lateral sclerosis	adult	120D	male	C57BL/6	SOD1-G93A	2	2022-07-11_MS_MR_SerieE_G93A_20	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	20 ppm	1	1	2022-07-11_MS_MR_SerieE_G93A_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	SOD1-G93A
BAT_EV_SOD1-G93A_13	Mus musculus	brown adipose tissue	not applicable	tissue	study sample	amyotrophic lateral sclerosis	adult	120D	male	C57BL/6	SOD1-G93A	2	2022-07-30_PG_MR_SerieP_G39A_13	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	20 ppm	1	1	2022-07-30_PG_MR_SerieP_G39A_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	SOD1-G93A
BAT_EV_wildtype_50	Mus musculus	brown adipose tissue	not applicable	tissue	study sample	normal	adult	120D	male	C57BL/6	wild type	5	2022-07-30_PG_MR_SerieP_WT_50	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	20 ppm	20 ppm	1	1	2022-07-30_PG_MR_SerieP_WT_50.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	wild type
