source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
PT2201S3F05	trypanosoma brucei	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	PT2201S3F05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	1	1	PT2201S3F05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/PT2201S3F05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
Bsf3-F16-18	trypanosoma brucei	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	18	Bsf3-F16-18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	1	1	Bsf3-F16-18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Bsf3-F16-18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
MU2-Pcf-F14-15	trypanosoma brucei	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	15	MU2-Pcf-F14-15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	1	1	MU2-Pcf-F14-15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/MU2-Pcf-F14-15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
MU3-Pcf-F16-18	trypanosoma brucei	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	18	MU3-Pcf-F16-18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	1	1	MU3-Pcf-F16-18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/MU3-Pcf-F16-18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
MU2-Pcf-F16-18	trypanosoma brucei	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	18	MU2-Pcf-F16-18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	1	1	MU2-Pcf-F16-18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/MU2-Pcf-F16-18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
Silac-F14-15b	trypanosoma brucei	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	Silac-F14-15b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	1	1	Silac-F14-15b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Silac-F14-15b.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
Prot-BSF-B	trypanosoma brucei	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	Prot-BSF-B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	1	1	Prot-BSF-B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Prot-BSF-B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
MU3-Pcf-F14-15	trypanosoma brucei	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	15	MU3-Pcf-F14-15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	1	1	MU3-Pcf-F14-15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/MU3-Pcf-F14-15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
PT2202S1F02	trypanosoma brucei	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	PT2202S1F02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	1	1	PT2202S1F02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/PT2202S1F02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
PT2201S2F06	trypanosoma brucei	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	PT2201S2F06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	1	1	PT2201S2F06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/PT2201S2F06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
Prot-BSF-F13	trypanosoma brucei	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	Prot-BSF-F13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	13	1	Prot-BSF-F13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Prot-BSF-F13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
MU2-Pcf-F4-5	trypanosoma brucei	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	5	MU2-Pcf-F4-5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	1	1	MU2-Pcf-F4-5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/MU2-Pcf-F4-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
MU2-Pcf-F12-13	trypanosoma brucei	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	13	MU2-Pcf-F12-13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	1	1	MU2-Pcf-F12-13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/MU2-Pcf-F12-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
Prot-BSF-F18-21	trypanosoma brucei	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	21	Prot-BSF-F18-21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	1	1	Prot-BSF-F18-21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Prot-BSF-F18-21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
MU2-Pcf-F6-7	trypanosoma brucei	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	7	MU2-Pcf-F6-7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	1	1	MU2-Pcf-F6-7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/MU2-Pcf-F6-7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
PT2201S1F05	trypanosoma brucei	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	PT2201S1F05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	1	1	PT2201S1F05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/PT2201S1F05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
PT2201S3F08	trypanosoma brucei	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	PT2201S3F08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	1	1	PT2201S3F08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/PT2201S3F08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
MU2-Pcf-F8-9	trypanosoma brucei	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	9	MU2-Pcf-F8-9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	1	1	MU2-Pcf-F8-9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/MU2-Pcf-F8-9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
MU2-Pcf-F3	trypanosoma brucei	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	MU2-Pcf-F3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	3	1	MU2-Pcf-F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/MU2-Pcf-F3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
