source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[sex]	characteristics[temperature]	characteristics[biological replicate]	assay name	technology type	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[precursor mass tolerance]	comment[modification parameters]	factor value[temperature]
12_TE__19_11-19	Breviolum minutum	whole unicellular cultures	not applicable	not applicable	end of the temperature ramp	1	12_TE__19_11-19	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	12_TE__19_11-19.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	20 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	end of the temperature ramp
26_T1__15-11-19	Breviolum minutum	whole unicellular cultures	not applicable	not applicable	one week at 32C	1	26_T1__15-11-19	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	26_T1__15-11-19.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	20 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	one week at 32C
9_T0__14-11-19	Breviolum minutum	whole unicellular cultures	not applicable	not applicable	controls (26C)	1	9_T0__14-11-19	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	9_T0__14-11-19.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	20 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	controls (26C)
27_T1__16-11-19	Breviolum minutum	whole unicellular cultures	not applicable	not applicable	one week at 32C	1	27_T1__16-11-19	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	27_T1__16-11-19.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	20 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	one week at 32C
26_T1__15-11-19_20191119035627	Breviolum minutum	whole unicellular cultures	not applicable	not applicable	one week at 32C	1	26_T1__15-11-19_20191119035627	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	26_T1__15-11-19_20191119035627.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	20 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	one week at 32C
9_T0__14-11-19_20191119221633	Breviolum minutum	whole unicellular cultures	not applicable	not applicable	controls (26C)	1	9_T0__14-11-19_20191119221633	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	9_T0__14-11-19_20191119221633.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	20 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	controls (26C)
28_T1__14-11-19_20191117054935	Breviolum minutum	whole unicellular cultures	not applicable	not applicable	one week at 32C	1	28_T1__14-11-19_20191117054935	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	28_T1__14-11-19_20191117054935.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	20 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	one week at 32C
26_TE__20_11-20	Breviolum minutum	whole unicellular cultures	not applicable	not applicable	end of the temperature ramp	1	26_TE__20_11-20	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	26_TE__20_11-20.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	20 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	end of the temperature ramp
10_T0_13-11-19	Breviolum minutum	whole unicellular cultures	not applicable	not applicable	controls (26C)	1	10_T0_13-11-19	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	10_T0_13-11-19.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	20 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	controls (26C)
25_T0__16-11-19	Breviolum minutum	whole unicellular cultures	not applicable	not applicable	controls (26C)	1	25_T0__16-11-19	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	25_T0__16-11-19.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	20 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	controls (26C)
28_TE__15-11-19	Breviolum minutum	whole unicellular cultures	not applicable	not applicable	end of the temperature ramp	1	28_TE__15-11-19	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	28_TE__15-11-19.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	20 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	end of the temperature ramp
9_T1__14-11-19_20191119001834	Breviolum minutum	whole unicellular cultures	not applicable	not applicable	one week at 32C	1	9_T1__14-11-19_20191119001834	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	9_T1__14-11-19_20191119001834.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	20 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	one week at 32C
25_TE__14-11-19_20191117041654	Breviolum minutum	whole unicellular cultures	not applicable	not applicable	end of the temperature ramp	1	25_TE__14-11-19_20191117041654	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	25_TE__14-11-19_20191117041654.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	20 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	end of the temperature ramp
25_TE__14-11-19	Breviolum minutum	whole unicellular cultures	not applicable	not applicable	end of the temperature ramp	1	25_TE__14-11-19	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion Lumos;AC=MS:1002732	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	25_TE__14-11-19.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	20 ppm	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	end of the temperature ramp
