source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dia method]	comment[isolation window width]	comment[scan window upper limit]	comment[scan window lower limit]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[compound]	factor value[dose]
PXD035579-Donor6-CHX1	Homo sapiens	semen	sperm	normal	adult	not available	male	not available	Donor6	cell	6	run Donor6 CHX1 SWATH	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 6600;AC=MS:1002533	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	20 ppm	SWATH-MS	not available	1250	400	1	1	SWATH_Donor6_CHX1.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=cycloheximide;AC=CHEBI:27641	1 mg/ml
PXD035579-Donor6-CP1	Homo sapiens	semen	sperm	normal	adult	not available	male	not available	Donor6	cell	6	run Donor6 CP1 SWATH	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 6600;AC=MS:1002533	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	20 ppm	SWATH-MS	not available	1250	400	1	1	SWATH_Donor6_CP1.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=chloramphenicol;AC=CHEBI:17698	1 mg/ml
PXD035579-Donor6-Control	Homo sapiens	semen	sperm	normal	adult	not available	male	not available	Donor6	cell	6	run Donor6 Control SWATH	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 6600;AC=MS:1002533	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	20 ppm	SWATH-MS	not available	1250	400	1	1	SWATH_Donor6_Control.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	control	0 mg/ml
PXD035579-Donor7-CHX1	Homo sapiens	semen	sperm	normal	adult	not available	male	not available	Donor7	cell	7	run Donor7 CHX1 SWATH	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 6600;AC=MS:1002533	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	20 ppm	SWATH-MS	not available	1250	400	1	1	SWATH_Donor7_CHX1.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=cycloheximide;AC=CHEBI:27641	1 mg/ml
PXD035579-Donor7-CHX2	Homo sapiens	semen	sperm	normal	adult	not available	male	not available	Donor7	cell	7	run Donor7 CHX2 SWATH	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 6600;AC=MS:1002533	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	20 ppm	SWATH-MS	not available	1250	400	1	1	SWATH_Donor7_CHX2.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=cycloheximide;AC=CHEBI:27641	2 mg/ml
PXD035579-Donor7-CP1	Homo sapiens	semen	sperm	normal	adult	not available	male	not available	Donor7	cell	7	run Donor7 CP1 SWATH	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 6600;AC=MS:1002533	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	20 ppm	SWATH-MS	not available	1250	400	1	1	SWATH_Donor7_CP1.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=chloramphenicol;AC=CHEBI:17698	1 mg/ml
PXD035579-Donor7-Control	Homo sapiens	semen	sperm	normal	adult	not available	male	not available	Donor7	cell	7	run Donor7 Control SWATH	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 6600;AC=MS:1002533	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	20 ppm	SWATH-MS	not available	1250	400	1	1	SWATH_Donor7_Control.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	control	0 mg/ml
PXD035579-Donor8-CHX1	Homo sapiens	semen	sperm	normal	adult	not available	male	not available	Donor8	cell	8	run Donor8 CHX1 SWATH	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 6600;AC=MS:1002533	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	20 ppm	SWATH-MS	not available	1250	400	1	1	SWATH_Donor8_CHX1.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=cycloheximide;AC=CHEBI:27641	1 mg/ml
PXD035579-Donor8-CHX2	Homo sapiens	semen	sperm	normal	adult	not available	male	not available	Donor8	cell	8	run Donor8 CHX2 SWATH	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 6600;AC=MS:1002533	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	20 ppm	SWATH-MS	not available	1250	400	1	1	SWATH_Donor8_CHX2.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=cycloheximide;AC=CHEBI:27641	2 mg/ml
PXD035579-Donor8-CP1	Homo sapiens	semen	sperm	normal	adult	not available	male	not available	Donor8	cell	8	run Donor8 CP1 SWATH	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 6600;AC=MS:1002533	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	20 ppm	SWATH-MS	not available	1250	400	1	1	SWATH_Donor8_CP1.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=chloramphenicol;AC=CHEBI:17698	1 mg/ml
PXD035579-Donor8-Control	Homo sapiens	semen	sperm	normal	adult	not available	male	not available	Donor8	cell	8	run Donor8 Control SWATH	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=TripleTOF 6600;AC=MS:1002533	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	20 ppm	SWATH-MS	not available	1250	400	1	1	SWATH_Donor8_Control.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	control	0 mg/ml
