source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[treatment]	characteristics[age]	characteristics[sex]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[culture medium]	characteristics[antibody enrichment]	characteristics[dose]	characteristics[exposure duration]	characteristics[pretreatment]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[sample preparation batch]	comment[ms1 scan range]	comment[elution conditions]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	factor value[antibody enrichment]	factor value[cell line]	factor value[exposure duration]	factor value[pretreatment]	factor value[treatment]
FabPanel_N8C_Fab3b_2	Homo sapiens	kidney	not available	2	normal	cell line	not available	not available	female	HEK293T	CVCL_0063	HEK293T	kidney	Dulbecco's Modified Eagle Medium	N8C_Fab3b	not applicable	not available	not available	20211019_EXPL3_LuHe_SA_197_2	proteomic profiling by mass spectrometry	1	20211019_EXPL3_LuHe_SA_197_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	FabPanel	300m/z-1650m/z	60 min gradient	300	1650	not applicable	N8C_Fab3b	HEK293T	not available	not available	not available
FabPanel_N8C_Fab3b_3	Homo sapiens	kidney	not available	3	normal	cell line	not available	not available	female	HEK293T	CVCL_0063	HEK293T	kidney	Dulbecco's Modified Eagle Medium	N8C_Fab3b	not applicable	not available	not available	20211019_EXPL3_LuHe_SA_197_3	proteomic profiling by mass spectrometry	1	20211019_EXPL3_LuHe_SA_197_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	FabPanel	300m/z-1650m/z	60 min gradient	300	1650	not applicable	N8C_Fab3b	HEK293T	not available	not available	not available
FabPanel_N8C_Fab4a_1	Homo sapiens	kidney	not available	1	normal	cell line	not available	not available	female	HEK293T	CVCL_0063	HEK293T	kidney	Dulbecco's Modified Eagle Medium	N8C_Fab4a	not applicable	not available	not available	20211019_EXPL3_LuHe_SA_200_1	proteomic profiling by mass spectrometry	1	20211019_EXPL3_LuHe_SA_200_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	FabPanel	300m/z-1650m/z	60 min gradient	300	1650	not applicable	N8C_Fab4a	HEK293T	not available	not available	not available
FabPanel_N8C_Fab4a_2	Homo sapiens	kidney	not available	2	normal	cell line	not available	not available	female	HEK293T	CVCL_0063	HEK293T	kidney	Dulbecco's Modified Eagle Medium	N8C_Fab4a	not applicable	not available	not available	20211019_EXPL3_LuHe_SA_200_2	proteomic profiling by mass spectrometry	1	20211019_EXPL3_LuHe_SA_200_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	FabPanel	300m/z-1650m/z	60 min gradient	300	1650	not applicable	N8C_Fab4a	HEK293T	not available	not available	not available
FabPanel_N8C_Fab4a_3	Homo sapiens	kidney	not available	3	normal	cell line	not available	not available	female	HEK293T	CVCL_0063	HEK293T	kidney	Dulbecco's Modified Eagle Medium	N8C_Fab4a	not applicable	not available	not available	20211019_EXPL3_LuHe_SA_200_3	proteomic profiling by mass spectrometry	1	20211019_EXPL3_LuHe_SA_200_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	FabPanel	300m/z-1650m/z	60 min gradient	300	1650	not applicable	N8C_Fab4a	HEK293T	not available	not available	not available
CellLinePanel_293T_DMSO_1	Homo sapiens	kidney	not available	5	normal	cell line	Dimethyl Sulfoxide	not available	female	HEK293T	CVCL_0063	HEK293T	kidney	Dulbecco's Modified Eagle Medium	N8C_Fab3b	not available	2 hour	not available	20220322_EXPL1_LuHe_SA_H341_293T_DMSO_1	proteomic profiling by mass spectrometry	1	20220322_EXPL1_LuHe_SA_H341_293T_DMSO_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	CellLinePanel	300m/z-1650m/z	60 min gradient	300	1650	not applicable	N8C_Fab3b	HEK293T	2 hour	not available	Dimethyl Sulfoxide
CellLinePanel_293T_DMSO_2	Homo sapiens	kidney	not available	6	normal	cell line	Dimethyl Sulfoxide	not available	female	HEK293T	CVCL_0063	HEK293T	kidney	Dulbecco's Modified Eagle Medium	N8C_Fab3b	not available	2 hour	not available	20220322_EXPL1_LuHe_SA_H341_293T_DMSO_2	proteomic profiling by mass spectrometry	1	20220322_EXPL1_LuHe_SA_H341_293T_DMSO_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	CellLinePanel	300m/z-1650m/z	60 min gradient	300	1650	not applicable	N8C_Fab3b	HEK293T	2 hour	not available	Dimethyl Sulfoxide
CellLinePanel_293T_DMSO_3	Homo sapiens	kidney	not available	7	normal	cell line	Dimethyl Sulfoxide	not available	female	HEK293T	CVCL_0063	HEK293T	kidney	Dulbecco's Modified Eagle Medium	N8C_Fab3b	not available	2 hour	not available	20220322_EXPL1_LuHe_SA_H341_293T_DMSO_3	proteomic profiling by mass spectrometry	1	20220322_EXPL1_LuHe_SA_H341_293T_DMSO_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	CellLinePanel	300m/z-1650m/z	60 min gradient	300	1650	not applicable	N8C_Fab3b	HEK293T	2 hour	not available	Dimethyl Sulfoxide
CellLinePanel_293T_MLN_1	Homo sapiens	kidney	not available	5	normal	cell line	Pevonedistat	not available	female	HEK293T	CVCL_0063	HEK293T	kidney	Dulbecco's Modified Eagle Medium	N8C_Fab3b	1 uM	2 hour	not available	20220322_EXPL1_LuHe_SA_H341_293T_MLN_1	proteomic profiling by mass spectrometry	1	20220322_EXPL1_LuHe_SA_H341_293T_MLN_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	CellLinePanel	300m/z-1650m/z	60 min gradient	300	1650	not applicable	N8C_Fab3b	HEK293T	2 hour	not available	Pevonedistat
CellLinePanel_293T_MLN_2	Homo sapiens	kidney	not available	6	normal	cell line	Pevonedistat	not available	female	HEK293T	CVCL_0063	HEK293T	kidney	Dulbecco's Modified Eagle Medium	N8C_Fab3b	1 uM	2 hour	not available	20220322_EXPL1_LuHe_SA_H341_293T_MLN_2	proteomic profiling by mass spectrometry	1	20220322_EXPL1_LuHe_SA_H341_293T_MLN_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	CellLinePanel	300m/z-1650m/z	60 min gradient	300	1650	not applicable	N8C_Fab3b	HEK293T	2 hour	not available	Pevonedistat
CellLinePanel_293T_MLN_3	Homo sapiens	kidney	not available	7	normal	cell line	Pevonedistat	not available	female	HEK293T	CVCL_0063	HEK293T	kidney	Dulbecco's Modified Eagle Medium	N8C_Fab3b	1 uM	2 hour	not available	20220322_EXPL1_LuHe_SA_H341_293T_MLN_3	proteomic profiling by mass spectrometry	1	20220322_EXPL1_LuHe_SA_H341_293T_MLN_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	CellLinePanel	300m/z-1650m/z	60 min gradient	300	1650	not applicable	N8C_Fab3b	HEK293T	2 hour	not available	Pevonedistat
CellLinePanel_A549_DMSO_1	Homo sapiens	lung	not available	1	lung adenocarcinoma	cell line	Dimethyl Sulfoxide	58Y	male	A549	CVCL_0023	A-549	lung	Dulbecco's Modified Eagle Medium	N8C_Fab3b	not available	2 hour	not available	20220322_EXPL1_LuHe_SA_H341_A549_DMSO_1	proteomic profiling by mass spectrometry	1	20220322_EXPL1_LuHe_SA_H341_A549_DMSO_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	CellLinePanel	300m/z-1650m/z	60 min gradient	300	1650	not applicable	N8C_Fab3b	A549	2 hour	not available	Dimethyl Sulfoxide
CellLinePanel_A549_DMSO_2	Homo sapiens	lung	not available	2	lung adenocarcinoma	cell line	Dimethyl Sulfoxide	58Y	male	A549	CVCL_0023	A-549	lung	Dulbecco's Modified Eagle Medium	N8C_Fab3b	not available	2 hour	not available	20220322_EXPL1_LuHe_SA_H341_A549_DMSO_2	proteomic profiling by mass spectrometry	1	20220322_EXPL1_LuHe_SA_H341_A549_DMSO_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	CellLinePanel	300m/z-1650m/z	60 min gradient	300	1650	not applicable	N8C_Fab3b	A549	2 hour	not available	Dimethyl Sulfoxide
CellLinePanel_A549_DMSO_3	Homo sapiens	lung	not available	3	lung adenocarcinoma	cell line	Dimethyl Sulfoxide	58Y	male	A549	CVCL_0023	A-549	lung	Dulbecco's Modified Eagle Medium	N8C_Fab3b	not available	2 hour	not available	20220322_EXPL1_LuHe_SA_H341_A549_DMSO_3	proteomic profiling by mass spectrometry	1	20220322_EXPL1_LuHe_SA_H341_A549_DMSO_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	CellLinePanel	300m/z-1650m/z	60 min gradient	300	1650	not applicable	N8C_Fab3b	A549	2 hour	not available	Dimethyl Sulfoxide
CellLinePanel_A549_MLN_1	Homo sapiens	lung	not available	1	lung adenocarcinoma	cell line	Pevonedistat	58Y	male	A549	CVCL_0023	A-549	lung	Dulbecco's Modified Eagle Medium	N8C_Fab3b	1 uM	2 hour	not available	20220322_EXPL1_LuHe_SA_H341_A549_MLN_1	proteomic profiling by mass spectrometry	1	20220322_EXPL1_LuHe_SA_H341_A549_MLN_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	CellLinePanel	300m/z-1650m/z	60 min gradient	300	1650	not applicable	N8C_Fab3b	A549	2 hour	not available	Pevonedistat
CellLinePanel_A549_MLN_2	Homo sapiens	lung	not available	2	lung adenocarcinoma	cell line	Pevonedistat	58Y	male	A549	CVCL_0023	A-549	lung	Dulbecco's Modified Eagle Medium	N8C_Fab3b	1 uM	2 hour	not available	20220322_EXPL1_LuHe_SA_H341_A549_MLN_2	proteomic profiling by mass spectrometry	1	20220322_EXPL1_LuHe_SA_H341_A549_MLN_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	CellLinePanel	300m/z-1650m/z	60 min gradient	300	1650	not applicable	N8C_Fab3b	A549	2 hour	not available	Pevonedistat
CellLinePanel_A549_MLN_3	Homo sapiens	lung	not available	3	lung adenocarcinoma	cell line	Pevonedistat	58Y	male	A549	CVCL_0023	A-549	lung	Dulbecco's Modified Eagle Medium	N8C_Fab3b	1 uM	2 hour	not available	20220322_EXPL1_LuHe_SA_H341_A549_MLN_3	proteomic profiling by mass spectrometry	1	20220322_EXPL1_LuHe_SA_H341_A549_MLN_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	CellLinePanel	300m/z-1650m/z	60 min gradient	300	1650	not applicable	N8C_Fab3b	A549	2 hour	not available	Pevonedistat
CellLinePanel_K562_DMSO_1	Homo sapiens	bone marrow	not available	1	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	cell line	Dimethyl Sulfoxide	53Y	female	K562	CVCL_0004	K-562	pleural effusion	Iscove's Modified Dulbecco's Medium	N8C_Fab3b	not available	2 hour	not available	20220322_EXPL1_LuHe_SA_H341_K562_DMSO_1	proteomic profiling by mass spectrometry	1	20220322_EXPL1_LuHe_SA_H341_K562_DMSO_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	CellLinePanel	300m/z-1650m/z	60 min gradient	300	1650	not applicable	N8C_Fab3b	K562	2 hour	not available	Dimethyl Sulfoxide
CellLinePanel_K562_DMSO_2	Homo sapiens	bone marrow	not available	2	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	cell line	Dimethyl Sulfoxide	53Y	female	K562	CVCL_0004	K-562	pleural effusion	Iscove's Modified Dulbecco's Medium	N8C_Fab3b	not available	2 hour	not available	20220322_EXPL1_LuHe_SA_H341_K562_DMSO_2	proteomic profiling by mass spectrometry	1	20220322_EXPL1_LuHe_SA_H341_K562_DMSO_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	CellLinePanel	300m/z-1650m/z	60 min gradient	300	1650	not applicable	N8C_Fab3b	K562	2 hour	not available	Dimethyl Sulfoxide
