source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[condition]	characteristics[spiked compound]	assay name	technology type	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[technical replicate]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[study group]	comment[acquisition branch]	comment[replicate label]	comment[replicate provenance]	comment[sdrf version]	comment[sdrf template]	comment[annotation source]	comment[sdrf annotation tool]	comment[annotation provenance]	comment[modification parameters]	factor value[condition]
PXD011691_S2-1	Mus musculus	cerebellum	not available	not applicable	1	S2	CT=mixture;CN=UPS2	BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr05of10_MSG_R01_T0	proteomic profiling by mass spectrometry	TMT130C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.5 Da	1	5	NT=Data-dependent acquisition;AC=PRIDE:0000627	BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr05of10_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD011691/BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr05of10_MSG_R01_T0.raw	PXD011691	BGS	1	same biological samples measured at BGS and FLI; fractions are not replicates	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD011691	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	S2
PXD011691_S1-1	Mus musculus	cerebellum	not available	not applicable	1	S1	CT=mixture;CN=UPS2	BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr05of10_MSG_R01_T0	proteomic profiling by mass spectrometry	TMT131	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.5 Da	1	5	NT=Data-dependent acquisition;AC=PRIDE:0000627	BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr05of10_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD011691/BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr05of10_MSG_R01_T0.raw	PXD011691	BGS	1	same biological samples measured at BGS and FLI; fractions are not replicates	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD011691	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	S1
PXD011691_S4-2	Mus musculus	cerebellum	not available	not applicable	2	S4	CT=mixture;CN=UPS2	BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr06of10_MSG_R01_T0	proteomic profiling by mass spectrometry	TMT126	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.5 Da	1	6	NT=Data-dependent acquisition;AC=PRIDE:0000627	BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr06of10_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD011691/BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr06of10_MSG_R01_T0.raw	PXD011691	BGS	1	same biological samples measured at BGS and FLI; fractions are not replicates	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD011691	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	S4
PXD011691_S3-2	Mus musculus	cerebellum	not available	not applicable	2	S3	CT=mixture;CN=UPS2	BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr06of10_MSG_R01_T0	proteomic profiling by mass spectrometry	TMT127N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.5 Da	1	6	NT=Data-dependent acquisition;AC=PRIDE:0000627	BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr06of10_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD011691/BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr06of10_MSG_R01_T0.raw	PXD011691	BGS	1	same biological samples measured at BGS and FLI; fractions are not replicates	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD011691	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	S3
PXD011691_S5-2	Mus musculus	cerebellum	not available	not applicable	2	S5	CT=mixture;CN=UPS2	BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr06of10_MSG_R01_T0	proteomic profiling by mass spectrometry	TMT127C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.5 Da	1	6	NT=Data-dependent acquisition;AC=PRIDE:0000627	BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr06of10_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD011691/BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr06of10_MSG_R01_T0.raw	PXD011691	BGS	1	same biological samples measured at BGS and FLI; fractions are not replicates	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD011691	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	S5
PXD011691_S5-1	Mus musculus	cerebellum	not available	not applicable	1	S5	CT=mixture;CN=UPS2	BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr06of10_MSG_R01_T0	proteomic profiling by mass spectrometry	TMT128N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.5 Da	1	6	NT=Data-dependent acquisition;AC=PRIDE:0000627	BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr06of10_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD011691/BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr06of10_MSG_R01_T0.raw	PXD011691	BGS	1	same biological samples measured at BGS and FLI; fractions are not replicates	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD011691	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	S5
PXD011691_S4-1	Mus musculus	cerebellum	not available	not applicable	1	S4	CT=mixture;CN=UPS2	BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr06of10_MSG_R01_T0	proteomic profiling by mass spectrometry	TMT128C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.5 Da	1	6	NT=Data-dependent acquisition;AC=PRIDE:0000627	BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr06of10_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD011691/BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr06of10_MSG_R01_T0.raw	PXD011691	BGS	1	same biological samples measured at BGS and FLI; fractions are not replicates	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD011691	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	S4
PXD011691_S2-2	Mus musculus	cerebellum	not available	not applicable	2	S2	CT=mixture;CN=UPS2	BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr06of10_MSG_R01_T0	proteomic profiling by mass spectrometry	TMT129N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.5 Da	1	6	NT=Data-dependent acquisition;AC=PRIDE:0000627	BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr06of10_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD011691/BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr06of10_MSG_R01_T0.raw	PXD011691	BGS	1	same biological samples measured at BGS and FLI; fractions are not replicates	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD011691	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	S2
PXD011691_S1-2	Mus musculus	cerebellum	not available	not applicable	2	S1	CT=mixture;CN=UPS2	BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr06of10_MSG_R01_T0	proteomic profiling by mass spectrometry	TMT129C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.5 Da	1	6	NT=Data-dependent acquisition;AC=PRIDE:0000627	BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr06of10_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD011691/BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr06of10_MSG_R01_T0.raw	PXD011691	BGS	1	same biological samples measured at BGS and FLI; fractions are not replicates	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD011691	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	S1
PXD011691_S3-1	Mus musculus	cerebellum	not available	not applicable	1	S3	CT=mixture;CN=UPS2	BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr06of10_MSG_R01_T0	proteomic profiling by mass spectrometry	TMT130N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.5 Da	1	6	NT=Data-dependent acquisition;AC=PRIDE:0000627	BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr06of10_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD011691/BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr06of10_MSG_R01_T0.raw	PXD011691	BGS	1	same biological samples measured at BGS and FLI; fractions are not replicates	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD011691	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	S3
PXD011691_S2-1	Mus musculus	cerebellum	not available	not applicable	1	S2	CT=mixture;CN=UPS2	BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr06of10_MSG_R01_T0	proteomic profiling by mass spectrometry	TMT130C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.5 Da	1	6	NT=Data-dependent acquisition;AC=PRIDE:0000627	BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr06of10_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD011691/BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr06of10_MSG_R01_T0.raw	PXD011691	BGS	1	same biological samples measured at BGS and FLI; fractions are not replicates	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD011691	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	S2
PXD011691_S1-1	Mus musculus	cerebellum	not available	not applicable	1	S1	CT=mixture;CN=UPS2	BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr06of10_MSG_R01_T0	proteomic profiling by mass spectrometry	TMT131	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.5 Da	1	6	NT=Data-dependent acquisition;AC=PRIDE:0000627	BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr06of10_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD011691/BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr06of10_MSG_R01_T0.raw	PXD011691	BGS	1	same biological samples measured at BGS and FLI; fractions are not replicates	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD011691	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	S1
PXD011691_S4-2	Mus musculus	cerebellum	not available	not applicable	2	S4	CT=mixture;CN=UPS2	BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr07of10_MSG_R01_T0	proteomic profiling by mass spectrometry	TMT126	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.5 Da	1	7	NT=Data-dependent acquisition;AC=PRIDE:0000627	BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr07of10_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD011691/BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr07of10_MSG_R01_T0.raw	PXD011691	BGS	1	same biological samples measured at BGS and FLI; fractions are not replicates	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD011691	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	S4
PXD011691_S3-2	Mus musculus	cerebellum	not available	not applicable	2	S3	CT=mixture;CN=UPS2	BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr07of10_MSG_R01_T0	proteomic profiling by mass spectrometry	TMT127N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.5 Da	1	7	NT=Data-dependent acquisition;AC=PRIDE:0000627	BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr07of10_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD011691/BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr07of10_MSG_R01_T0.raw	PXD011691	BGS	1	same biological samples measured at BGS and FLI; fractions are not replicates	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD011691	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	S3
PXD011691_S5-2	Mus musculus	cerebellum	not available	not applicable	2	S5	CT=mixture;CN=UPS2	BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr07of10_MSG_R01_T0	proteomic profiling by mass spectrometry	TMT127C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.5 Da	1	7	NT=Data-dependent acquisition;AC=PRIDE:0000627	BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr07of10_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD011691/BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr07of10_MSG_R01_T0.raw	PXD011691	BGS	1	same biological samples measured at BGS and FLI; fractions are not replicates	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD011691	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	S5
PXD011691_S5-1	Mus musculus	cerebellum	not available	not applicable	1	S5	CT=mixture;CN=UPS2	BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr07of10_MSG_R01_T0	proteomic profiling by mass spectrometry	TMT128N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.5 Da	1	7	NT=Data-dependent acquisition;AC=PRIDE:0000627	BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr07of10_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD011691/BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr07of10_MSG_R01_T0.raw	PXD011691	BGS	1	same biological samples measured at BGS and FLI; fractions are not replicates	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD011691	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	S5
PXD011691_S4-1	Mus musculus	cerebellum	not available	not applicable	1	S4	CT=mixture;CN=UPS2	BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr07of10_MSG_R01_T0	proteomic profiling by mass spectrometry	TMT128C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.5 Da	1	7	NT=Data-dependent acquisition;AC=PRIDE:0000627	BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr07of10_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD011691/BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr07of10_MSG_R01_T0.raw	PXD011691	BGS	1	same biological samples measured at BGS and FLI; fractions are not replicates	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD011691	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	S4
PXD011691_S2-2	Mus musculus	cerebellum	not available	not applicable	2	S2	CT=mixture;CN=UPS2	BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr07of10_MSG_R01_T0	proteomic profiling by mass spectrometry	TMT129N	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.5 Da	1	7	NT=Data-dependent acquisition;AC=PRIDE:0000627	BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr07of10_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD011691/BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr07of10_MSG_R01_T0.raw	PXD011691	BGS	1	same biological samples measured at BGS and FLI; fractions are not replicates	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD011691	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	S2
PXD011691_S1-2	Mus musculus	cerebellum	not available	not applicable	2	S1	CT=mixture;CN=UPS2	BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr07of10_MSG_R01_T0	proteomic profiling by mass spectrometry	TMT129C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.5 Da	1	7	NT=Data-dependent acquisition;AC=PRIDE:0000627	BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr07of10_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD011691/BGS_D_D180413_S416-newPrep-TMT-10plex-SPS-Fr07of10_MSG_R01_T0.raw	PXD011691	BGS	1	same biological samples measured at BGS and FLI; fractions are not replicates	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD011691	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	S1
