source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[host organism]	characteristics[host body site]	characteristics[host disease status]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
Zybaylov_052416_15_03	Zybaylov_052416_15_03	Rattus norvegicus	Colon	not applicable	Chronic kidney disease	Metaproteomics_of_the_Resistant_Starch-fed_Chronic_Kidney_Disease_Rats	feces	feces	not available	not available	not available	not available	gut microbiome	Rattus norvegicus	Colon	Chronic kidney disease	1	Zybaylov_052416_15_03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=ST;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Zybaylov_052416_15_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Colon
Zybaylov_052416_15_04	Zybaylov_052416_15_04	Rattus norvegicus	Colon	not applicable	Chronic kidney disease	Metaproteomics_of_the_Resistant_Starch-fed_Chronic_Kidney_Disease_Rats	feces	feces	not available	not available	not available	not available	gut microbiome	Rattus norvegicus	Colon	Chronic kidney disease	1	Zybaylov_052416_15_04	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=ST;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Zybaylov_052416_15_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Colon
Zybaylov_052416_15_09	Zybaylov_052416_15_09	Rattus norvegicus	Colon	not applicable	Chronic kidney disease	Metaproteomics_of_the_Resistant_Starch-fed_Chronic_Kidney_Disease_Rats	feces	feces	not available	not available	not available	not available	gut microbiome	Rattus norvegicus	Colon	Chronic kidney disease	1	Zybaylov_052416_15_09	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=ST;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Zybaylov_052416_15_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Colon
Zybaylov_052416_15_12	Zybaylov_052416_15_12	Rattus norvegicus	Colon	not applicable	Chronic kidney disease	Metaproteomics_of_the_Resistant_Starch-fed_Chronic_Kidney_Disease_Rats	feces	feces	not available	not available	not available	not available	gut microbiome	Rattus norvegicus	Colon	Chronic kidney disease	1	Zybaylov_052416_15_12	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=ST;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Zybaylov_052416_15_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Colon
Zybaylov_052416_15_13	Zybaylov_052416_15_13	Rattus norvegicus	Colon	not applicable	Chronic kidney disease	Metaproteomics_of_the_Resistant_Starch-fed_Chronic_Kidney_Disease_Rats	feces	feces	not available	not available	not available	not available	gut microbiome	Rattus norvegicus	Colon	Chronic kidney disease	1	Zybaylov_052416_15_13	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=ST;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Zybaylov_052416_15_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Colon
Zybaylov_052416_16_02	Zybaylov_052416_16_02	Rattus norvegicus	Colon	not applicable	Chronic kidney disease	Metaproteomics_of_the_Resistant_Starch-fed_Chronic_Kidney_Disease_Rats	feces	feces	not available	not available	not available	not available	gut microbiome	Rattus norvegicus	Colon	Chronic kidney disease	1	Zybaylov_052416_16_02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=ST;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Zybaylov_052416_16_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Colon
Zybaylov_052416_16_03	Zybaylov_052416_16_03	Rattus norvegicus	Colon	not applicable	Chronic kidney disease	Metaproteomics_of_the_Resistant_Starch-fed_Chronic_Kidney_Disease_Rats	feces	feces	not available	not available	not available	not available	gut microbiome	Rattus norvegicus	Colon	Chronic kidney disease	1	Zybaylov_052416_16_03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=ST;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Zybaylov_052416_16_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Colon
Zybaylov_052416_16_09	Zybaylov_052416_16_09	Rattus norvegicus	Colon	not applicable	Chronic kidney disease	Metaproteomics_of_the_Resistant_Starch-fed_Chronic_Kidney_Disease_Rats	feces	feces	not available	not available	not available	not available	gut microbiome	Rattus norvegicus	Colon	Chronic kidney disease	1	Zybaylov_052416_16_09	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=ST;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Zybaylov_052416_16_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Colon
Zybaylov_052416_16_12 (peptides_1_0_0.mzid).mzid_Zybaylov_052416_16_12_(peptides_1_0_0.mzid).pride	Zybaylov_052416_16_12_peptides_1_0_0.mzid_.mzid_Zybaylov_052416_16_12_peptides_1_0_0.mzid_.pride	Rattus norvegicus	Colon	not applicable	Chronic kidney disease	Metaproteomics_of_the_Resistant_Starch-fed_Chronic_Kidney_Disease_Rats	feces	feces	not available	not available	not available	not available	gut microbiome	Rattus norvegicus	Colon	Chronic kidney disease	1	Zybaylov_052416_16_12 (peptides_1_0_0.mzid).mzid_Zybaylov_052416_16_12_(peptides_1_0_0.mzid).pride	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=ST;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Zybaylov_052416_16_12 (peptides_1_0_0.mzid).mzid_Zybaylov_052416_16_12_(peptides_1_0_0.mzid).pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Colon
Zybaylov_052416_16_13	Zybaylov_052416_16_13	Rattus norvegicus	Colon	not applicable	Chronic kidney disease	Metaproteomics_of_the_Resistant_Starch-fed_Chronic_Kidney_Disease_Rats	feces	feces	not available	not available	not available	not available	gut microbiome	Rattus norvegicus	Colon	Chronic kidney disease	1	Zybaylov_052416_16_13	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=ST;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Zybaylov_052416_16_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Colon
Zybaylov_052416_16_14	Zybaylov_052416_16_14	Rattus norvegicus	Colon	not applicable	Chronic kidney disease	Metaproteomics_of_the_Resistant_Starch-fed_Chronic_Kidney_Disease_Rats	feces	feces	not available	not available	not available	not available	gut microbiome	Rattus norvegicus	Colon	Chronic kidney disease	1	Zybaylov_052416_16_14	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=ST;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Zybaylov_052416_16_14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Colon
Zybaylov_052416_16_15	Zybaylov_052416_16_15	Rattus norvegicus	Colon	not applicable	Chronic kidney disease	Metaproteomics_of_the_Resistant_Starch-fed_Chronic_Kidney_Disease_Rats	feces	feces	not available	not available	not available	not available	gut microbiome	Rattus norvegicus	Colon	Chronic kidney disease	1	Zybaylov_052416_16_15	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=ST;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Zybaylov_052416_16_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Colon
Zybaylov_052416_16_16	Zybaylov_052416_16_16	Rattus norvegicus	Colon	not applicable	Chronic kidney disease	Metaproteomics_of_the_Resistant_Starch-fed_Chronic_Kidney_Disease_Rats	feces	feces	not available	not available	not available	not available	gut microbiome	Rattus norvegicus	Colon	Chronic kidney disease	1	Zybaylov_052416_16_16	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=ST;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Zybaylov_052416_16_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Colon
Zybaylov_052416_17_01 (peptides_1_0_0.mzid).mzid_Zybaylov_052416_17_01_(peptides_1_0_0.mzid).pride	Zybaylov_052416_17_01_peptides_1_0_0.mzid_.mzid_Zybaylov_052416_17_01_peptides_1_0_0.mzid_.pride	Rattus norvegicus	Colon	not applicable	Chronic kidney disease	Metaproteomics_of_the_Resistant_Starch-fed_Chronic_Kidney_Disease_Rats	feces	feces	not available	not available	not available	not available	gut microbiome	Rattus norvegicus	Colon	Chronic kidney disease	1	Zybaylov_052416_17_01 (peptides_1_0_0.mzid).mzid_Zybaylov_052416_17_01_(peptides_1_0_0.mzid).pride	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=ST;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Zybaylov_052416_17_01 (peptides_1_0_0.mzid).mzid_Zybaylov_052416_17_01_(peptides_1_0_0.mzid).pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Colon
Zybaylov_052416_17_05	Zybaylov_052416_17_05	Rattus norvegicus	Colon	not applicable	Chronic kidney disease	Metaproteomics_of_the_Resistant_Starch-fed_Chronic_Kidney_Disease_Rats	feces	feces	not available	not available	not available	not available	gut microbiome	Rattus norvegicus	Colon	Chronic kidney disease	1	Zybaylov_052416_17_05	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=ST;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Zybaylov_052416_17_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Colon
Zybaylov_052416_17_06	Zybaylov_052416_17_06	Rattus norvegicus	Colon	not applicable	Chronic kidney disease	Metaproteomics_of_the_Resistant_Starch-fed_Chronic_Kidney_Disease_Rats	feces	feces	not available	not available	not available	not available	gut microbiome	Rattus norvegicus	Colon	Chronic kidney disease	1	Zybaylov_052416_17_06	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=ST;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Zybaylov_052416_17_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Colon
Zybaylov_052416_17_08	Zybaylov_052416_17_08	Rattus norvegicus	Colon	not applicable	Chronic kidney disease	Metaproteomics_of_the_Resistant_Starch-fed_Chronic_Kidney_Disease_Rats	feces	feces	not available	not available	not available	not available	gut microbiome	Rattus norvegicus	Colon	Chronic kidney disease	1	Zybaylov_052416_17_08	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=ST;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Zybaylov_052416_17_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Colon
Zybaylov_052416_17_17	Zybaylov_052416_17_17	Rattus norvegicus	Colon	not applicable	Chronic kidney disease	Metaproteomics_of_the_Resistant_Starch-fed_Chronic_Kidney_Disease_Rats	feces	feces	not available	not available	not available	not available	gut microbiome	Rattus norvegicus	Colon	Chronic kidney disease	1	Zybaylov_052416_17_17	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=ST;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Zybaylov_052416_17_17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Colon
Zybaylov_052416_17_19	Zybaylov_052416_17_19	Rattus norvegicus	Colon	not applicable	Chronic kidney disease	Metaproteomics_of_the_Resistant_Starch-fed_Chronic_Kidney_Disease_Rats	feces	feces	not available	not available	not available	not available	gut microbiome	Rattus norvegicus	Colon	Chronic kidney disease	1	Zybaylov_052416_17_19	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=ST;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Zybaylov_052416_17_19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Colon
Zybaylov_052416_18_04 (peptides_1_0_0.mzid).mzid_Zybaylov_052416_18_04_(peptides_1_0_0.mzid).pride	Zybaylov_052416_18_04_peptides_1_0_0.mzid_.mzid_Zybaylov_052416_18_04_peptides_1_0_0.mzid_.pride	Rattus norvegicus	Colon	not applicable	Chronic kidney disease	Metaproteomics_of_the_Resistant_Starch-fed_Chronic_Kidney_Disease_Rats	feces	feces	not available	not available	not available	not available	gut microbiome	Rattus norvegicus	Colon	Chronic kidney disease	1	Zybaylov_052416_18_04 (peptides_1_0_0.mzid).mzid_Zybaylov_052416_18_04_(peptides_1_0_0.mzid).pride	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=ST;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Zybaylov_052416_18_04 (peptides_1_0_0.mzid).mzid_Zybaylov_052416_18_04_(peptides_1_0_0.mzid).pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Colon
Zybaylov_052416_18_06	Zybaylov_052416_18_06	Rattus norvegicus	Colon	not applicable	Chronic kidney disease	Metaproteomics_of_the_Resistant_Starch-fed_Chronic_Kidney_Disease_Rats	feces	feces	not available	not available	not available	not available	gut microbiome	Rattus norvegicus	Colon	Chronic kidney disease	1	Zybaylov_052416_18_06	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=ST;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Zybaylov_052416_18_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Colon
Zybaylov_052416_18_08	Zybaylov_052416_18_08	Rattus norvegicus	Colon	not applicable	Chronic kidney disease	Metaproteomics_of_the_Resistant_Starch-fed_Chronic_Kidney_Disease_Rats	feces	feces	not available	not available	not available	not available	gut microbiome	Rattus norvegicus	Colon	Chronic kidney disease	1	Zybaylov_052416_18_08	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=ST;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Zybaylov_052416_18_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Colon
Zybaylov_052416_18_09	Zybaylov_052416_18_09	Rattus norvegicus	Colon	not applicable	Chronic kidney disease	Metaproteomics_of_the_Resistant_Starch-fed_Chronic_Kidney_Disease_Rats	feces	feces	not available	not available	not available	not available	gut microbiome	Rattus norvegicus	Colon	Chronic kidney disease	1	Zybaylov_052416_18_09	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=ST;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Zybaylov_052416_18_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	manual curation	Colon
