source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
200124_V2_PM3_PM_DS_POMPU_2018_2_11	200124_V2_PM3_PM_DS_POMPU_2018_2_11	Prokaryotic environmental samples	not available	not applicable	not available	Proteome_analyses_of_marine_particle-associated_microbes	not available	not available	not available	not available	not available	not available	1	200124_V2_PM3_PM_DS_POMPU_2018_2_11	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	200124_V2_PM3_PM_DS_POMPU_2018_2_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
200124_V2_PM3_PM_DS_POMPU_2018_2_12	200124_V2_PM3_PM_DS_POMPU_2018_2_12	Prokaryotic environmental samples	not available	not applicable	not available	Proteome_analyses_of_marine_particle-associated_microbes	not available	not available	not available	not available	not available	not available	1	200124_V2_PM3_PM_DS_POMPU_2018_2_12	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	200124_V2_PM3_PM_DS_POMPU_2018_2_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
200124_V2_PM3_PM_DS_POMPU_2018_2_20	200124_V2_PM3_PM_DS_POMPU_2018_2_20	Prokaryotic environmental samples	not available	not applicable	not available	Proteome_analyses_of_marine_particle-associated_microbes	not available	not available	not available	not available	not available	not available	1	200124_V2_PM3_PM_DS_POMPU_2018_2_20	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	200124_V2_PM3_PM_DS_POMPU_2018_2_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
200127_V2_PM3_PM_DS_POMPU_2018_3_08	200127_V2_PM3_PM_DS_POMPU_2018_3_08	Prokaryotic environmental samples	not available	not applicable	not available	Proteome_analyses_of_marine_particle-associated_microbes	not available	not available	not available	not available	not available	not available	1	200127_V2_PM3_PM_DS_POMPU_2018_3_08	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	200127_V2_PM3_PM_DS_POMPU_2018_3_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
200127_V2_PM3_PM_DS_POMPU_2018_3_10	200127_V2_PM3_PM_DS_POMPU_2018_3_10	Prokaryotic environmental samples	not available	not applicable	not available	Proteome_analyses_of_marine_particle-associated_microbes	not available	not available	not available	not available	not available	not available	1	200127_V2_PM3_PM_DS_POMPU_2018_3_10	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	200127_V2_PM3_PM_DS_POMPU_2018_3_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
200127_V2_PM3_PM_DS_POMPU_2018_3_15	200127_V2_PM3_PM_DS_POMPU_2018_3_15	Prokaryotic environmental samples	not available	not applicable	not available	Proteome_analyses_of_marine_particle-associated_microbes	not available	not available	not available	not available	not available	not available	1	200127_V2_PM3_PM_DS_POMPU_2018_3_15	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	200127_V2_PM3_PM_DS_POMPU_2018_3_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
200127_V2_PM3_PM_DS_POMPU_2018_3_17	200127_V2_PM3_PM_DS_POMPU_2018_3_17	Prokaryotic environmental samples	not available	not applicable	not available	Proteome_analyses_of_marine_particle-associated_microbes	not available	not available	not available	not available	not available	not available	1	200127_V2_PM3_PM_DS_POMPU_2018_3_17	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	200127_V2_PM3_PM_DS_POMPU_2018_3_17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
200127_V2_PM3_PM_DS_POMPU_2018_3_20	200127_V2_PM3_PM_DS_POMPU_2018_3_20	Prokaryotic environmental samples	not available	not applicable	not available	Proteome_analyses_of_marine_particle-associated_microbes	not available	not available	not available	not available	not available	not available	1	200127_V2_PM3_PM_DS_POMPU_2018_3_20	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	200127_V2_PM3_PM_DS_POMPU_2018_3_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
200129_V2_PM3_PM_DS_POMPU_2018_4_03	200129_V2_PM3_PM_DS_POMPU_2018_4_03	Prokaryotic environmental samples	not available	not applicable	not available	Proteome_analyses_of_marine_particle-associated_microbes	not available	not available	not available	not available	not available	not available	1	200129_V2_PM3_PM_DS_POMPU_2018_4_03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	200129_V2_PM3_PM_DS_POMPU_2018_4_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
200129_V2_PM3_PM_DS_POMPU_2018_4_04	200129_V2_PM3_PM_DS_POMPU_2018_4_04	Prokaryotic environmental samples	not available	not applicable	not available	Proteome_analyses_of_marine_particle-associated_microbes	not available	not available	not available	not available	not available	not available	1	200129_V2_PM3_PM_DS_POMPU_2018_4_04	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	200129_V2_PM3_PM_DS_POMPU_2018_4_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
200129_V2_PM3_PM_DS_POMPU_2018_4_06	200129_V2_PM3_PM_DS_POMPU_2018_4_06	Prokaryotic environmental samples	not available	not applicable	not available	Proteome_analyses_of_marine_particle-associated_microbes	not available	not available	not available	not available	not available	not available	1	200129_V2_PM3_PM_DS_POMPU_2018_4_06	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	200129_V2_PM3_PM_DS_POMPU_2018_4_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
200129_V2_PM3_PM_DS_POMPU_2018_4_07	200129_V2_PM3_PM_DS_POMPU_2018_4_07	Prokaryotic environmental samples	not available	not applicable	not available	Proteome_analyses_of_marine_particle-associated_microbes	not available	not available	not available	not available	not available	not available	1	200129_V2_PM3_PM_DS_POMPU_2018_4_07	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	200129_V2_PM3_PM_DS_POMPU_2018_4_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
200129_V2_PM3_PM_DS_POMPU_2018_4_08	200129_V2_PM3_PM_DS_POMPU_2018_4_08	Prokaryotic environmental samples	not available	not applicable	not available	Proteome_analyses_of_marine_particle-associated_microbes	not available	not available	not available	not available	not available	not available	1	200129_V2_PM3_PM_DS_POMPU_2018_4_08	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	200129_V2_PM3_PM_DS_POMPU_2018_4_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
200129_V2_PM3_PM_DS_POMPU_2018_4_09	200129_V2_PM3_PM_DS_POMPU_2018_4_09	Prokaryotic environmental samples	not available	not applicable	not available	Proteome_analyses_of_marine_particle-associated_microbes	not available	not available	not available	not available	not available	not available	1	200129_V2_PM3_PM_DS_POMPU_2018_4_09	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	200129_V2_PM3_PM_DS_POMPU_2018_4_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
200129_V2_PM3_PM_DS_POMPU_2018_4_14	200129_V2_PM3_PM_DS_POMPU_2018_4_14	Prokaryotic environmental samples	not available	not applicable	not available	Proteome_analyses_of_marine_particle-associated_microbes	not available	not available	not available	not available	not available	not available	1	200129_V2_PM3_PM_DS_POMPU_2018_4_14	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	200129_V2_PM3_PM_DS_POMPU_2018_4_14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
200131_V2_PM3_PM_DS_POMPU_2018_5_04	200131_V2_PM3_PM_DS_POMPU_2018_5_04	Prokaryotic environmental samples	not available	not applicable	not available	Proteome_analyses_of_marine_particle-associated_microbes	not available	not available	not available	not available	not available	not available	1	200131_V2_PM3_PM_DS_POMPU_2018_5_04	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1002481	1	1	200131_V2_PM3_PM_DS_POMPU_2018_5_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
