source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[material type]	characteristics[biological replicate]	characteristics[phenotype]	characteristics[strain or breed]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[phenotype]
PXD038450-Sample-11	Mus musculus	heart	not applicable	myocardial infarction	not available	not available	not available	not available	PXD038450-Individual-11	tissue	4	Wild-type whole heart at the Dediff timepoint after myocardial infarction	not available	HFX_7366_ETZ_4_T1_WT-MI_4_170518c	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	1	1	HFX_7366_ETZ_4_T1_WT-MI_4_170518c.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	Dediff_WT_MI
PXD038450-Sample-12	Mus musculus	heart	not applicable	normal	not available	not available	not available	not available	PXD038450-Individual-12	tissue	1	Wild-type whole heart at the Dediff timepoint (peak ERBB2 activity window in the transgenic arm),...	not available	HFX_7366_ETZ_5_T1_WT-sham_1_170518c	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	1	1	HFX_7366_ETZ_5_T1_WT-sham_1_170518c.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	Dediff_WT_sham
PXD038450-Sample-13	Mus musculus	heart	not applicable	normal	not available	not available	not available	not available	PXD038450-Individual-13	tissue	2	Wild-type whole heart at the Dediff timepoint (peak ERBB2 activity window in the transgenic arm),...	not available	HFX_7366_ETZ_6_T1_WT-sham_2_170518c	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	1	1	HFX_7366_ETZ_6_T1_WT-sham_2_170518c.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	Dediff_WT_sham
PXD038450-Sample-14	Mus musculus	heart	not applicable	normal	not available	not available	not available	not available	PXD038450-Individual-14	tissue	3	Wild-type whole heart at the Dediff timepoint (peak ERBB2 activity window in the transgenic arm),...	not available	HFX_7366_ETZ_7_T1_WT-sham_3_170518c	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	1	1	HFX_7366_ETZ_7_T1_WT-sham_3_170518c.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	Dediff_WT_sham
PXD038450-Sample-15	Mus musculus	heart	not applicable	normal	not available	not available	not available	not available	PXD038450-Individual-15	tissue	4	Wild-type whole heart at the Dediff timepoint (peak ERBB2 activity window in the transgenic arm),...	not available	HFX_7366_ETZ_8_T1_WT-sham_4_170518c	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	1	1	HFX_7366_ETZ_8_T1_WT-sham_4_170518c.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	Dediff_WT_sham
PXD038450-Sample-16	Mus musculus	heart	not applicable	myocardial infarction	not available	not available	not available	not available	PXD038450-Individual-16	tissue	1	Formerly caERBB2-overexpressing whole heart 2 weeks into redifferentiation (Intermediate timepoint) after...	not available	HFX_7366_ETZ_T2_OE-MI_1_170518	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	1	1	HFX_7366_ETZ_T2_OE-MI_1_170518.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	Intermediate_OE_MI
PXD038450-Sample-17	Mus musculus	heart	not applicable	myocardial infarction	not available	not available	not available	not available	PXD038450-Individual-17	tissue	2	Formerly caERBB2-overexpressing whole heart 2 weeks into redifferentiation (Intermediate timepoint) after...	not available	HFX_7366_ETZ_T2_OE-MI_2_170518	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	1	1	HFX_7366_ETZ_T2_OE-MI_2_170518.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	Intermediate_OE_MI
PXD038450-Sample-18	Mus musculus	heart	not applicable	myocardial infarction	not available	not available	not available	not available	PXD038450-Individual-18	tissue	3	Formerly caERBB2-overexpressing whole heart 2 weeks into redifferentiation (Intermediate timepoint) after...	not available	HFX_7366_ETZ_T2_OE-MI_3_170518	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	1	1	HFX_7366_ETZ_T2_OE-MI_3_170518.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	Intermediate_OE_MI
PXD038450-Sample-19	Mus musculus	heart	not applicable	myocardial infarction	not available	not available	not available	not available	PXD038450-Individual-19	tissue	4	Formerly caERBB2-overexpressing whole heart 2 weeks into redifferentiation (Intermediate timepoint) after...	not available	HFX_7366_ETZ_T2_OE-MI_4_170518	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	1	1	HFX_7366_ETZ_T2_OE-MI_4_170518.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	Intermediate_OE_MI
PXD038450-Sample-20	Mus musculus	heart	not applicable	normal	not available	not available	not available	not available	PXD038450-Individual-20	tissue	2	Formerly caERBB2-overexpressing whole heart 2 weeks into redifferentiation (Intermediate timepoint),...	not available	HFX_7366_ETZ_T2_OE-sham_2_170518	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	1	1	HFX_7366_ETZ_T2_OE-sham_2_170518.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	Intermediate_OE_sham
PXD038450-Sample-21	Mus musculus	heart	not applicable	normal	not available	not available	not available	not available	PXD038450-Individual-21	tissue	3	Formerly caERBB2-overexpressing whole heart 2 weeks into redifferentiation (Intermediate timepoint),...	not available	HFX_7366_ETZ_T2_OE-sham_3_170518	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	1	1	HFX_7366_ETZ_T2_OE-sham_3_170518.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	Intermediate_OE_sham
PXD038450-Sample-22	Mus musculus	heart	not applicable	normal	not available	not available	not available	not available	PXD038450-Individual-22	tissue	4	Formerly caERBB2-overexpressing whole heart 2 weeks into redifferentiation (Intermediate timepoint),...	not available	HFX_7366_ETZ_T2_OE-sham_4_170518	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	1	1	HFX_7366_ETZ_T2_OE-sham_4_170518.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	Intermediate_OE_sham
PXD038450-Sample-23	Mus musculus	heart	not applicable	myocardial infarction	not available	not available	not available	not available	PXD038450-Individual-23	tissue	1	Wild-type whole heart at the Intermediate timepoint after myocardial infarction	not available	HFX_7366_ETZ_T2_WT-MI_1_170518	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	1	1	HFX_7366_ETZ_T2_WT-MI_1_170518.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	Intermediate_WT_MI
PXD038450-Sample-24	Mus musculus	heart	not applicable	myocardial infarction	not available	not available	not available	not available	PXD038450-Individual-24	tissue	2	Wild-type whole heart at the Intermediate timepoint after myocardial infarction	not available	HFX_7366_ETZ_T2_WT-MI_2_170518	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	1	1	HFX_7366_ETZ_T2_WT-MI_2_170518.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	Intermediate_WT_MI
PXD038450-Sample-25	Mus musculus	heart	not applicable	myocardial infarction	not available	not available	not available	not available	PXD038450-Individual-25	tissue	3	Wild-type whole heart at the Intermediate timepoint after myocardial infarction	not available	HFX_7366_ETZ_T2_WT-MI_3_170518	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	4.5 ppm	20 ppm	1	1	HFX_7366_ETZ_T2_WT-MI_3_170518.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	Intermediate_WT_MI
