source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[strain or breed]	characteristics[growth condition]	characteristics[treatment]	characteristics[sampling time]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[reduction reagent]	comment[alkylation reagent]	comment[acquisition date]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[treatment]	factor value[sampling time]
Lmono_EGDe_GLA3_1h_rep2	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	Tryptone Soya Broth, 30 C	glabridin, lower dose (deposit label GLA_3, concentration not stated)	1 hour	not pooled	2	run 11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	NT=orbitrap;AC=MS:1000484	380m/z-1400m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2022-01-15T05:13:17	1	1	HdB17_GLA_3_1h_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	glabridin, lower dose (deposit label GLA_3, concentration not stated)	1 hour
Lmono_EGDe_GLA3_1h_rep3	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	Tryptone Soya Broth, 30 C	glabridin, lower dose (deposit label GLA_3, concentration not stated)	1 hour	not pooled	3	run 12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	NT=orbitrap;AC=MS:1000484	380m/z-1400m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2022-01-15T07:03:50	1	1	HdB18_GLA_3_1h_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	glabridin, lower dose (deposit label GLA_3, concentration not stated)	1 hour
Lmono_EGDe_GLA3_2h_rep1	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	Tryptone Soya Broth, 30 C	glabridin, lower dose (deposit label GLA_3, concentration not stated)	2 hour	not pooled	1	run 13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	NT=orbitrap;AC=MS:1000484	380m/z-1400m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2022-01-15T08:53:12	1	1	HdB19_GLA_3_2h_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	glabridin, lower dose (deposit label GLA_3, concentration not stated)	2 hour
Lmono_EGDe_GLA3_2h_rep2	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	Tryptone Soya Broth, 30 C	glabridin, lower dose (deposit label GLA_3, concentration not stated)	2 hour	not pooled	2	run 14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	NT=orbitrap;AC=MS:1000484	380m/z-1400m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2022-01-15T10:42:36	1	1	HdB20_GLA_3_2h_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	glabridin, lower dose (deposit label GLA_3, concentration not stated)	2 hour
Lmono_EGDe_GLA3_2h_rep3	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	Tryptone Soya Broth, 30 C	glabridin, lower dose (deposit label GLA_3, concentration not stated)	2 hour	not pooled	3	run 15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	NT=orbitrap;AC=MS:1000484	380m/z-1400m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2022-01-15T12:31:50	1	1	HdB21_GLA_3_2h_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	glabridin, lower dose (deposit label GLA_3, concentration not stated)	2 hour
Lmono_EGDe_GLA6_15min_rep1	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	Tryptone Soya Broth, 30 C	glabridin 6.25 ug/mL (deposit label GLA_6)	15 minute	not pooled	1	run 16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	NT=orbitrap;AC=MS:1000484	380m/z-1400m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2022-01-15T14:21:22	1	1	HdB22_GLA_6_15min_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	glabridin 6.25 ug/mL (deposit label GLA_6)	15 minute
Lmono_EGDe_GLA6_15min_rep2	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	Tryptone Soya Broth, 30 C	glabridin 6.25 ug/mL (deposit label GLA_6)	15 minute	not pooled	2	run 17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	NT=orbitrap;AC=MS:1000484	380m/z-1400m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2022-01-15T16:10:44	1	1	HdB23_GLA_6_15min_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	glabridin 6.25 ug/mL (deposit label GLA_6)	15 minute
Lmono_EGDe_GLA6_15min_rep3	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	Tryptone Soya Broth, 30 C	glabridin 6.25 ug/mL (deposit label GLA_6)	15 minute	not pooled	3	run 18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	NT=orbitrap;AC=MS:1000484	380m/z-1400m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2022-01-15T18:00:07	1	1	HdB24_GLA_6_15min_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	glabridin 6.25 ug/mL (deposit label GLA_6)	15 minute
Lmono_EGDe_GLA6_30min_rep1	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	Tryptone Soya Broth, 30 C	glabridin 6.25 ug/mL (deposit label GLA_6)	30 minute	not pooled	1	run 19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	NT=orbitrap;AC=MS:1000484	380m/z-1400m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2022-01-15T19:49:33	1	1	HdB25_GLA_6_30min_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	glabridin 6.25 ug/mL (deposit label GLA_6)	30 minute
Lmono_EGDe_GLA6_30min_rep2	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	Tryptone Soya Broth, 30 C	glabridin 6.25 ug/mL (deposit label GLA_6)	30 minute	not pooled	2	run 20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	NT=orbitrap;AC=MS:1000484	380m/z-1400m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2022-01-15T21:38:55	1	1	HdB26_GLA_6_30min_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	glabridin 6.25 ug/mL (deposit label GLA_6)	30 minute
Lmono_EGDe_GLA6_30min_rep3	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	Tryptone Soya Broth, 30 C	glabridin 6.25 ug/mL (deposit label GLA_6)	30 minute	not pooled	3	run 21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	NT=orbitrap;AC=MS:1000484	380m/z-1400m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2022-01-16T00:14:40	1	1	HdB27_GLA_6_30min_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	glabridin 6.25 ug/mL (deposit label GLA_6)	30 minute
Lmono_EGDe_GLA6_1h_rep1	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	Tryptone Soya Broth, 30 C	glabridin 6.25 ug/mL (deposit label GLA_6)	1 hour	not pooled	1	run 22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	4.5 ppm	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	28% NCE	NT=orbitrap;AC=MS:1000484	380m/z-1400m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2022-01-16T02:04:56	1	1	HdB28_GLA_6_1h_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	glabridin 6.25 ug/mL (deposit label GLA_6)	1 hour
