source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sample type]	characteristics[disease]	characteristics[material type]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[antibody]	characteristics[cellular component]	characteristics[genotype]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[sample preparation batch]	comment[ms min im]	comment[ms max im]	factor value[antibody]	factor value[cellular component]	factor value[genotype]
1ch_soma_KO_IP_3	Mus musculus	lumbar spinal cord	motor neuron	3	study sample	normal	cell	embryonic day 13	C57BL/6 background	not available	anti-hnRNP R (Abcam ab30930)	somatodendritic compartment	Hnrnpr knockout	20230520_TIMS06_JaBa_SA_33F5_DDA_A1_sample11_S4-A11_1_9293	proteomic profiling by mass spectrometry	1	20230520_TIMS06_JaBa_SA_33F5_DDA_A1_sample11_S4-A11_1_9293.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	25 ppm	not applicable	not applicable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	IP experiment 2 (1 microchamber per sample)	0.7	1.3	anti-hnRNP R (Abcam ab30930)	somatodendritic compartment	Hnrnpr knockout
1ch_soma_KO_IP_4	Mus musculus	lumbar spinal cord	motor neuron	4	study sample	normal	cell	embryonic day 13	C57BL/6 background	not available	anti-hnRNP R (Abcam ab30930)	somatodendritic compartment	Hnrnpr knockout	20230520_TIMS06_JaBa_SA_33F5_DDA_A1_sample12_S4-A12_1_9294	proteomic profiling by mass spectrometry	1	20230520_TIMS06_JaBa_SA_33F5_DDA_A1_sample12_S4-A12_1_9294.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	25 ppm	not applicable	not applicable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	IP experiment 2 (1 microchamber per sample)	0.7	1.3	anti-hnRNP R (Abcam ab30930)	somatodendritic compartment	Hnrnpr knockout
1ch_axon_KO_IP_1	Mus musculus	lumbar spinal cord	motor neuron	1	study sample	normal	cell	embryonic day 13	C57BL/6 background	not available	anti-hnRNP R (Abcam ab30930)	axon	Hnrnpr knockout	20230520_TIMS06_JaBa_SA_33F5_DDA_A1_sample13_S4-B1_1_9272	proteomic profiling by mass spectrometry	1	20230520_TIMS06_JaBa_SA_33F5_DDA_A1_sample13_S4-B1_1_9272.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	25 ppm	not applicable	not applicable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	IP experiment 2 (1 microchamber per sample)	0.7	1.3	anti-hnRNP R (Abcam ab30930)	axon	Hnrnpr knockout
1ch_axon_KO_IP_2	Mus musculus	lumbar spinal cord	motor neuron	2	study sample	normal	cell	embryonic day 13	C57BL/6 background	not available	anti-hnRNP R (Abcam ab30930)	axon	Hnrnpr knockout	20230520_TIMS06_JaBa_SA_33F5_DDA_A1_sample14_S4-B2_1_9273	proteomic profiling by mass spectrometry	1	20230520_TIMS06_JaBa_SA_33F5_DDA_A1_sample14_S4-B2_1_9273.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	25 ppm	not applicable	not applicable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	IP experiment 2 (1 microchamber per sample)	0.7	1.3	anti-hnRNP R (Abcam ab30930)	axon	Hnrnpr knockout
1ch_axon_KO_IP_3	Mus musculus	lumbar spinal cord	motor neuron	3	study sample	normal	cell	embryonic day 13	C57BL/6 background	not available	anti-hnRNP R (Abcam ab30930)	axon	Hnrnpr knockout	20230520_TIMS06_JaBa_SA_33F5_DDA_A1_sample15_S4-B3_1_9274	proteomic profiling by mass spectrometry	1	20230520_TIMS06_JaBa_SA_33F5_DDA_A1_sample15_S4-B3_1_9274.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	25 ppm	not applicable	not applicable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	IP experiment 2 (1 microchamber per sample)	0.7	1.3	anti-hnRNP R (Abcam ab30930)	axon	Hnrnpr knockout
1ch_axon_KO_IP_4	Mus musculus	lumbar spinal cord	motor neuron	4	study sample	normal	cell	embryonic day 13	C57BL/6 background	not available	anti-hnRNP R (Abcam ab30930)	axon	Hnrnpr knockout	20230520_TIMS06_JaBa_SA_33F5_DDA_A1_sample16_S4-B4_1_9275	proteomic profiling by mass spectrometry	1	20230520_TIMS06_JaBa_SA_33F5_DDA_A1_sample16_S4-B4_1_9275.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	25 ppm	not applicable	not applicable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	IP experiment 2 (1 microchamber per sample)	0.7	1.3	anti-hnRNP R (Abcam ab30930)	axon	Hnrnpr knockout
1ch_soma_WT_noAb_1	Mus musculus	lumbar spinal cord	motor neuron	1	negative control	normal	cell	embryonic day 13	C57BL/6 background	not available	no antibody	somatodendritic compartment	wild type	20230520_TIMS06_JaBa_SA_33F5_DDA_A1_sample17_S4-B5_1_9296	proteomic profiling by mass spectrometry	1	20230520_TIMS06_JaBa_SA_33F5_DDA_A1_sample17_S4-B5_1_9296.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	25 ppm	not applicable	not applicable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	IP experiment 2 (1 microchamber per sample)	0.7	1.3	no antibody	somatodendritic compartment	wild type
1ch_soma_WT_noAb_2	Mus musculus	lumbar spinal cord	motor neuron	2	negative control	normal	cell	embryonic day 13	C57BL/6 background	not available	no antibody	somatodendritic compartment	wild type	20230520_TIMS06_JaBa_SA_33F5_DDA_A1_sample18_S4-B6_1_9297	proteomic profiling by mass spectrometry	1	20230520_TIMS06_JaBa_SA_33F5_DDA_A1_sample18_S4-B6_1_9297.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	25 ppm	not applicable	not applicable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	IP experiment 2 (1 microchamber per sample)	0.7	1.3	no antibody	somatodendritic compartment	wild type
1ch_soma_WT_noAb_3	Mus musculus	lumbar spinal cord	motor neuron	3	negative control	normal	cell	embryonic day 13	C57BL/6 background	not available	no antibody	somatodendritic compartment	wild type	20230520_TIMS06_JaBa_SA_33F5_DDA_A1_sample19_S4-B7_1_9298	proteomic profiling by mass spectrometry	1	20230520_TIMS06_JaBa_SA_33F5_DDA_A1_sample19_S4-B7_1_9298.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	25 ppm	not applicable	not applicable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	IP experiment 2 (1 microchamber per sample)	0.7	1.3	no antibody	somatodendritic compartment	wild type
1ch_soma_WT_noAb_4	Mus musculus	lumbar spinal cord	motor neuron	4	negative control	normal	cell	embryonic day 13	C57BL/6 background	not available	no antibody	somatodendritic compartment	wild type	20230520_TIMS06_JaBa_SA_33F5_DDA_A1_sample20_S4-B8_1_9299	proteomic profiling by mass spectrometry	1	20230520_TIMS06_JaBa_SA_33F5_DDA_A1_sample20_S4-B8_1_9299.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	25 ppm	not applicable	not applicable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	IP experiment 2 (1 microchamber per sample)	0.7	1.3	no antibody	somatodendritic compartment	wild type
1ch_axon_WT_noAb_1	Mus musculus	lumbar spinal cord	motor neuron	1	negative control	normal	cell	embryonic day 13	C57BL/6 background	not available	no antibody	axon	wild type	20230520_TIMS06_JaBa_SA_33F4_DDA_A1_sample21_S4-B9_1_9277	proteomic profiling by mass spectrometry	1	20230520_TIMS06_JaBa_SA_33F4_DDA_A1_sample21_S4-B9_1_9277.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	25 ppm	not applicable	not applicable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	IP experiment 2 (1 microchamber per sample)	0.7	1.3	no antibody	axon	wild type
1ch_axon_WT_noAb_2	Mus musculus	lumbar spinal cord	motor neuron	2	negative control	normal	cell	embryonic day 13	C57BL/6 background	not available	no antibody	axon	wild type	20230520_TIMS06_JaBa_SA_33F4_DDA_A1_sample22_S4-B10_1_9278	proteomic profiling by mass spectrometry	1	20230520_TIMS06_JaBa_SA_33F4_DDA_A1_sample22_S4-B10_1_9278.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	25 ppm	not applicable	not applicable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	IP experiment 2 (1 microchamber per sample)	0.7	1.3	no antibody	axon	wild type
1ch_axon_WT_noAb_3	Mus musculus	lumbar spinal cord	motor neuron	3	negative control	normal	cell	embryonic day 13	C57BL/6 background	not available	no antibody	axon	wild type	20230520_TIMS06_JaBa_SA_33F4_DDA_A1_sample23_S4-B11_1_9279	proteomic profiling by mass spectrometry	1	20230520_TIMS06_JaBa_SA_33F4_DDA_A1_sample23_S4-B11_1_9279.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	25 ppm	not applicable	not applicable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	IP experiment 2 (1 microchamber per sample)	0.7	1.3	no antibody	axon	wild type
