source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[passage number]	characteristics[culture medium]	characteristics[sample storage temperature]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[sdrf template]
EcoliSpikeIn_1xF4R4	Homo sapiens	cell extract	not available	1	not available	K562	CL:0000031	K562	not available	not available	not available	LC-MS/MS	proteomic profiling by mass spectrometry	4	09-07-18_EcoliSpikeIn_1xF4R4.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	4	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
EcoliSpikeIn_1xF5R1	Homo sapiens	cell extract	not available	1	not available	K562	CL:0000031	K562	not available	not available	not available	LC-MS/MS	proteomic profiling by mass spectrometry	1	09-07-18_EcoliSpikeIn_1xF5R1.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	5	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
EcoliSpikeIn_1xF5R2	Homo sapiens	cell extract	not available	1	not available	K562	CL:0000031	K562	not available	not available	not available	LC-MS/MS	proteomic profiling by mass spectrometry	2	09-07-18_EcoliSpikeIn_1xF5R2.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	5	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
EcoliSpikeIn_1xF5R5	Homo sapiens	cell extract	not available	1	not available	K562	CL:0000031	K562	not available	not available	not available	LC-MS/MS	proteomic profiling by mass spectrometry	5	09-07-18_EcoliSpikeIn_1xF5R5.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	5	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
EcoliSpikeIn_1xF6R1	Homo sapiens	cell extract	not available	1	not available	K562	CL:0000031	K562	not available	not available	not available	LC-MS/MS	proteomic profiling by mass spectrometry	1	09-07-18_EcoliSpikeIn_1xF6R1.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	6	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
EcoliSpikeIn_1xF6R2	Homo sapiens	cell extract	not available	1	not available	K562	CL:0000031	K562	not available	not available	not available	LC-MS/MS	proteomic profiling by mass spectrometry	2	09-07-18_EcoliSpikeIn_1xF6R2.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	6	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
EcoliSpikeIn_1xF6R6	Homo sapiens	cell extract	not available	1	not available	K562	CL:0000031	K562	not available	not available	not available	LC-MS/MS	proteomic profiling by mass spectrometry	6	09-07-18_EcoliSpikeIn_1xF6R6.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	6	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
EcoliSpikeIn_2xF1R1	Homo sapiens	cell extract	not available	2	not available	K562	CL:0000031	K562	not available	not available	not available	LC-MS/MS	proteomic profiling by mass spectrometry	1	09-07-18_EcoliSpikeIn_2xF1R1.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
EcoliSpikeIn_2xF1R2	Homo sapiens	cell extract	not available	2	not available	K562	CL:0000031	K562	not available	not available	not available	LC-MS/MS	proteomic profiling by mass spectrometry	2	09-07-18_EcoliSpikeIn_2xF1R2.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
EcoliSpikeIn_2xF2R1	Homo sapiens	cell extract	not available	2	not available	K562	CL:0000031	K562	not available	not available	not available	LC-MS/MS	proteomic profiling by mass spectrometry	1	09-07-18_EcoliSpikeIn_2xF2R1.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	2	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
EcoliSpikeIn_2xF2R2	Homo sapiens	cell extract	not available	2	not available	K562	CL:0000031	K562	not available	not available	not available	LC-MS/MS	proteomic profiling by mass spectrometry	2	09-07-18_EcoliSpikeIn_2xF2R2.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	2	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
EcoliSpikeIn_2xF2R3	Homo sapiens	cell extract	not available	2	not available	K562	CL:0000031	K562	not available	not available	not available	LC-MS/MS	proteomic profiling by mass spectrometry	3	09-07-18_EcoliSpikeIn_2xF2R3.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	2	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
EcoliSpikeIn_2xF3R1	Homo sapiens	cell extract	not available	2	not available	K562	CL:0000031	K562	not available	not available	not available	LC-MS/MS	proteomic profiling by mass spectrometry	1	09-07-18_EcoliSpikeIn_2xF3R1.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	3	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
EcoliSpikeIn_2xF3R2	Homo sapiens	cell extract	not available	2	not available	K562	CL:0000031	K562	not available	not available	not available	LC-MS/MS	proteomic profiling by mass spectrometry	2	09-07-18_EcoliSpikeIn_2xF3R2.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	3	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
EcoliSpikeIn_2xF3R3	Homo sapiens	cell extract	not available	2	not available	K562	CL:0000031	K562	not available	not available	not available	LC-MS/MS	proteomic profiling by mass spectrometry	3	09-07-18_EcoliSpikeIn_2xF3R3.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	3	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
EcoliSpikeIn_2xF4R1	Homo sapiens	cell extract	not available	2	not available	K562	CL:0000031	K562	not available	not available	not available	LC-MS/MS	proteomic profiling by mass spectrometry	1	09-07-18_EcoliSpikeIn_2xF4R1.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	4	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
EcoliSpikeIn_2xF4R2	Homo sapiens	cell extract	not available	2	not available	K562	CL:0000031	K562	not available	not available	not available	LC-MS/MS	proteomic profiling by mass spectrometry	2	09-07-18_EcoliSpikeIn_2xF4R2.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	4	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
EcoliSpikeIn_2xF4R3	Homo sapiens	cell extract	not available	2	not available	K562	CL:0000031	K562	not available	not available	not available	LC-MS/MS	proteomic profiling by mass spectrometry	3	09-07-18_EcoliSpikeIn_2xF4R3.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	4	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
EcoliSpikeIn_2xF5R1	Homo sapiens	cell extract	not available	2	not available	K562	CL:0000031	K562	not available	not available	not available	LC-MS/MS	proteomic profiling by mass spectrometry	1	09-07-18_EcoliSpikeIn_2xF5R1.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	5	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
EcoliSpikeIn_2xF5R2	Homo sapiens	cell extract	not available	2	not available	K562	CL:0000031	K562	not available	not available	not available	LC-MS/MS	proteomic profiling by mass spectrometry	2	09-07-18_EcoliSpikeIn_2xF5R2.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	5	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
EcoliSpikeIn_2xF5R3	Homo sapiens	cell extract	not available	2	not available	K562	CL:0000031	K562	not available	not available	not available	LC-MS/MS	proteomic profiling by mass spectrometry	3	09-07-18_EcoliSpikeIn_2xF5R3.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	5	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
EcoliSpikeIn_2xF6R1	Homo sapiens	cell extract	not available	2	not available	K562	CL:0000031	K562	not available	not available	not available	LC-MS/MS	proteomic profiling by mass spectrometry	1	09-07-18_EcoliSpikeIn_2xF6R1.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	6	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
EcoliSpikeIn_2xF6R2	Homo sapiens	cell extract	not available	2	not available	K562	CL:0000031	K562	not available	not available	not available	LC-MS/MS	proteomic profiling by mass spectrometry	2	09-07-18_EcoliSpikeIn_2xF6R2.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	6	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
EcoliSpikeIn_2xF6R3	Homo sapiens	cell extract	not available	2	not available	K562	CL:0000031	K562	not available	not available	not available	LC-MS/MS	proteomic profiling by mass spectrometry	3	09-07-18_EcoliSpikeIn_2xF6R3.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	6	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
EcoliSpikeInSingleShot1x	Homo sapiens	cell extract	not available	1	not available	K562	CL:0000031	K562	not available	not available	not available	LC-MS/MS	proteomic profiling by mass spectrometry	1	09-04-18_EcoliSpikeInSingleShot1x.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
EcoliSpikeInSingleShot2x	Homo sapiens	cell extract	not available	2	not available	K562	CL:0000031	K562	not available	not available	not available	LC-MS/MS	proteomic profiling by mass spectrometry	1	09-04-18_EcoliSpikeInSingleShot2x.raw	v1.1.0	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=q exactive;AC=MS:1001911	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	not available	NT=ms-proteomics;VV=v1.1.0
