id	label	reason	evidence	species_group	organism_taxname	n_tissues_or_parts	study_type	includes_human	estimated_files_or_samples	publication	orthologue_utility	already_annotated
PXD014877	include	Mann kingdoms-of-life standardized reference proteomes across 100 organisms; campaign vertebrates are CELL LINES (MDCK/LLC-PK1/Vx2/MDBK/PC-12/6C2/Z4F/CHO/OK/OLF-136) + Drosophila whole organism — high orthologue utility despite not being a tissue atlas.	Nature 2020 PMID:32555458 Supp Table 1; PRIDE PXD014877; 366 RAW total; 88 vertebrate campaign + 8 Drosophila annotated.	rabbit;pig;dog;gallus;rat;bos;zebrafish;other_vertebrate;drosophila	Oryctolagus cuniculus; Sus scrofa; Canis lupus; Gallus gallus; Rattus norvegicus; Bos taurus; Danio rerio; Cricetulus griseus; Didelphis virginiana; Oryzias melastigma; Drosophila melanogaster	1 (cell line / whole fly)	reference_proteome	yes (HeLa+panel held out)	96 campaign RAW (88+8)	Müller et al. Nature 2020	high	partial
PXD022831	exclude	HX-MS method development (Eg5 + rabbit 20S proteasome complex); not tissue/reference atlas.	PRIDE HX-MS.	rabbit	Oryctolagus cuniculus	1 (purified complex)	other	yes	many	Raval et al. 2021	low	no
PXD011036	exclude	XL-MS DIA method paper using purified protein mix spanning multiple species including rabbit creatine kinase; not organism proteome.	PRIDE QCLMS.	rabbit;gallus;horse;bos	protein standards	1 (purified proteins)	other	yes	many	Müller et al. MCP 2019	low	no
PXD023940	exclude	Tick saliva proteome (Ixodes); rabbit is host DB contamination context, not rabbit tissue atlas.	PRIDE saliva.	rabbit	host background	1 (tick saliva)	other	no	many	Kim et al. 2021	low	no
PXD006308	maybe	Rabbit seminal plasma proteome (genetic lines × seasons); reproductive fluid, not multi-tissue atlas.	PRIDE TripleTOF.	rabbit	Oryctolagus cuniculus	1 (seminal plasma)	deep_tissue	no	24 pools	Casares-Crespo 2017	medium	no
PXD015940	exclude	Surface-labelling of purified rabbit muscle pyruvate kinase + yeast ADH; not organism proteome.	PRIDE NHS/DEPC.	rabbit	purified PK	1 (protein)	other	no	~70	Barth et al. 2020	low	no
PXD025432	exclude	Metaproteomics of formula-fed neonatal piglets (milk/gut context); not pig tissue orthologue atlas.	PRIDE metaproteomics.	pig	Sus scrofa domesticus	metaproteome	other	yes	medium	2021 piglet milk	low	no
PXD029818	include	Annotated datasets/PXD029818/; rabbit eye 7-tissue atlas (conjunctiva/cornea/iris/retina/sclera/tear/vitreous humor), timsTOF DDA, fractionated	PRIDE 'Proteomic profiling of rabbit eyes'; tissue in file names	rabbit	Oryctolagus cuniculus	7	tissue_atlas	no	108 .d	rabbit eye 2021	medium	yes
PXD002403	include	Annotated datasets/PXD002403/; chicken embryo 6-tissue proteome (heart/liver/lung/spleen/muscle/gonad x5), Q Exactive DDA	PRIDE 'Chicken embryo proteome'; Swedish tissue tokens in file names	chicken	Gallus gallus	6	tissue_atlas	no	30 raw	chicken embryo QMS	medium	yes
PXD068793	include	Annotated datasets/PXD068793/; Sinclair Nanopig 18-organ atlas (sex-resolved + pooled hpH-fractionated), timsTOF Pro 2 DDA, 202 .d	PRIDE 'Sinclair Nanopig model'; tissue/sex/fraction in file names	pig	Sus scrofa domesticus	18	tissue_atlas	no	202 .d	Sinclair Nanopig 2025	high	yes
PXD044741	include	Annotated datasets/PXD044741/; equine 20-organ/tissue/fluid atlas (Q Exactive HF-X DIA); organ+individual from deposited experimental-design xlsx; OA context for OA horses	PRIDE 'An equine protein atlas'; raw_files_metadata_experimental_design.xlsx	horse	Equus caballus	20	tissue_atlas	no	75 raw (atlas)	equine atlas 2024	high	yes
