source name	characteristics[organism]	characteristics[organism part]	characteristics[sample name]	characteristics[host organism]	characteristics[host subject id]	characteristics[host disease status]	characteristics[host body site]	characteristics[host body product]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[project name]	characteristics[microbiome source]	characteristics[perturbation]	characteristics[chemical administration]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[ms2 scan range]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[acquisition date]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[perturbation]	factor value[chemical administration]
GLU3LOW	human gut metagenome	not applicable	GLU3LOW	Homo sapiens	anonymized	healthy	large intestine	feces	feces	Canada	Effect_of_Edurans_secretome_on_human_gut_microbiome	gut microbiome	bacterial secretome exposure	Enterococcus durans LAB18S secretome (glucose-grown, control carbon source); 10 ug/mL protein	3	GLU3LOW	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	not available	20 ppm	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	2019-04-25	Carol_20190425_RapidaimGLU3LOW_QE.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	bacterial secretome exposure	Enterococcus durans LAB18S secretome (glucose-grown, control carbon source); 10 ug/mL protein
GLU3HIGH	human gut metagenome	not applicable	GLU3HIGH	Homo sapiens	anonymized	healthy	large intestine	feces	feces	Canada	Effect_of_Edurans_secretome_on_human_gut_microbiome	gut microbiome	bacterial secretome exposure	Enterococcus durans LAB18S secretome (glucose-grown, control carbon source); 50 ug/mL protein	3	GLU3HIGH	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	not available	20 ppm	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	2019-04-25	Carol_20190425_RapidaimGLU3HIGH_QE.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	bacterial secretome exposure	Enterococcus durans LAB18S secretome (glucose-grown, control carbon source); 50 ug/mL protein
FOS1LOW	human gut metagenome	not applicable	FOS1LOW	Homo sapiens	anonymized	healthy	large intestine	feces	feces	Canada	Effect_of_Edurans_secretome_on_human_gut_microbiome	gut microbiome	bacterial secretome exposure	Enterococcus durans LAB18S secretome (fructooligosaccharide-grown); 10 ug/mL protein	1	FOS1LOW	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	not available	20 ppm	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	2019-04-25	Carol_20190425_RapidaimFOS1LOW_QE.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	bacterial secretome exposure	Enterococcus durans LAB18S secretome (fructooligosaccharide-grown); 10 ug/mL protein
FOS1HIGH	human gut metagenome	not applicable	FOS1HIGH	Homo sapiens	anonymized	healthy	large intestine	feces	feces	Canada	Effect_of_Edurans_secretome_on_human_gut_microbiome	gut microbiome	bacterial secretome exposure	Enterococcus durans LAB18S secretome (fructooligosaccharide-grown); 50 ug/mL protein	1	FOS1HIGH	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	not available	20 ppm	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	2019-04-25	Carol_20190425_RapidaimFOS1HIGH_QE.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	bacterial secretome exposure	Enterococcus durans LAB18S secretome (fructooligosaccharide-grown); 50 ug/mL protein
FOS1Control	human gut metagenome	not applicable	FOS1Control	Homo sapiens	anonymized	healthy	large intestine	feces	feces	Canada	Effect_of_Edurans_secretome_on_human_gut_microbiome	gut microbiome	not available	not available	1	FOS1Control	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	not available	20 ppm	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	2019-04-25	Carol_20190425_RapidaimFOS1Control_QE.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	not available	not available
FOS2LOW	human gut metagenome	not applicable	FOS2LOW	Homo sapiens	anonymized	healthy	large intestine	feces	feces	Canada	Effect_of_Edurans_secretome_on_human_gut_microbiome	gut microbiome	bacterial secretome exposure	Enterococcus durans LAB18S secretome (fructooligosaccharide-grown); 10 ug/mL protein	2	FOS2LOW	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	not available	20 ppm	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	2019-04-25	Carol_20190425_RapidaimFOS2LOW_QE.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	bacterial secretome exposure	Enterococcus durans LAB18S secretome (fructooligosaccharide-grown); 10 ug/mL protein
FOS2HIGH	human gut metagenome	not applicable	FOS2HIGH	Homo sapiens	anonymized	healthy	large intestine	feces	feces	Canada	Effect_of_Edurans_secretome_on_human_gut_microbiome	gut microbiome	bacterial secretome exposure	Enterococcus durans LAB18S secretome (fructooligosaccharide-grown); 50 ug/mL protein	2	FOS2HIGH	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	not available	20 ppm	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	2019-04-25	Carol_20190425_Rapidaimfos2HIGH_QE.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	bacterial secretome exposure	Enterococcus durans LAB18S secretome (fructooligosaccharide-grown); 50 ug/mL protein
FOS2Control	human gut metagenome	not applicable	FOS2Control	Homo sapiens	anonymized	healthy	large intestine	feces	feces	Canada	Effect_of_Edurans_secretome_on_human_gut_microbiome	gut microbiome	not available	not available	2	FOS2Control	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	not available	20 ppm	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	2019-04-25	Carol_20190425_RapidaimFOS2Control_QE.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	not available	not available
FOS3LOW	human gut metagenome	not applicable	FOS3LOW	Homo sapiens	anonymized	healthy	large intestine	feces	feces	Canada	Effect_of_Edurans_secretome_on_human_gut_microbiome	gut microbiome	bacterial secretome exposure	Enterococcus durans LAB18S secretome (fructooligosaccharide-grown); 10 ug/mL protein	3	FOS3LOW	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	not available	20 ppm	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	2019-04-25	Carol_20190425_RapidaimFOS3LOW_QE.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	bacterial secretome exposure	Enterococcus durans LAB18S secretome (fructooligosaccharide-grown); 10 ug/mL protein
FOS3HIGH	human gut metagenome	not applicable	FOS3HIGH	Homo sapiens	anonymized	healthy	large intestine	feces	feces	Canada	Effect_of_Edurans_secretome_on_human_gut_microbiome	gut microbiome	bacterial secretome exposure	Enterococcus durans LAB18S secretome (fructooligosaccharide-grown); 50 ug/mL protein	3	FOS3HIGH	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	not available	20 ppm	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	2019-04-25	Carol_20190425_RapidaimFOS3HIGH_QE.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	bacterial secretome exposure	Enterococcus durans LAB18S secretome (fructooligosaccharide-grown); 50 ug/mL protein
FOS3Control	human gut metagenome	not applicable	FOS3Control	Homo sapiens	anonymized	healthy	large intestine	feces	feces	Canada	Effect_of_Edurans_secretome_on_human_gut_microbiome	gut microbiome	not available	not available	3	FOS3Control	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	not available	20 ppm	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	2019-04-25	Carol_20190425_RapidaimFOS3Control_QE.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	not available	not available
GOS1LOW	human gut metagenome	not applicable	GOS1LOW	Homo sapiens	anonymized	healthy	large intestine	feces	feces	Canada	Effect_of_Edurans_secretome_on_human_gut_microbiome	gut microbiome	bacterial secretome exposure	Enterococcus durans LAB18S secretome (galactooligosaccharide-grown); 10 ug/mL protein	1	GOS1LOW	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	not available	20 ppm	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	2019-04-25	Carol_20190425_RapidaimGOS1LOW_QE.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	bacterial secretome exposure	Enterococcus durans LAB18S secretome (galactooligosaccharide-grown); 10 ug/mL protein
GOS1HIGH	human gut metagenome	not applicable	GOS1HIGH	Homo sapiens	anonymized	healthy	large intestine	feces	feces	Canada	Effect_of_Edurans_secretome_on_human_gut_microbiome	gut microbiome	bacterial secretome exposure	Enterococcus durans LAB18S secretome (galactooligosaccharide-grown); 50 ug/mL protein	1	GOS1HIGH	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	not available	20 ppm	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	2019-04-25	Carol_20190425_RapidaimGOS1HIGH_QE.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	bacterial secretome exposure	Enterococcus durans LAB18S secretome (galactooligosaccharide-grown); 50 ug/mL protein
GOS2LOW	human gut metagenome	not applicable	GOS2LOW	Homo sapiens	anonymized	healthy	large intestine	feces	feces	Canada	Effect_of_Edurans_secretome_on_human_gut_microbiome	gut microbiome	bacterial secretome exposure	Enterococcus durans LAB18S secretome (galactooligosaccharide-grown); 10 ug/mL protein	2	GOS2LOW	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	not available	20 ppm	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	2019-04-25	Carol_20190425_RapidaimGOS2LOW_QE.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	bacterial secretome exposure	Enterococcus durans LAB18S secretome (galactooligosaccharide-grown); 10 ug/mL protein
GOS2HIGH	human gut metagenome	not applicable	GOS2HIGH	Homo sapiens	anonymized	healthy	large intestine	feces	feces	Canada	Effect_of_Edurans_secretome_on_human_gut_microbiome	gut microbiome	bacterial secretome exposure	Enterococcus durans LAB18S secretome (galactooligosaccharide-grown); 50 ug/mL protein	2	GOS2HIGH	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	not available	20 ppm	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	2019-04-25	Carol_20190425_RapidaimGOS2HIGH_QE.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	bacterial secretome exposure	Enterococcus durans LAB18S secretome (galactooligosaccharide-grown); 50 ug/mL protein
GOS3LOW	human gut metagenome	not applicable	GOS3LOW	Homo sapiens	anonymized	healthy	large intestine	feces	feces	Canada	Effect_of_Edurans_secretome_on_human_gut_microbiome	gut microbiome	bacterial secretome exposure	Enterococcus durans LAB18S secretome (galactooligosaccharide-grown); 10 ug/mL protein	3	GOS3LOW	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	not available	20 ppm	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	2019-04-25	Carol_20190425_RapidaimGOS3LOW_QE.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	bacterial secretome exposure	Enterococcus durans LAB18S secretome (galactooligosaccharide-grown); 10 ug/mL protein
GOS3HIGH	human gut metagenome	not applicable	GOS3HIGH	Homo sapiens	anonymized	healthy	large intestine	feces	feces	Canada	Effect_of_Edurans_secretome_on_human_gut_microbiome	gut microbiome	bacterial secretome exposure	Enterococcus durans LAB18S secretome (galactooligosaccharide-grown); 50 ug/mL protein	3	GOS3HIGH	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	not available	20 ppm	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1800m/z	200m/z-2000m/z	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1	1	2019-04-25	Carol_20190425_RapidaimGOS3HIGH_QE.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	NT=sdrf-skills-autoresearch;VV=v0.0.0	bacterial secretome exposure	Enterococcus durans LAB18S secretome (galactooligosaccharide-grown); 50 ug/mL protein
