source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[passage number]	characteristics[culture medium]	characteristics[sample storage temperature]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[sdrf template]
exponential_2_f11b_1ul	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	2	exponential_1_f11b_1ul.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	11	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
exponential_2_f11b_1ul	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	3	exponential_3_f11b_1ul.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	11	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
exponential_1_f14B2_1ulb	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 13	proteomic profiling by mass spectrometry	1	exponential_1_f14B2_1ulb.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	14	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
exponential_1_f14B2_1ulb	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 14	proteomic profiling by mass spectrometry	2	exponential_2_f14B2_1ulB.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	14	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
exponential_1_f14B2_1ulb	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 15	proteomic profiling by mass spectrometry	3	exponential_3_f14B2_1ulB.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	14	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
exponential_2_f15B2_1ulB	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 16	proteomic profiling by mass spectrometry	1	exponential_2_f15B2_1ulB.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	15	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
exponential_2_f15B2_1ulB	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 17	proteomic profiling by mass spectrometry	2	exponential_3_f15B2_1ulB.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	15	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
exponential_2_f15B2_1ulB	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 18	proteomic profiling by mass spectrometry	3	exponential_1_f15B2_1ulb.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	15	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
exponential_1_f6B_1ulb	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 19	proteomic profiling by mass spectrometry	1	exponential_1_f6B_1ulb.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	6	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
exponential_1_f6B_1ulb	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 20	proteomic profiling by mass spectrometry	2	exponential_2_f6B_1ulB.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	6	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
exponential_1_f6B_1ulb	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 21	proteomic profiling by mass spectrometry	3	exponential_3_f6B_1ulB.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	6	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
stationary_1_f6B	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 22	proteomic profiling by mass spectrometry	1	stationary_1_f6B.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	6	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
stationary_1_f6B	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 23	proteomic profiling by mass spectrometry	2	stationary_3_f6B.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	6	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
stationary_1_f6B	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 24	proteomic profiling by mass spectrometry	3	stationary_2_f6B.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	6	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
exponential_3_f12b_1ul	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 25	proteomic profiling by mass spectrometry	1	exponential_3_f12b_1ul.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	12	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
exponential_3_f12b_1ul	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 26	proteomic profiling by mass spectrometry	2	exponential_2_f12b_1ul.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	12	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
exponential_3_f12b_1ul	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 27	proteomic profiling by mass spectrometry	3	exponential_1_f12b_1ul.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	12	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
exponential_2_f7B_1ulB	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 28	proteomic profiling by mass spectrometry	1	exponential_2_f7B_1ulB.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	7	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
exponential_2_f7B_1ulB	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 29	proteomic profiling by mass spectrometry	2	exponential_1_f7B_1ulb.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	7	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
exponential_2_f7B_1ulB	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 30	proteomic profiling by mass spectrometry	3	exponential_3_f7B_1ulB.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	7	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
stationary_2_f15B	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 31	proteomic profiling by mass spectrometry	1	stationary_2_f15B.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	15	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
stationary_2_f15B	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 32	proteomic profiling by mass spectrometry	2	stationary_1_f15B.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	15	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
stationary_2_f15B	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 33	proteomic profiling by mass spectrometry	3	stationary_3_f15B.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	15	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
exponential_3_f9b_1ul	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 34	proteomic profiling by mass spectrometry	1	exponential_3_f9b_1ul.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	9	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
exponential_3_f9b_1ul	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 35	proteomic profiling by mass spectrometry	2	exponential_2_f9b_1ul.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	9	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
exponential_3_f9b_1ul	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 36	proteomic profiling by mass spectrometry	3	exponential_1_f9B_1ul.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	9	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
exponential_3_f13b_1ul	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 37	proteomic profiling by mass spectrometry	1	exponential_3_f13b_1ul.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	13	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
exponential_3_f13b_1ul	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 38	proteomic profiling by mass spectrometry	2	exponential_1_f13b_1ul.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	13	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
exponential_3_f13b_1ul	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 39	proteomic profiling by mass spectrometry	3	exponential_2_f13b_1ul.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	13	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
stationary_2_f17C	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 40	proteomic profiling by mass spectrometry	1	stationary_2_f17C.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	17	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
stationary_1_f15_130809153140	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 41	proteomic profiling by mass spectrometry	1	stationary_1_f15_130809153140.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	15	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
stationary_2_f9B	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 42	proteomic profiling by mass spectrometry	1	stationary_2_f9B.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	9	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
stationary_2_f9B	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 43	proteomic profiling by mass spectrometry	2	stationary_3_f9B.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	9	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
stationary_2_f9B	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 44	proteomic profiling by mass spectrometry	3	stationary_1_f9B.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	9	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
stationary_3_f17B	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 45	proteomic profiling by mass spectrometry	1	stationary_3_f17B.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	17	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
stationary_3_f17B	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 46	proteomic profiling by mass spectrometry	2	stationary_1_f17B.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	17	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
stationary_2_f11	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 47	proteomic profiling by mass spectrometry	1	stationary_2_f11.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	11	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
stationary_2_f11	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 48	proteomic profiling by mass spectrometry	1	stationary_3_f15.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	15	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
stationary_2_f11	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 49	proteomic profiling by mass spectrometry	2	stationary_2_f15.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	15	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
stationary_2_f11	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 50	proteomic profiling by mass spectrometry	1	stationary_2_f10.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	10	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
stationary_2_f11	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 51	proteomic profiling by mass spectrometry	2	stationary_3_f10.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	10	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
stationary_2_f11	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 52	proteomic profiling by mass spectrometry	1	stationary_3_f14.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	14	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
stationary_2_f11	Escherichia coli	not available	not available	1	not available	not available	not available	not available	not available	not available	not available	run 53	proteomic profiling by mass spectrometry	1	stationary_3_f7.RAW	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=ltq orbitrap velos;AC=MS:1001742	NT=trypsin;AC=MS:1001251	NT=TMT6plex	7	NT=HCD	15 ppm	0.05 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0
