source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fractionation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[organism part]
AB_vitreous_body_VS142	NT=Danio rerio;AC=NCBITaxon:7955	NT=vitreous body;AC=UBERON:0001798	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	not available	AB	tissue	1	vstutz_L171210_008	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	25 ppm	0.05 Da	1	1	vstutz_L171210_008.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=vitreous body;AC=UBERON:0001798
AB_brain_VS143	NT=Danio rerio;AC=NCBITaxon:7955	NT=brain;AC=UBERON:0000955	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	not available	AB	tissue	1	vstutz_L171210_009	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	25 ppm	0.05 Da	1	1	vstutz_L171210_009.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=brain;AC=UBERON:0000955
AB_spleen_VS135	NT=Danio rerio;AC=NCBITaxon:7955	NT=spleen;AC=UBERON:0002106	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	not available	AB	tissue	1	vstutz_L171210_010	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	25 ppm	0.05 Da	1	2	vstutz_L171210_010.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=spleen;AC=UBERON:0002106
AB_heart_VS136	NT=Danio rerio;AC=NCBITaxon:7955	NT=heart;AC=UBERON:0000948	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	not available	AB	tissue	1	vstutz_L171210_011	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	25 ppm	0.05 Da	1	2	vstutz_L171210_011.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=heart;AC=UBERON:0000948
AB_intestine_VS137	NT=Danio rerio;AC=NCBITaxon:7955	NT=intestine;AC=UBERON:0000160	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	not available	AB	tissue	1	vstutz_L171210_012	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	25 ppm	0.05 Da	1	2	vstutz_L171210_012.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=intestine;AC=UBERON:0000160
AB_liver_VS138	NT=Danio rerio;AC=NCBITaxon:7955	NT=liver;AC=UBERON:0002107	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	not available	AB	tissue	1	vstutz_L171210_013	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	25 ppm	0.05 Da	1	2	vstutz_L171210_013.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=liver;AC=UBERON:0002107
AB_testis_VS139	NT=Danio rerio;AC=NCBITaxon:7955	NT=testis;AC=UBERON:0000473	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	male	AB	tissue	1	vstutz_L171210_014	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	25 ppm	0.05 Da	1	2	vstutz_L171210_014.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=testis;AC=UBERON:0000473
AB_ovary_VS140	NT=Danio rerio;AC=NCBITaxon:7955	NT=ovary;AC=UBERON:0000992	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	female	AB	tissue	1	vstutz_L171210_015	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	25 ppm	0.05 Da	1	2	vstutz_L171210_015.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=ovary;AC=UBERON:0000992
AB_eye_VS141	NT=Danio rerio;AC=NCBITaxon:7955	NT=eye;AC=UBERON:0000970	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	not available	AB	tissue	1	vstutz_L171210_016b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	25 ppm	0.05 Da	1	2	vstutz_L171210_016b.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=eye;AC=UBERON:0000970
AB_vitreous_body_VS142	NT=Danio rerio;AC=NCBITaxon:7955	NT=vitreous body;AC=UBERON:0001798	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	not available	AB	tissue	1	vstutz_L171210_017	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	25 ppm	0.05 Da	1	2	vstutz_L171210_017.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=vitreous body;AC=UBERON:0001798
AB_brain_VS143	NT=Danio rerio;AC=NCBITaxon:7955	NT=brain;AC=UBERON:0000955	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	not available	AB	tissue	1	vstutz_L171210_018	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	25 ppm	0.05 Da	1	2	vstutz_L171210_018.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=brain;AC=UBERON:0000955
AB_spleen_VS135	NT=Danio rerio;AC=NCBITaxon:7955	NT=spleen;AC=UBERON:0002106	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	not available	AB	tissue	1	vstutz_L171210_019	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	25 ppm	0.05 Da	1	3	vstutz_L171210_019.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=spleen;AC=UBERON:0002106
AB_heart_VS136	NT=Danio rerio;AC=NCBITaxon:7955	NT=heart;AC=UBERON:0000948	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	not available	AB	tissue	1	vstutz_L171210_020	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	25 ppm	0.05 Da	1	3	vstutz_L171210_020.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=heart;AC=UBERON:0000948
AB_intestine_VS137	NT=Danio rerio;AC=NCBITaxon:7955	NT=intestine;AC=UBERON:0000160	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	not available	AB	tissue	1	vstutz_L171210_021	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	25 ppm	0.05 Da	1	3	vstutz_L171210_021.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=intestine;AC=UBERON:0000160
AB_liver_VS138	NT=Danio rerio;AC=NCBITaxon:7955	NT=liver;AC=UBERON:0002107	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	not available	AB	tissue	1	vstutz_L171210_022	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	25 ppm	0.05 Da	1	3	vstutz_L171210_022.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=liver;AC=UBERON:0002107
AB_testis_VS139	NT=Danio rerio;AC=NCBITaxon:7955	NT=testis;AC=UBERON:0000473	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	male	AB	tissue	1	vstutz_L171210_023	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	25 ppm	0.05 Da	1	3	vstutz_L171210_023.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=testis;AC=UBERON:0000473
AB_ovary_VS140	NT=Danio rerio;AC=NCBITaxon:7955	NT=ovary;AC=UBERON:0000992	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	female	AB	tissue	1	vstutz_L171210_024	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	25 ppm	0.05 Da	1	3	vstutz_L171210_024.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=ovary;AC=UBERON:0000992
AB_eye_VS141	NT=Danio rerio;AC=NCBITaxon:7955	NT=eye;AC=UBERON:0000970	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	not available	AB	tissue	1	vstutz_L171210_025	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	25 ppm	0.05 Da	1	3	vstutz_L171210_025.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=eye;AC=UBERON:0000970
AB_vitreous_body_VS142	NT=Danio rerio;AC=NCBITaxon:7955	NT=vitreous body;AC=UBERON:0001798	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	not available	AB	tissue	1	vstutz_L171210_026	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	25 ppm	0.05 Da	1	3	vstutz_L171210_026.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=vitreous body;AC=UBERON:0001798
AB_brain_VS143	NT=Danio rerio;AC=NCBITaxon:7955	NT=brain;AC=UBERON:0000955	not applicable	NT=normal;AC=PATO:0000461	NT=adult;AC=EFO:0001272	6M	not available	AB	tissue	1	vstutz_L171210_027	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=TripleTOF 5600;AC=MS:1000932	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	25 ppm	0.05 Da	1	3	vstutz_L171210_027.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=brain;AC=UBERON:0000955
