source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[material type]	characteristics[biological replicate]	characteristics[phenotype]	characteristics[strain or breed]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[phenotype]
PXD034477-Sample-5	NT=Mus musculus;AC=NCBITaxon:10090	heart	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	WT_rep5	tissue	5	Wild-type littermate control mouse heart, pre-symptomatic age (8-10 weeks)	not available	20220425_Q2_TC_ColQ2-110_Erminia-Heart_3617-WT-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	5 ppm	20 ppm	2	1	20220425_Q2_TC_ColQ2-110_Erminia-Heart_3617-WT-2.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	WT
PXD034477-Sample-5	NT=Mus musculus;AC=NCBITaxon:10090	heart	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	WT_rep5	tissue	5	Wild-type littermate control mouse heart, pre-symptomatic age (8-10 weeks)	not available	20220425_Q2_TC_ColQ2-110_Erminia-Heart_3617-WT-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	5 ppm	20 ppm	3	1	20220425_Q2_TC_ColQ2-110_Erminia-Heart_3617-WT-3.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	WT
PXD034477-Sample-5	NT=Mus musculus;AC=NCBITaxon:10090	heart	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	WT_rep5	tissue	5	Wild-type littermate control mouse heart, pre-symptomatic age (8-10 weeks)	not available	20220425_Q2_TC_ColQ2-110_Erminia-Heart_3617-WT-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	5 ppm	20 ppm	4	1	20220425_Q2_TC_ColQ2-110_Erminia-Heart_3617-WT-4.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	WT
PXD034477-Sample-6	NT=Mus musculus;AC=NCBITaxon:10090	heart	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	WT_rep6	tissue	6	Wild-type littermate control mouse heart, pre-symptomatic age (8-10 weeks)	not available	20220425_Q2_TC_ColQ2-110_Erminia-Heart_3627-WT-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	5 ppm	20 ppm	1	1	20220425_Q2_TC_ColQ2-110_Erminia-Heart_3627-WT-1.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	WT
PXD034477-Sample-6	NT=Mus musculus;AC=NCBITaxon:10090	heart	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	WT_rep6	tissue	6	Wild-type littermate control mouse heart, pre-symptomatic age (8-10 weeks)	not available	20220425_Q2_TC_ColQ2-110_Erminia-Heart_3627-WT-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	5 ppm	20 ppm	2	1	20220425_Q2_TC_ColQ2-110_Erminia-Heart_3627-WT-2.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	WT
PXD034477-Sample-6	NT=Mus musculus;AC=NCBITaxon:10090	heart	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	WT_rep6	tissue	6	Wild-type littermate control mouse heart, pre-symptomatic age (8-10 weeks)	not available	20220425_Q2_TC_ColQ2-110_Erminia-Heart_3627-WT-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	5 ppm	20 ppm	3	1	20220425_Q2_TC_ColQ2-110_Erminia-Heart_3627-WT-3.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	WT
PXD034477-Sample-6	NT=Mus musculus;AC=NCBITaxon:10090	heart	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	WT_rep6	tissue	6	Wild-type littermate control mouse heart, pre-symptomatic age (8-10 weeks)	not available	20220425_Q2_TC_ColQ2-110_Erminia-Heart_3627-WT-4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	5 ppm	20 ppm	4	1	20220425_Q2_TC_ColQ2-110_Erminia-Heart_3627-WT-4.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	WT
PXD034477-Sample-7	NT=Mus musculus;AC=NCBITaxon:10090	heart	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	cMKO_rep1	tissue	1	Cardiomyocyte-specific Mtfp1 knockout mouse heart at pre-symptomatic age (8-10 weeks)	not available	20220425_Q2_TC_ColQ2-110_Erminia-Heart_3580-cMKO-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	5 ppm	20 ppm	1	1	20220425_Q2_TC_ColQ2-110_Erminia-Heart_3580-cMKO-1.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	cMKO
PXD034477-Sample-7	NT=Mus musculus;AC=NCBITaxon:10090	heart	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	cMKO_rep1	tissue	1	Cardiomyocyte-specific Mtfp1 knockout mouse heart at pre-symptomatic age (8-10 weeks)	not available	20220425_Q2_TC_ColQ2-110_Erminia-Heart_3580-cMKO-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	5 ppm	20 ppm	2	1	20220425_Q2_TC_ColQ2-110_Erminia-Heart_3580-cMKO-2.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	cMKO
PXD034477-Sample-7	NT=Mus musculus;AC=NCBITaxon:10090	heart	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	not available	cMKO_rep1	tissue	1	Cardiomyocyte-specific Mtfp1 knockout mouse heart at pre-symptomatic age (8-10 weeks)	not available	20220425_Q2_TC_ColQ2-110_Erminia-Heart_3580-cMKO-3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	5 ppm	20 ppm	3	1	20220425_Q2_TC_ColQ2-110_Erminia-Heart_3580-cMKO-3.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	cMKO
