source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[disease]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[dissociation method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	factor value[treatment]
Ctr4	Medicago sativa	stem	pre-flowering stage	not applicable	Control	4	Ctr4_Ca_4	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	calcium chloride extraction of cell wall proteins	1	1	Ctr4_Ca_4.wiff	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=CID;AC=MS:1000133	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M,P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=protein N-term	NT=Didehydro;AC=UNIMOD:401;MT=Variable;TA=F	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Trp->Kynurenin;AC=UNIMOD:351;TA=W;MT=Variable	Control
Cd3	Medicago sativa	stem	pre-flowering stage	not applicable	Cd exposure	3	Cd3_Li_3	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	LiCl extraction of cell wall proteins	3	1	Cd3_Li_3.wiff	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=CID;AC=MS:1000133	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M,P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=protein N-term	NT=Didehydro;AC=UNIMOD:401;MT=Variable;TA=F	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Trp->Kynurenin;AC=UNIMOD:351;TA=W;MT=Variable	Cd exposure
Cd5	Medicago sativa	stem	pre-flowering stage	not applicable	Cd exposure	5	Cd5_Ca_5	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	calcium chloride extraction of cell wall proteins	1	1	Cd5_Ca_5.wiff	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=CID;AC=MS:1000133	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M,P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=protein N-term	NT=Didehydro;AC=UNIMOD:401;MT=Variable;TA=F	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Trp->Kynurenin;AC=UNIMOD:351;TA=W;MT=Variable	Cd exposure
Ctr3	Medicago sativa	stem	pre-flowering stage	not applicable	Control	3	Ctr3_S_3	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	extraction of soluble (cytosolic) proteins	4	1	Ctr3_S_3.wiff	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=CID;AC=MS:1000133	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M,P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=protein N-term	NT=Didehydro;AC=UNIMOD:401;MT=Variable;TA=F	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Trp->Kynurenin;AC=UNIMOD:351;TA=W;MT=Variable	Control
Ctr2	Medicago sativa	stem	pre-flowering stage	not applicable	Control	2	Ctr2_Li_2	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	LiCl extraction of cell wall proteins	3	1	Ctr2_Li_2.wiff	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=CID;AC=MS:1000133	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M,P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=protein N-term	NT=Didehydro;AC=UNIMOD:401;MT=Variable;TA=F	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Trp->Kynurenin;AC=UNIMOD:351;TA=W;MT=Variable	Control
Cd5	Medicago sativa	stem	pre-flowering stage	not applicable	Cd exposure	5	Cd5_EGTA_5	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	EGTA extraction of cell wall proteins	2	1	Cd5_EGTA_5.wiff	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=CID;AC=MS:1000133	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M,P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=protein N-term	NT=Didehydro;AC=UNIMOD:401;MT=Variable;TA=F	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Trp->Kynurenin;AC=UNIMOD:351;TA=W;MT=Variable	Cd exposure
Cd3	Medicago sativa	stem	pre-flowering stage	not applicable	Cd exposure	3	Cd3_EGTA_3b	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	EGTA extraction of cell wall proteins	2	1	Cd3_EGTA_3b.wiff	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=CID;AC=MS:1000133	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M,P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=protein N-term	NT=Didehydro;AC=UNIMOD:401;MT=Variable;TA=F	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Trp->Kynurenin;AC=UNIMOD:351;TA=W;MT=Variable	Cd exposure
Ctr1	Medicago sativa	stem	pre-flowering stage	not applicable	Control	1	Ctr1_S_1	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	extraction of soluble (cytosolic) proteins	4	1	Ctr1_S_1.wiff	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=CID;AC=MS:1000133	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M,P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=protein N-term	NT=Didehydro;AC=UNIMOD:401;MT=Variable;TA=F	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Trp->Kynurenin;AC=UNIMOD:351;TA=W;MT=Variable	Control
Cd4	Medicago sativa	stem	pre-flowering stage	not applicable	Cd exposure	4	Cd4_Ca_4	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	calcium chloride extraction of cell wall proteins	1	1	Cd4_Ca_4.wiff	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=CID;AC=MS:1000133	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M,P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=protein N-term	NT=Didehydro;AC=UNIMOD:401;MT=Variable;TA=F	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Trp->Kynurenin;AC=UNIMOD:351;TA=W;MT=Variable	Cd exposure
Cd2	Medicago sativa	stem	pre-flowering stage	not applicable	Cd exposure	2	Cd2_S_2	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	extraction of soluble (cytosolic) proteins	4	1	Cd2_S_2.wiff	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=CID;AC=MS:1000133	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M,P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=protein N-term	NT=Didehydro;AC=UNIMOD:401;MT=Variable;TA=F	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Trp->Kynurenin;AC=UNIMOD:351;TA=W;MT=Variable	Cd exposure
Cd2	Medicago sativa	stem	pre-flowering stage	not applicable	Cd exposure	2	Cd2_Ca_2	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	calcium chloride extraction of cell wall proteins	1	1	Cd2_Ca_2.wiff	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=CID;AC=MS:1000133	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M,P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=protein N-term	NT=Didehydro;AC=UNIMOD:401;MT=Variable;TA=F	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Trp->Kynurenin;AC=UNIMOD:351;TA=W;MT=Variable	Cd exposure
Ctr3	Medicago sativa	stem	pre-flowering stage	not applicable	Control	3	Ctr3_Li_3	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	LiCl extraction of cell wall proteins	3	1	Ctr3_Li_3.wiff	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=CID;AC=MS:1000133	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M,P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=protein N-term	NT=Didehydro;AC=UNIMOD:401;MT=Variable;TA=F	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Trp->Kynurenin;AC=UNIMOD:351;TA=W;MT=Variable	Control
Cd1	Medicago sativa	stem	pre-flowering stage	not applicable	Cd exposure	1	Cd1_Ca_1	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	calcium chloride extraction of cell wall proteins	1	1	Cd1_Ca_1.wiff	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=CID;AC=MS:1000133	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M,P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=protein N-term	NT=Didehydro;AC=UNIMOD:401;MT=Variable;TA=F	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Trp->Kynurenin;AC=UNIMOD:351;TA=W;MT=Variable	Cd exposure
Ctr5	Medicago sativa	stem	pre-flowering stage	not applicable	Control	5	Ctr5_Li_5	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	LiCl extraction of cell wall proteins	3	1	Ctr5_Li_5.wiff	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=CID;AC=MS:1000133	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M,P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=protein N-term	NT=Didehydro;AC=UNIMOD:401;MT=Variable;TA=F	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Trp->Kynurenin;AC=UNIMOD:351;TA=W;MT=Variable	Control
Ctr3	Medicago sativa	stem	pre-flowering stage	not applicable	Control	3	Ctr3_Ca_3	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	calcium chloride extraction of cell wall proteins	1	1	Ctr3_Ca_3.wiff	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=CID;AC=MS:1000133	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M,P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=protein N-term	NT=Didehydro;AC=UNIMOD:401;MT=Variable;TA=F	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Trp->Kynurenin;AC=UNIMOD:351;TA=W;MT=Variable	Control
Cd4	Medicago sativa	stem	pre-flowering stage	not applicable	Cd exposure	4	Cd4_EGTA_4	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	EGTA extraction of cell wall proteins	2	1	Cd4_EGTA_4.wiff	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=CID;AC=MS:1000133	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M,P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=protein N-term	NT=Didehydro;AC=UNIMOD:401;MT=Variable;TA=F	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Trp->Kynurenin;AC=UNIMOD:351;TA=W;MT=Variable	Cd exposure
Cd1	Medicago sativa	stem	pre-flowering stage	not applicable	Cd exposure	1	Cd1_S_1	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	extraction of soluble (cytosolic) proteins	4	1	Cd1_S_1.wiff	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=CID;AC=MS:1000133	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M,P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=protein N-term	NT=Didehydro;AC=UNIMOD:401;MT=Variable;TA=F	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Trp->Kynurenin;AC=UNIMOD:351;TA=W;MT=Variable	Cd exposure
Ctr3	Medicago sativa	stem	pre-flowering stage	not applicable	Control	3	Ctr3_EGTA_3	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	EGTA extraction of cell wall proteins	2	1	Ctr3_EGTA_3.wiff	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=CID;AC=MS:1000133	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M,P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=protein N-term	NT=Didehydro;AC=UNIMOD:401;MT=Variable;TA=F	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Trp->Kynurenin;AC=UNIMOD:351;TA=W;MT=Variable	Control
Ctr1	Medicago sativa	stem	pre-flowering stage	not applicable	Control	1	Ctr1_EGTA_1	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	EGTA extraction of cell wall proteins	2	1	Ctr1_EGTA_1.wiff	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=CID;AC=MS:1000133	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M,P	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=protein N-term	NT=Didehydro;AC=UNIMOD:401;MT=Variable;TA=F	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Trp->Kynurenin;AC=UNIMOD:351;TA=W;MT=Variable	Control
