source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[passage number]	characteristics[culture medium]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	factor value[gradient length]	factor value[spectral processing algorithm]
HeLa digest 200 ng 21 min eFT	Homo sapiens	not applicable	epithelial cell	1	endocervical adenocarcinoma	cell line	African American	30Y6M	female	adult	HeLa	CVCL_0030	HeLa	uterine cervix	not available	Dulbecco's Modified Eagle Medium	20210711_EXPL2_SoSt_SA_HeLa_21min_DIA_60k15k_noCB_03	proteomic profiling by mass spectrometry	3	20210711_EXPL2_SoSt_SA_HeLa_21min_DIA_60k15k_noCB_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	30% NCE	40 ppm	40 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	400m/z-1000m/z	400	1000	11.3	21 min	eFT
HeLa digest 200 ng 21 min PhiSDM	Homo sapiens	not applicable	epithelial cell	1	endocervical adenocarcinoma	cell line	African American	30Y6M	female	adult	HeLa	CVCL_0030	HeLa	uterine cervix	not available	Dulbecco's Modified Eagle Medium	20210711_EXPL2_SoSt_SA_HeLa_21min_DIA_60k15k_CB_01	proteomic profiling by mass spectrometry	1	20210711_EXPL2_SoSt_SA_HeLa_21min_DIA_60k15k_CB_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	30% NCE	40 ppm	40 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	400m/z-1000m/z	400	1000	11.3	21 min	PhiSDM
HeLa digest 200 ng 21 min PhiSDM	Homo sapiens	not applicable	epithelial cell	1	endocervical adenocarcinoma	cell line	African American	30Y6M	female	adult	HeLa	CVCL_0030	HeLa	uterine cervix	not available	Dulbecco's Modified Eagle Medium	20210711_EXPL2_SoSt_SA_HeLa_21min_DIA_60k15k_CB_02	proteomic profiling by mass spectrometry	2	20210711_EXPL2_SoSt_SA_HeLa_21min_DIA_60k15k_CB_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	30% NCE	40 ppm	40 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	400m/z-1000m/z	400	1000	11.3	21 min	PhiSDM
HeLa digest 200 ng 21 min PhiSDM	Homo sapiens	not applicable	epithelial cell	1	endocervical adenocarcinoma	cell line	African American	30Y6M	female	adult	HeLa	CVCL_0030	HeLa	uterine cervix	not available	Dulbecco's Modified Eagle Medium	20210711_EXPL2_SoSt_SA_HeLa_21min_DIA_60k15k_CB_03	proteomic profiling by mass spectrometry	3	20210711_EXPL2_SoSt_SA_HeLa_21min_DIA_60k15k_CB_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	30% NCE	40 ppm	40 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	400m/z-1000m/z	400	1000	11.3	21 min	PhiSDM
HeLa digest 100 ng 12 min eFT	Homo sapiens	not applicable	epithelial cell	1	endocervical adenocarcinoma	cell line	African American	30Y6M	female	adult	HeLa	CVCL_0030	HeLa	uterine cervix	not available	Dulbecco's Modified Eagle Medium	20210713_EXPL2_SoSt_SA_HeLa_12min_DIA_100ng_60k15k1-5s_noCB_01	proteomic profiling by mass spectrometry	1	20210713_EXPL2_SoSt_SA_HeLa_12min_DIA_100ng_60k15k1-5s_noCB_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	30% NCE	40 ppm	40 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	400m/z-1000m/z	400	1000	15.4	12 min	eFT
HeLa digest 100 ng 12 min eFT	Homo sapiens	not applicable	epithelial cell	1	endocervical adenocarcinoma	cell line	African American	30Y6M	female	adult	HeLa	CVCL_0030	HeLa	uterine cervix	not available	Dulbecco's Modified Eagle Medium	20210713_EXPL2_SoSt_SA_HeLa_12min_DIA_100ng_60k15k1-5s_noCB_02	proteomic profiling by mass spectrometry	2	20210713_EXPL2_SoSt_SA_HeLa_12min_DIA_100ng_60k15k1-5s_noCB_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	30% NCE	40 ppm	40 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	400m/z-1000m/z	400	1000	15.4	12 min	eFT
HeLa digest 100 ng 12 min eFT	Homo sapiens	not applicable	epithelial cell	1	endocervical adenocarcinoma	cell line	African American	30Y6M	female	adult	HeLa	CVCL_0030	HeLa	uterine cervix	not available	Dulbecco's Modified Eagle Medium	20210713_EXPL2_SoSt_SA_HeLa_12min_DIA_100ng_60k15k1-5s_noCB_03	proteomic profiling by mass spectrometry	3	20210713_EXPL2_SoSt_SA_HeLa_12min_DIA_100ng_60k15k1-5s_noCB_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	30% NCE	40 ppm	40 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	400m/z-1000m/z	400	1000	15.4	12 min	eFT
HeLa digest 100 ng 12 min PhiSDM	Homo sapiens	not applicable	epithelial cell	1	endocervical adenocarcinoma	cell line	African American	30Y6M	female	adult	HeLa	CVCL_0030	HeLa	uterine cervix	not available	Dulbecco's Modified Eagle Medium	20210713_EXPL2_SoSt_SA_HeLa_12min_DIA_100ng_60k15k1-5s_CB_01	proteomic profiling by mass spectrometry	1	20210713_EXPL2_SoSt_SA_HeLa_12min_DIA_100ng_60k15k1-5s_CB_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	30% NCE	40 ppm	40 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	400m/z-1000m/z	400	1000	15.4	12 min	PhiSDM
HeLa digest 100 ng 12 min PhiSDM	Homo sapiens	not applicable	epithelial cell	1	endocervical adenocarcinoma	cell line	African American	30Y6M	female	adult	HeLa	CVCL_0030	HeLa	uterine cervix	not available	Dulbecco's Modified Eagle Medium	20210713_EXPL2_SoSt_SA_HeLa_12min_DIA_100ng_60k15k1-5s_CB_02	proteomic profiling by mass spectrometry	2	20210713_EXPL2_SoSt_SA_HeLa_12min_DIA_100ng_60k15k1-5s_CB_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	30% NCE	40 ppm	40 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	400m/z-1000m/z	400	1000	15.4	12 min	PhiSDM
HeLa digest 100 ng 12 min PhiSDM	Homo sapiens	not applicable	epithelial cell	1	endocervical adenocarcinoma	cell line	African American	30Y6M	female	adult	HeLa	CVCL_0030	HeLa	uterine cervix	not available	Dulbecco's Modified Eagle Medium	20210713_EXPL2_SoSt_SA_HeLa_12min_DIA_100ng_60k15k1-5s_CB_03	proteomic profiling by mass spectrometry	3	20210713_EXPL2_SoSt_SA_HeLa_12min_DIA_100ng_60k15k1-5s_CB_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	30% NCE	40 ppm	40 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	400m/z-1000m/z	400	1000	15.4	12 min	PhiSDM
HeLa digest 100 ng 5 min eFT	Homo sapiens	not applicable	epithelial cell	1	endocervical adenocarcinoma	cell line	African American	30Y6M	female	adult	HeLa	CVCL_0030	HeLa	uterine cervix	not available	Dulbecco's Modified Eagle Medium	20210713_EXPL2_SoSt_SA_HeLa_5min_DIA_100ng_60k15k1-5s_noCB_01	proteomic profiling by mass spectrometry	1	20210713_EXPL2_SoSt_SA_HeLa_5min_DIA_100ng_60k15k1-5s_noCB_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	30% NCE	40 ppm	40 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	400m/z-1000m/z	400	1000	15.4	5 min	eFT
